!# Results of ROTMAS saved at 12-Oct-2007 (11:51:09)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 48.4913
!# Red. Chi-square (N=61,n=2) : 0.821887
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     4.411320    58.729198     1.000000     1.000000 
!# Parameter error :     0.416768     4.282947     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722    1.1837         0       3.9     0.859   8.11925   8.23679         0         0   
   0.2714     1.803   2.28848         0      9.66      1.89   11.4246   11.7902         0         0   
    0.407     3.252   3.16789         0     13.65     2.388   13.9206   14.6422         0         0   
   0.5427     4.869   3.68303         0     16.33     2.158   15.9949   17.1204         0         0   
   0.6784     4.945   4.16093         0      17.3     2.139    17.795   18.9322         0         0   
   0.8141     5.347   4.58201         0     18.25     2.737   19.3983   20.6368         0         0   
   0.9498     5.506   5.05233         0     20.37     2.815   20.8508   22.1495         0         0   
    1.085     6.036   5.42796         0     22.58     2.338   22.1782   23.6172         0         0   
    1.221     6.825   5.61419         0      24.6     1.904    23.414   25.0263         0         0   
    1.357     7.925   5.85031         0     26.17     1.346   24.5656    26.467         0         0   
    1.492     8.879   5.92227         0        28       2.1   25.6372   27.7701         0         0   
    1.628     9.837   5.99361         0     30.21     2.858   26.6539   29.0365         0         0   
    1.764     11.22   6.13628         0      31.8     3.009   27.6148   30.4322         0         0   
      1.9     12.43   6.35724         0     33.39     3.076   28.5261   31.7594         0         0   
    2.035     13.07   6.42037         0     34.49     3.207   29.3865   32.7966         0         0   
    2.171     13.51   6.41405         0     34.88     3.045    30.213   33.7118         0         0   
    2.307     13.85   6.43931         0     35.32     2.714   31.0026   34.5608         0         0   
    2.442     14.09   6.42669         0     36.02     2.405    31.753   35.3282         0         0   
    2.578     14.32   6.39512         0     36.57     2.049    32.478   36.0663         0         0   
    2.714     14.67   6.36355         0     37.34     1.855   33.1741    36.827         0         0   
    2.849     15.08   6.31304         0     37.82     1.685   33.8387   37.5808         0         0   
    2.985     15.52   6.25307         0     38.44     1.485   34.4834   38.3285         0         0   
    3.121     15.97   6.19057         0     39.34     1.401   35.1049   39.0604         0         0   
    3.256     16.27   6.11986         0     39.87     1.343   35.7001   39.7073         0         0   
    3.392     16.48   6.04095         0     40.33     1.259   36.2794   40.3024         0         0   
    3.528     16.73   5.96583         0     40.83     1.279   36.8394   40.8978         0         0   
    3.663     16.89   5.87934         0     41.36     1.246   37.3773   41.4355         0         0   
    3.799      17.1   5.79222         0     42.27     1.187   37.9019   41.9823         0         0   
    3.935     17.46   5.71584         0     43.14     1.268   38.4103   42.5779         0         0   
     4.07     17.78   5.63251         0     43.93      1.42   38.8996   43.1397         0         0   
    4.206     18.01   5.55044         0     44.43     1.494   39.3779   43.6553         0         0   
    4.342     18.19   5.47721         0     45.06     1.466   39.8421   44.1392         0         0   
    4.477      18.4   5.39702         0     45.94      1.35   40.2897   44.6201         0         0   
    4.613     18.77   5.31811         0      46.7     1.454    40.728   45.1593         0         0   
    4.749     19.08   5.24741         0     47.24     1.508    41.154   45.6644         0         0   
    4.884     19.25   5.17038         0     48.01     1.683   41.5654   46.0975         0         0   
     5.02     19.39   5.09715         0     48.39     1.803   41.9687   46.5116         0         0   
    5.156     19.67    5.0315         0     47.88     1.724   42.3614   46.9756         0         0   
    5.292     19.93   4.96142         0     47.66     2.003   42.7437    47.422         0         0   
    5.427     20.04   4.89325         0     48.08       2.1   43.1135   47.7946         0         0   
    5.563     20.05   4.83327         0     47.82     2.347   43.4766   48.1205         0         0   
    5.699     20.02   4.76762         0     47.81      2.53   43.8306   48.4216         0         0   
    5.834     19.94   4.70449         0     48.39     2.603   44.1734   48.6931         0         0   
     5.97     19.89   4.64767         0     48.28     2.673   44.5102   48.9732         0         0   
    6.106     19.88   4.58706         0     47.64     3.042   44.8389   49.2624         0         0   
    6.241     19.85   4.53277         0     47.42     3.107   45.1574   49.5354         0         0   
    6.377      19.8   4.47847         0      47.1     2.564   45.4707   49.7964         0         0   
    6.513     19.76   4.42356         0     46.66     2.371   45.7767   50.0553         0         0   
    6.648     19.66   4.37494         0     46.94     2.616   46.0734   50.2833         0         0   
    6.784      19.4   4.32571         0     47.84     2.979   46.3655   50.4463         0         0   
     6.92      19.2   4.27709         0     47.91     3.611    46.651   50.6285         0         0   
    7.055     19.21   4.23416         0     47.18     3.505    46.928   50.8841         0         0   
    7.191     19.18   4.18808         0     47.34     3.598   47.2009   51.1208         0         0   
    7.327     19.04   4.14389         0     48.08     4.224   47.4678   51.3116         0         0   
    7.462     18.82   4.10537         0     48.52     3.739   47.7269   51.4675         0         0   
    7.598     18.63   4.06497         0     50.07      3.88   47.9824   51.6324         0         0   
    7.734     18.48   4.02394         0     51.34     3.949   48.2323   51.8079         0         0   
    7.869     18.29   3.98922         0      50.4     4.357   48.4752   51.9642         0         0   
    8.005     18.16   3.95323         0     51.71     4.171   48.7147   52.1395         0         0   
    8.141     18.05   3.92041         0     52.74     3.512   48.9491   52.3182         0         0   
    8.276     18.01   3.89389         0     53.28     3.786   49.1771   52.5158         0         0   
