!# Results of ROTMAS saved at 12-Oct-2007 (11:50:53)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 47.1413
!# Red. Chi-square (N=61,n=3) : 0.812782
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     3.438870    67.978897     3.786460     1.000000 
!# Parameter error :     1.262172    16.802776     2.835693     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1357     0.722   2.30334         0       3.9     0.859   7.53462   7.91183         0         0   
   0.2714     1.803   4.45311         0      9.66      1.89   10.6193   11.6555         0         0   
    0.407     3.252   6.16434         0     13.65     2.388   12.9603   14.7155         0         0   
   0.5427     4.869   7.16674         0     16.33     2.158   14.9153   17.2492         0         0   
   0.6784     4.945   8.09668         0      17.3     2.139   16.6202   19.1374         0         0   
   0.8141     5.347   8.91605         0     18.25     2.737   18.1459   20.9132         0         0   
   0.9498     5.506   9.83124         0     20.37     2.815   19.5348   22.5517         0         0   
    1.085     6.036   10.5622         0     22.58     2.338   20.8101    24.105         0         0   
    1.221     6.825   10.9246         0      24.6     1.904   22.0029   25.4962         0         0   
    1.357     7.925    11.384         0     26.17     1.346   23.1197   26.9615         0         0   
    1.492     8.879    11.524         0        28       2.1   24.1637   28.2051         0         0   
    1.628     9.837   11.6629         0     30.21     2.858   25.1588   29.4237         0         0   
    1.764     11.22   11.9405         0      31.8     3.009   26.1036   30.8198         0         0   
      1.9     12.43   12.3704         0     33.39     3.076   27.0037   32.1983         0         0   
    2.035     13.07   12.4933         0     34.49     3.207   27.8574   33.2106         0         0   
    2.171     13.51    12.481         0     34.88     3.045   28.6811    34.072         0         0   
    2.307     13.85   12.5301         0     35.32     2.714   29.4716   34.8913         0         0   
    2.442     14.09   12.5056         0     36.02     2.405   30.2261   35.6165         0         0   
    2.578     14.32   12.4442         0     36.57     2.049   30.9582   36.3088         0         0   
    2.714     14.67   12.3827         0     37.34     1.855   31.6644   37.0294         0         0   
    2.849     15.08   12.2844         0     37.82     1.685   32.3415   37.7397         0         0   
    2.985     15.52   12.1677         0     38.44     1.485   33.0011   38.4448         0         0   
    3.121     15.97   12.0461         0     39.34     1.401   33.6397    39.138         0         0   
    3.256     16.27   11.9085         0     39.87     1.343   34.2541   39.7475         0         0   
    3.392     16.48    11.755         0     40.33     1.259   34.8544   40.3064         0         0   
    3.528     16.73   11.6088         0     40.83     1.279   35.4373   40.8712         0         0   
    3.663     16.89   11.4405         0     41.36     1.246   35.9994   41.3777         0         0   
    3.799      17.1    11.271         0     42.27     1.187   36.5501   41.8969         0         0   
    3.935     17.46   11.1224         0     43.14     1.268   37.0859   42.4726         0         0   
     4.07     17.78   10.9602         0     43.93      1.42   37.6037    43.015         0         0   
    4.206     18.01   10.8005         0     44.43     1.494   38.1119   43.5147         0         0   
    4.342     18.19    10.658         0     45.06     1.466   38.6073   43.9886         0         0   
    4.477      18.4    10.502         0     45.94      1.35   39.0869   44.4594         0         0   
    4.613     18.77   10.3484         0      46.7     1.454   39.5584   44.9919         0         0   
    4.749     19.08   10.2108         0     47.24     1.508   40.0186    45.495         0         0   
    4.884     19.25    10.061         0     48.01     1.683   40.4648   45.9258         0         0   
     5.02     19.39   9.91846         0     48.39     1.803    40.904   46.3409         0         0   
    5.156     19.67   9.79071         0     47.88     1.724   41.3332   46.8103         0         0   
    5.292     19.93   9.65434         0     47.66     2.003   41.7529   47.2622         0         0   
    5.427     20.04   9.52169         0     48.08       2.1   42.1605   47.6421         0         0   
    5.563     20.05   9.40498         0     47.82     2.347   42.5622   47.9791         0         0   
    5.699     20.02   9.27723         0     47.81      2.53   42.9554   48.2912         0         0   
    5.834     19.94   9.15439         0     48.39     2.603   43.3376   48.5753         0         0   
     5.97     19.89   9.04382         0     48.28     2.673   43.7147   48.8711         0         0   
    6.106     19.88   8.92588         0     47.64     3.042   44.0841   49.1762         0         0   
    6.241     19.85   8.82024         0     47.42     3.107   44.4435   49.4676         0         0   
    6.377      19.8   8.71458         0      47.1     2.564   44.7984   49.7482         0         0   
    6.513     19.76   8.60773         0     46.66     2.371   45.1463   50.0274         0         0   
    6.648     19.66   8.51312         0     46.94     2.616    45.485    50.278         0         0   
    6.784      19.4   8.41732         0     47.84     2.979   45.8197   50.4644         0         0   
     6.92      19.2   8.32272         0     47.91     3.611   46.1481   50.6711         0         0   
    7.055     19.21   8.23918         0     47.18     3.505    46.468   50.9528         0         0   
    7.191     19.18   8.14951         0     47.34     3.598   46.7843   51.2158         0         0   
    7.327     19.04   8.06352         0     48.08     4.224   47.0949   51.4341         0         0   
    7.462     18.82   7.98857         0     48.52     3.739   47.3976   51.6192         0         0   
    7.598     18.63   7.90996         0     50.07      3.88   47.6971   51.8137         0         0   
    7.734     18.48   7.83012         0     51.34     3.949   47.9912    52.019         0         0   
    7.869     18.29   7.76255         0      50.4     4.357   48.2781   52.2069         0         0   
    8.005     18.16   7.69252         0     51.71     4.171   48.5622   52.4142         0         0   
    8.141     18.05   7.62866         0     52.74     3.512   48.8413   52.6257         0         0   
    8.276     18.01   7.57705         0     53.28     3.786   49.1136   52.8575         0         0   
