!# Results of ROTMAS saved at 12-May-2008 (13:59:54)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 16.2357
!# Red. Chi-square (N=100,n=2) : 0.165671
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     6.181560     4.961390     0.710000     1.000000 
!# Parameter error :     0.215356     0.153936     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958   1.78628         0      1.29      0.69   1.10861   2.31031         0         0   
    0.234     1.864   2.89447         0       3.5      1.47    2.2165   4.09454         0         0   
    0.351     2.853   3.63625         0      4.21      1.21   3.32296   5.69245         0         0   
    0.468     4.213   4.78492         0      8.77      4.08    4.4273   7.76181         0         0   
    0.585     5.647   5.82266         0     11.76      4.73   5.52881    9.8163         0         0   
    0.702     6.768   6.60702         0     11.77      4.42    6.6268   11.5487         0         0   
    0.819     7.144   7.45403         0     12.88       4.5   7.72061   12.8921         0         0   
    0.935     6.706   8.35302         0     15.66      5.37   8.80029   13.8632         0         0   
    1.052      5.75   9.27281         0     18.36      5.31   9.88382    14.722         0         0   
    1.169     4.857   9.92617         0      18.8       5.4   10.9613    15.565         0         0   
    1.286     4.637   10.5481         0     18.75      6.05    12.032   16.6594         0         0   
    1.403     4.464   11.0304         0     20.45      7.03   13.0955   17.6944         0         0   
     1.52     4.562   11.6647         0     21.31      6.77   14.1512    18.898         0         0   
    1.637     5.572   12.3803         0     23.64      6.12   15.1986   20.3793         0         0   
    1.754     6.625   13.4074         0     24.11      5.46   16.2372   22.0748         0         0   
    1.871     7.021   13.8298         0     23.58      4.95   17.2666   23.2098         0         0   
    1.988     7.216   14.0427         0     23.52      4.55   18.2862   24.1589         0         0   
    2.105      7.81   14.2581         0     24.37      4.67   19.2957   25.2313         0         0   
    2.222     8.519   14.4168         0     26.69      4.96   20.2948   26.3115         0         0   
    2.339     9.133   14.7386         0     27.61      4.42   21.2831   27.4519         0         0   
    2.456     9.861   14.7999         0     28.36      3.27   22.2603   28.4921         0         0   
    2.573     9.988   14.9118         0     29.37      3.69   23.2261   29.3526         0         0   
     2.69     9.153   15.0715         0     30.65      4.08   24.1802   29.9268         0         0   
    2.806     7.791   15.3915         0     33.59      4.68   25.1145   30.4686         0         0   
    2.923     6.308   15.4313         0     34.22      4.58   26.0448   30.9233         0         0   
     3.04     5.184   16.0967         0     33.38      4.39    26.963   31.8274         0         0   
    3.157     3.752   16.9895         0      33.6      4.12   27.8687    32.854         0         0   
    3.274    -0.405   17.4859         0      34.7      3.67   28.7621   33.6578         0         0   
    3.391    -2.159   17.8345         0     36.15      3.81   29.6428   34.5268         0         0   
    3.508     3.727   18.3029         0     37.48         4   30.5109   35.7743         0         0   
    3.625     7.018   19.2104         0     37.65      4.13   31.3664   37.4452         0         0   
    3.742     8.695    19.039         0     37.82      4.14   32.2091   38.4124         0         0   
    3.859     9.139   19.1649         0     38.98      4.21   33.0392   39.2734         0         0   
    3.976     9.993   19.1057         0     40.99      4.22   33.8565   40.1392         0         0   
    4.093    11.113   19.0618         0     42.65      4.83   34.6613   41.0884         0         0   
     4.21    11.686   19.0989         0     42.97      3.91   35.4534   41.9317         0         0   
    4.327    11.993   19.1745         0     43.25      3.54   36.2329    42.712         0         0   
    4.444    12.366   19.2444         0     43.54      3.46        37   43.5001         0         0   
    4.561    12.528   19.3705         0     43.64      3.79   37.7547   44.2445         0         0   
    4.677    12.771   19.2495         0     44.62      4.23   38.4908   44.8908         0         0   
    4.794    13.036   19.0121         0     46.48      4.77   39.2211   45.4938         0         0   
    4.911    13.209   19.3223         0     46.27      4.69   39.9393   46.2923         0         0   
    5.028    13.211   19.9738         0      48.1      5.05   40.6456   47.1757         0         0   
    5.145    13.175   20.3433         0      49.8      5.11   41.3402   47.9212         0         0   
    5.262    13.876   20.7478         0     51.27      5.25    42.023   48.8769         0         0   
    5.379    15.367   20.3591         0     51.28      5.36   42.6944   49.7337         0         0   
    5.496    17.678   21.3187         0      52.2      4.92   43.3543   51.4451         0         0   
    5.613    20.213   20.9662         0     52.79      4.07   44.0031   52.7676         0         0   
     5.73    22.063    21.686         0     53.31      3.64   44.6409   54.3127         0         0   
    5.847    23.586   21.4441         0      53.4      3.46   45.2677   55.3653         0         0   
    5.964    25.172   21.5641         0     54.33      3.56   45.8839   56.6036         0         0   
    6.081    26.415   21.6095         0     55.27      3.53   46.4895   57.6714         0         0   
    6.198    27.137   22.0163         0     56.01       3.5   47.0847   58.6354         0         0   
    6.315    27.499   21.7963         0      57.1      3.78   47.6698   59.1919         0         0   
    6.432    27.912   21.6378         0     58.05         4   48.2448   59.7899         0         0   
    6.548    28.607    21.876         0      58.8      4.04   48.8051   60.6536         0         0   
    6.665    29.368   22.2008         0     59.91      4.09   49.3607   61.5779         0         0   
    6.782    30.274   22.3431         0     61.22      4.32   49.9068   62.5013         0         0   
    6.899    31.311   22.1378         0     62.51      3.58   50.4435   63.3641         0         0   
    7.016    32.142   22.0996         0     64.58      3.79   50.9711   64.1837         0         0   
    7.133    32.791   22.1182         0     65.44      4.06   51.4896    64.928         0         0   
     7.25     33.43    22.003         0     66.45      4.17   51.9994   65.6173         0         0   
    7.367    34.003    21.761         0     67.92      4.08   52.5005   66.2272         0         0   
    7.484    34.488    21.616         0     68.02      3.99   52.9931   66.8202         0         0   
    7.601    35.051   21.5118         0     67.77      3.97   53.4773   67.4622         0         0   
    7.718    35.577   21.5351         0     67.06      4.06   53.9534   68.1209         0         0   
    7.835    36.098   21.2841         0     67.71         4   54.4215   68.6861         0         0   
    7.952    36.753   21.1674         0     69.24       4.1   54.8818   69.3603         0         0   
    8.069    37.294   21.1788         0     69.55      3.71   55.3344   70.0091         0         0   
    8.186    37.734   21.0655         0     69.09       3.3   55.7794   70.5617         0         0   
    8.303    38.132   20.8806         0      69.9      3.45    56.217   71.0662         0         0   
    8.419    38.304   20.9006         0     71.52      3.94   56.6438   71.5021         0         0   
    8.536    38.449   20.7083         0     71.57      4.49   57.0671   71.8597         0         0   
    8.653    38.952   20.7449         0     71.78       4.8   57.4835   72.4705         0         0   
     8.77    39.544    20.566         0     71.77      4.77   57.8931   73.0637         0         0   
    8.887    39.711   20.5477         0     72.04      4.89   58.2961   73.4684         0         0   
    9.004    39.447   20.4701         0     72.13       4.8   58.6925   73.6199         0         0   
    9.121    39.144   20.3479         0     72.49      4.84   59.0825   73.7362         0         0   
    9.238    39.046   20.3338         0     73.09      4.98   59.4662   73.9884         0         0   
    9.355    39.047   20.1932         0     73.73      4.83   59.8437   74.2543         0         0   
    9.472    38.979   20.1801         0     73.77      4.53   60.2153    74.515         0         0   
    9.589    38.816   20.0333         0     73.63      4.67   60.5809   74.6864         0         0   
    9.706    38.588   20.0392         0     73.13      5.03   60.9408   74.8624         0         0   
    9.823    38.341   19.9341         0     74.92      5.32    61.295   74.9965         0         0   
     9.94    37.964   19.8737         0     76.55      5.04   61.6437   75.0744         0         0   
   10.057    37.325    19.779         0     76.16      4.79   61.9869   75.0116         0         0   
   10.174    36.679    19.679         0     75.67      4.37   62.3248   74.9466         0         0   
    10.29    36.189   19.6623         0     77.03      4.39   62.6547   74.9791         0         0   
   10.407    35.768   19.5786         0      78.5       4.8   62.9823   75.0296         0         0   
   10.524    35.379   19.5298         0     78.05      5.24    63.305    75.104         0         0   
   10.641    35.054   19.4288         0     76.58      5.28   63.6227   75.1938         0         0   
   10.758    34.726   19.4162         0     73.95       4.3   63.9356   75.3037         0         0   
   10.875    34.394   19.3496         0     73.92      4.47   64.2438   75.3964         0         0   
   10.992    34.063   19.3281         0      75.9      4.35   64.5474   75.4999         0         0   
   11.109    33.686   19.2637         0     78.37      4.86   64.8465   75.5705         0         0   
   11.226    33.363   19.2072         0      80.5       4.2   65.1411   75.6662         0         0   
   11.343    33.103   19.2255         0     78.18      3.65   65.4314    75.807         0         0   
    11.46    32.863   19.2152         0      75.3      3.71   65.7175   75.9472         0         0   
   11.577    32.876   19.2159         0     75.29      4.61   65.9993   76.1971         0         0   
   11.694    34.485   19.2002         0     76.72      3.87   66.2771   77.1396         0         0   
