!# Results of ROTMAS saved at 10-Oct-2007 (17:36:57)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 17.0764
!# Red. Chi-square (N=100,n=2) : 0.174249
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     7.234870     4.078680     1.000000     1.000000 
!# Parameter error :     0.301997     0.134941     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958   2.11992         0      1.29      0.69   1.00519   2.53421         0         0   
    0.234     1.864    3.4351         0       3.5      1.47   2.00991   4.39479         0         0   
    0.351     2.853   4.31543         0      4.21      1.21   3.01368   5.98705         0         0   
    0.468     4.213   5.67865         0      8.77      4.08   4.01604   8.13173         0         0   
    0.585     5.647   6.91023         0     11.76      4.73   5.01652   10.2374         0         0   
    0.702     6.768   7.84109         0     11.77      4.42   6.01467   11.9777         0         0   
    0.819     7.144   8.84631         0     12.88       4.5   7.01002   13.3579         0         0   
    0.935     6.706   9.91321         0     15.66      5.37   7.99368   14.3924         0         0   
    1.052      5.75   11.0048         0     18.36      5.31   8.98217   15.3247         0         0   
    1.169     4.857   11.7802         0      18.8       5.4   9.96656    16.177         0         0   
    1.286     4.637   12.5183         0     18.75      6.05   10.9465   17.2637         0         0   
    1.403     4.464   13.0907         0     20.45      7.03   11.9214   18.2596         0         0   
     1.52     4.562   13.8434         0     21.31      6.77   12.8911   19.4585         0         0   
    1.637     5.572   14.6927         0     23.64      6.12   13.8552   20.9497         0         0   
    1.754     6.625   15.9116         0     24.11      5.46   14.8132   22.7266         0         0   
    1.871     7.021    16.413         0     23.58      4.95   15.7648   23.8162         0         0   
    1.988     7.216   16.6656         0     23.52      4.55   16.7097   24.6785         0         0   
    2.105      7.81   16.9213         0     24.37      4.67   17.6477   25.6665         0         0   
    2.222     8.519   17.1096         0     26.69      4.96   18.5783   26.6545         0         0   
    2.339     9.133   17.4915         0     27.61      4.42   19.5013   27.7429         0         0   
    2.456     9.861   17.5643         0     28.36      3.27   20.4165   28.6806         0         0   
    2.573     9.988   17.6971         0     29.37      3.69   21.3236   29.4558         0         0   
     2.69     9.153   17.8866         0     30.65      4.08   22.2224    29.959         0         0   
    2.806     7.791   18.2664         0     33.59      4.68   23.1051   30.4665         0         0   
    2.923     6.308   18.3136         0     34.22      4.58   23.9867   30.8308         0         0   
     3.04     5.184   19.1033         0     33.38      4.39   24.8594   31.7773         0         0   
    3.157     3.752   20.1628         0      33.6      4.12   25.7231   32.8982         0         0   
