!# Results of ROTMAS saved at 12-Oct-2007 (20:55:10)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 15.73
!# Red. Chi-square (N=100,n=3) : 0.162165
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     4.988490     6.744790     0.215670     1.000000 
!# Parameter error :     0.344200     0.704072     0.180606     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958   0.984497         0      1.29      0.69   1.29251   1.88616         0         0   
    0.234     1.864   1.59527         0       3.5      1.47   2.58375   3.56302         0         0   
    0.351     2.853    2.0041         0      4.21      1.21   3.87243   5.21073         0         0   
    0.468     4.213   2.63718         0      8.77      4.08   5.15732   7.16254         0         0   
    0.585     5.647   3.20913         0     11.76      4.73   6.43717   9.14463         0         0   
    0.702     6.768   3.64143         0     11.77      4.42   7.71078   10.8868         0         0   
    0.819     7.144   4.10825         0     12.88       4.5     8.977   12.1861         0         0   
    0.935     6.706   4.60372         0     15.66      5.37    10.224    13.065         0         0   
    1.052      5.75   5.11066         0     18.36      5.31   11.4722   13.8128         0         0   
    1.169     4.857   5.47075         0      18.8       5.4   12.7098   14.6649         0         0   
    1.286     4.637   5.81354         0     18.75      6.05   13.9358   15.7958         0         0   
    1.403     4.464   6.07935         0     20.45      7.03   15.1494   16.9231         0         0   
     1.52     4.562    6.4289         0     21.31      6.77   16.3497   18.1509         0         0   
    1.637     5.572   6.82334         0     23.64      6.12   17.5359   19.6243         0         0   
    1.754     6.625    7.3894         0     24.11      5.46   18.7073   21.1768         0         0   
    1.871     7.021   7.62227         0     23.58      4.95   19.8634   22.4042         0         0   
    1.988     7.216   7.73958         0     23.52      4.55   21.0034   23.5184         0         0   
    2.105      7.81   7.85831         0     24.37      4.67    22.127   24.7458         0         0   
    2.222     8.519   7.94572         0     26.69      4.96   23.2337   25.9906         0         0   
    2.339     9.133   8.12312         0     27.61      4.42   24.3231   27.2215         0         0   
    2.456     9.861   8.15689         0     28.36      3.27   25.3949   28.4372         0         0   
    2.573     9.988    8.2186         0     29.37      3.69   26.4488   29.4423         0         0   
     2.69     9.153   8.30657         0     30.65      4.08   27.4847   30.1361         0         0   
    2.806     7.791   8.48295         0     33.59      4.68   28.4938   30.7336         0         0   
    2.923     6.308   8.50489         0     34.22      4.58   29.4934   31.3366         0         0   
     3.04     5.184   8.87161         0     33.38      4.39   30.4746   32.1602         0         0   
    3.157     3.752   9.36364         0      33.6      4.12   31.4374   33.0162         0         0   
