!# Results of ROTMAS saved at 12-May-2008 (14:00:38)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 169.618
!# Red. Chi-square (N=100,n=2) : 1.730800
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.435184   938.471008     0.710000     1.000000 
!# Parameter error :   467.445374 987496.625000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958   1.78628         0      1.29      0.69   6.25638   6.57654         0         0   
    0.234     1.864   2.89447         0       3.5      1.47    8.8481   9.49428         0         0   
    0.351     2.853   3.63625         0      4.21      1.21    10.837   11.7814         0         0   
    0.468     4.213   4.78492         0      8.77      4.08   12.5138   14.0442         0         0   
    0.585     5.647   5.82266         0     11.76      4.73   13.9912   16.1724         0         0   
    0.702     6.768   6.60702         0     11.77      4.42    15.327   18.0104         0         0   
    0.819     7.144   7.45403         0     12.88       4.5   16.5555   19.5111         0         0   
    0.935     6.706   8.35302         0     15.66      5.37   17.6896   20.6801         0         0   
    1.052      5.75   9.27281         0     18.36      5.31   18.7643   21.7059         0         0   
    1.169     4.857   9.92617         0      18.8       5.4   19.7808   22.6583         0         0   
    1.286     4.637   10.5481         0     18.75      6.05   20.7476   23.7324         0         0   
    1.403     4.464   11.0304         0     20.45      7.03   21.6715   24.7235         0         0   
     1.52     4.562   11.6647         0     21.31      6.77   22.5576   25.8016         0         0   
    1.637     5.572   12.3803         0     23.64      6.12   23.4103   27.0622         0         0   
    1.754     6.625   13.4074         0     24.11      5.46   24.2332   28.4762         0         0   
    1.871     7.021   13.8298         0     23.58      4.95    25.029    29.445         0         0   
    1.988     7.216   14.0427         0     23.52      4.55   25.8004   30.2478         0         0   
    2.105      7.81   14.2581         0     24.37      4.67   26.5495   31.1315         0         0   
    2.222     8.519   14.4168         0     26.69      4.96   27.2781    32.008         0         0   
    2.339     9.133   14.7386         0     27.61      4.42   27.9878   32.9235         0         0   
    2.456     9.861   14.7999         0     28.36      3.27   28.6801   33.7465         0         0   
    2.573     9.988   14.9118         0     29.37      3.69   29.3561   34.4079         0         0   
     2.69     9.153   15.0715         0     30.65      4.08   30.0169    34.813         0         0   
    2.806     7.791   15.3915         0     33.59      4.68   30.6581   35.1784         0         0   
    2.923     6.308   15.4313         0     34.22      4.58   31.2916   35.4553         0         0   
     3.04     5.184   16.0967         0     33.38      4.39   31.9126   36.1163         0         0   
    3.157     3.752   16.9895         0      33.6      4.12   32.5217   36.8834         0         0   
    3.274    -0.405   17.4859         0      34.7      3.67   33.1198   37.4502         0         0   
    3.391    -2.159   17.8345         0     36.15      3.81   33.7073   38.0735         0         0   
    3.508     3.727   18.3029         0     37.48         4   34.2848   39.0427         0         0   
    3.625     7.018   19.2104         0     37.65      4.13   34.8528   40.4105         0         0   
    3.742     8.695    19.039         0     37.82      4.14   35.4118   41.1349         0         0   
    3.859     9.139   19.1649         0     38.98      4.21   35.9621   41.7622         0         0   
    3.976     9.993   19.1057         0     40.99      4.22   36.5042   42.3962         0         0   
    4.093    11.113   19.0618         0     42.65      4.83   37.0384   43.1125         0         0   
     4.21    11.686   19.0989         0     42.97      3.91    37.565   43.7317         0         0   
    4.327    11.993   19.1745         0     43.25      3.54   38.0845   44.2936         0         0   
    4.444    12.366   19.2444         0     43.54      3.46    38.597   44.8664         0         0   
    4.561    12.528   19.3705         0     43.64      3.79   39.1028   45.4004         0         0   
    4.677    12.771   19.2495         0     44.62      4.23    39.598   45.8437         0         0   
    4.794    13.036   19.0121         0     46.48      4.77   40.0913   46.2462         0         0   
    4.911    13.209   19.3223         0     46.27      4.69   40.5787   46.8451         0         0   
    5.028    13.211   19.9738         0      48.1      5.05   41.0604   47.5335         0         0   
    5.145    13.175   20.3433         0      49.8      5.11   41.5365   48.0907         0         0   
    5.262    13.876   20.7478         0     51.27      5.25   42.0073   48.8633         0         0   
    5.379    15.367   20.3591         0     51.28      5.36   42.4729   49.5437         0         0   
    5.496    17.678   21.3187         0      52.2      4.92   42.9335   51.0909         0         0   
    5.613    20.213   20.9662         0     52.79      4.07   43.3892   52.2568         0         0   
     5.73    22.063    21.686         0     53.31      3.64   43.8403   53.6566         0         0   
    5.847    23.586   21.4441         0      53.4      3.46   44.2868   54.5662         0         0   
    5.964    25.172   21.5641         0     54.33      3.56   44.7289   55.6715         0         0   
    6.081    26.415   21.6095         0     55.27      3.53   45.1668   56.6106         0         0   
    6.198    27.137   22.0163         0     56.01       3.5   45.6004   57.4503         0         0   
    6.315    27.499   21.7963         0      57.1      3.78   46.0301   57.8795         0         0   
    6.432    27.912   21.6378         0     58.05         4   46.4558   58.3559         0         0   
    6.548    28.607    21.876         0      58.8      4.04   46.8741   59.1109         0         0   
    6.665    29.368   22.2008         0     59.91      4.09   47.2923   59.9326         0         0   
    6.782    30.274   22.3431         0     61.22      4.32   47.7069   60.7592         0         0   
    6.899    31.311   22.1378         0     62.51      3.58   48.1179   61.5288         0         0   
    7.016    32.142   22.0996         0     64.58      3.79   48.5256   62.2594         0         0   
    7.133    32.791   22.1182         0     65.44      4.06   48.9298   62.9174         0         0   
     7.25     33.43    22.003         0     66.45      4.17   49.3308   63.5235         0         0   
    7.367    34.003    21.761         0     67.92      4.08   49.7286   64.0522         0         0   
    7.484    34.488    21.616         0     68.02      3.99   50.1233    64.568         0         0   
    7.601    35.051   21.5118         0     67.77      3.97    50.515    65.139         0         0   
    7.718    35.577   21.5351         0     67.06      4.06   50.9037   65.7318         0         0   
    7.835    36.098   21.2841         0     67.71         4   51.2894   66.2321         0         0   
    7.952    36.753   21.1674         0     69.24       4.1   51.6724   66.8497         0         0   
    8.069    37.294   21.1788         0     69.55      3.71   52.0525   67.4452         0         0   
    8.186    37.734   21.0655         0     69.09       3.3     52.43   67.9449         0         0   
    8.303    38.132   20.8806         0      69.9      3.45   52.8048   68.3988         0         0   
    8.419    38.304   20.9006         0     71.52      3.94   53.1738   68.7858         0         0   
    8.536    38.449   20.7083         0     71.57      4.49   53.5435   69.0946         0         0   
    8.653    38.952   20.7449         0     71.78       4.8   53.9106   69.6704         0         0   
     8.77    39.544    20.566         0     71.77      4.77   54.2754   70.2318         0         0   
    8.887    39.711   20.5477         0     72.04      4.89   54.6377   70.6006         0         0   
    9.004    39.447   20.4701         0     72.13       4.8   54.9977   70.7095         0         0   
    9.121    39.144   20.3479         0     72.49      4.84   55.3553   70.7849         0         0   
    9.238    39.046   20.3338         0     73.09      4.98   55.7108   71.0052         0         0   
    9.355    39.047   20.1932         0     73.73      4.83    56.064   71.2433         0         0   
    9.472    38.979   20.1801         0     73.77      4.53    56.415    71.479         0         0   
    9.589    38.816   20.0333         0     73.63      4.67   56.7639   71.6251         0         0   
    9.706    38.588   20.0392         0     73.13      5.03   57.1107   71.7791         0         0   
    9.823    38.341   19.9341         0     74.92      5.32   57.4555   71.8925         0         0   
     9.94    37.964   19.8737         0     76.55      5.04   57.7982   71.9504         0         0   
   10.057    37.325    19.779         0     76.16      4.79   58.1389   71.8644         0         0   
   10.174    36.679    19.679         0     75.67      4.37   58.4777   71.7792         0         0   
    10.29    36.189   19.6623         0     77.03      4.39   58.8117   71.7988         0         0   
   10.407    35.768   19.5786         0      78.5       4.8   59.1468   71.8402         0         0   
   10.524    35.379   19.5298         0     78.05      5.24   59.4799   71.9093         0         0   
   10.641    35.054   19.4288         0     76.58      5.28   59.8113   71.9976         0         0   
   10.758    34.726   19.4162         0     73.95       4.3   60.1408   72.1097         0         0   
   10.875    34.394   19.3496         0     73.92      4.47   60.4686   72.2067         0         0   
   10.992    34.063   19.3281         0      75.9      4.35   60.7947   72.3177         0         0   
   11.109    33.686   19.2637         0     78.37      4.86   61.1191   72.3973         0         0   
   11.226    33.363   19.2072         0      80.5       4.2   61.4417   72.5058         0         0   
