!# Results of ROTMAS saved at 10-Oct-2007 (17:31:54)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 177.45
!# Red. Chi-square (N=100,n=2) : 1.810714
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.436146   873.911987     1.000000     1.000000 
!# Parameter error :   585.010925 1152652.500000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958   2.11992         0      1.29      0.69   6.03083   6.46395         0         0   
    0.234     1.864    3.4351         0       3.5      1.47   8.52913   9.38192         0         0   
    0.351     2.853   4.31543         0      4.21      1.21   10.4463   11.6571         0         0   
    0.468     4.213   5.67865         0      8.77      4.08   12.0627   13.9823         0         0   
    0.585     5.647   6.91023         0     11.76      4.73   13.4869   16.1721         0         0   
    0.702     6.768   7.84109         0     11.77      4.42   14.7746   18.0438         0         0   
    0.819     7.144   8.84631         0     12.88       4.5   15.9589   19.5954         0         0   
    0.935     6.706   9.91321         0     15.66      5.37   17.0521   20.8331         0         0   
    1.052      5.75   11.0048         0     18.36      5.31   18.0881   21.9396         0         0   
    1.169     4.857   11.7802         0      18.8       5.4    19.068   22.9336         0         0   
    1.286     4.637   12.5183         0     18.75      6.05   20.0001    24.046         0         0   
    1.403     4.464   13.0907         0     20.45      7.03   20.8907   25.0542         0         0   
     1.52     4.562   13.8434         0     21.31      6.77   21.7449   26.1781         0         0   
    1.637     5.572   14.6927         0     23.64      6.12    22.567   27.4989         0         0   
    1.754     6.625   15.9116         0     24.11      5.46   23.3602   29.0305         0         0   
    1.871     7.021    16.413         0     23.58      4.95   24.1274   30.0136         0         0   
    1.988     7.216   16.6656         0     23.52      4.55   24.8711   30.7959         0         0   
    2.105      7.81   16.9213         0     24.37      4.67   25.5933   31.6598         0         0   
    2.222     8.519   17.1096         0     26.69      4.96   26.2957    32.508         0         0   
    2.339     9.133   17.4915         0     27.61      4.42   26.9799   33.4257         0         0   
    2.456     9.861   17.5643         0     28.36      3.27   27.6472   34.2069         0         0   
    2.573     9.988   17.6971         0     29.37      3.69   28.2989   34.8393         0         0   
     2.69     9.153   17.8866         0     30.65      4.08    28.936   35.2278         0         0   
    2.806     7.791   18.2664         0     33.59      4.68   29.5542   35.6063         0         0   
    2.923     6.308   18.3136         0     34.22      4.58    30.165   35.8483         0         0   
     3.04     5.184   19.1033         0     33.38      4.39   30.7636   36.5816         0         0   
    3.157     3.752   20.1628         0      33.6      4.12    31.351   37.4633         0         0   
    3.274    -0.405    20.752         0      34.7      3.67   31.9276   38.0769         0         0   
    3.391    -2.159   21.1656         0     36.15      3.81    32.494   38.7193         0         0   
    3.508     3.727   21.7215         0     37.48         4   33.0508   39.7249         0         0   
    3.625     7.018   22.7985         0     37.65      4.13   33.5984   41.2053         0         0   
    3.742     8.695   22.5951         0     37.82      4.14   34.1373   41.8509         0         0   
    3.859     9.139   22.7445         0     38.98      4.21   34.6679   42.4582         0         0   
    3.976     9.993   22.6743         0     40.99      4.22   35.1905    43.039         0         0   
    4.093    11.113   22.6222         0     42.65      4.83   35.7056   43.7053         0         0   
     4.21    11.686   22.6662         0     42.97      3.91   36.2134   44.2914         0         0   
    4.327    11.993   22.7559         0     43.25      3.54   36.7142   44.8285         0         0   
    4.444    12.366   22.8389         0     43.54      3.46   37.2083   45.3761         0         0   
