!# Results of ROTMAS saved at 10-Oct-2007 (17:33:25)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 161.641
!# Red. Chi-square (N=100,n=2) : 1.649400
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.001591   524.388000     0.000000     1.000000 
!# Parameter error :     0.070537    51.715343     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.117     0.958        -0         0      1.29      0.69   6.79322   6.86044         0         0   
    0.234     1.864        -0         0       3.5      1.47   9.60523   9.78442         0         0   
    0.351     2.853        -0         0      4.21      1.21   11.7605   12.1016         0         0   
    0.468     4.213        -0         0      8.77      4.08   13.5825   14.2209         0         0   
    0.585     5.647        -0         0     11.76      4.73   15.1848   16.2008         0         0   
    0.702     6.768        -0         0     11.77      4.42   16.6342   17.9583         0         0   
    0.819     7.144        -0         0     12.88       4.5   17.9665   19.3347         0         0   
    0.935     6.706        -0         0     15.66      5.37   19.1968   20.3344         0         0   
    1.052      5.75        -0         0     18.36      5.31   20.3625   21.1588         0         0   
    1.169     4.857        -0         0      18.8       5.4   21.4648   22.0074         0         0   
    1.286     4.637        -0         0     18.75      6.05   22.5132   22.9857         0         0   
    1.403     4.464        -0         0     20.45      7.03   23.5149   23.9348         0         0   
     1.52     4.562        -0         0     21.31      6.77   24.4756   24.8972         0         0   
    1.637     5.572        -0         0     23.64      6.12   25.4005   26.0045         0         0   
    1.754     6.625        -0         0     24.11      5.46   26.2925   27.1143         0         0   
    1.871     7.021        -0         0     23.58      4.95   27.1551    28.048         0         0   
    1.988     7.216        -0         0     23.52      4.55   27.9915   28.9066         0         0   
    2.105      7.81        -0         0     24.37      4.67   28.8033   29.8434         0         0   
    2.222     8.519        -0         0     26.69      4.96    29.593   30.7948         0         0   
    2.339     9.133        -0         0     27.61      4.42    30.362   31.7058         0         0   
    2.456     9.861        -0         0     28.36      3.27   31.1122   32.6375         0         0   
    2.573     9.988        -0         0     29.37      3.69   31.8446   33.3742         0         0   
     2.69     9.153        -0         0     30.65      4.08   32.5605   33.8225         0         0   
    2.806     7.791        -0         0     33.59      4.68   33.2553   34.1557         0         0   
    2.923     6.308        -0         0     34.22      4.58   33.9414   34.5226         0         0   
     3.04     5.184        -0         0     33.38      4.39    34.614   35.0001         0         0   
    3.157     3.752        -0         0      33.6      4.12   35.2737   35.4727         0         0   
    3.274    -0.405        -0         0      34.7      3.67   35.9214   35.9192         0         0   
    3.391    -2.159        -0         0     36.15      3.81   36.5577   36.4939         0         0   
    3.508     3.727        -0         0     37.48         4    37.183   37.3694         0         0   
    3.625     7.018        -0         0     37.65      4.13    37.798    38.444         0         0   
    3.742     8.695        -0         0     37.82      4.14   38.4031   39.3752         0         0   
    3.859     9.139        -0         0     38.98      4.21   38.9989   40.0554         0         0   
    3.976     9.993        -0         0     40.99      4.22   39.5856   40.8275         0         0   
    4.093    11.113        -0         0     42.65      4.83   40.1638   41.6729         0         0   
     4.21    11.686        -0         0     42.97      3.91   40.7339    42.377         0         0   
    4.327    11.993        -0         0     43.25      3.54    41.296   43.0022         0         0   
    4.444    12.366        -0         0     43.54      3.46   41.8506   43.6393         0         0   
    4.561    12.528        -0         0     43.64      3.79   42.3979   44.2101         0         0   
    4.677    12.771        -0         0     44.62      4.23   42.9337   44.7928         0         0   
    4.794    13.036        -0         0     46.48      4.77   43.4673     45.38         0         0   
    4.911    13.209        -0         0     46.27      4.69   43.9946   45.9347         0         0   
    5.028    13.211        -0         0      48.1      5.05   44.5155   46.4345         0         0   
    5.145    13.175        -0         0      49.8      5.11   45.0305   46.9183         0         0   
    5.262    13.876        -0         0     51.27      5.25   45.5396   47.6067         0         0   
    5.379    15.367        -0         0     51.28      5.36   46.0431   48.5398         0         0   
    5.496    17.678        -0         0      52.2      4.92   46.5411   49.7854         0         0   
    5.613    20.213        -0         0     52.79      4.07   47.0339   51.1933         0         0   
     5.73    22.063        -0         0     53.31      3.64   47.5216   52.3935         0         0   
    5.847    23.586        -0         0      53.4      3.46   48.0043   53.4856         0         0   
    5.964    25.172        -0         0     54.33      3.56   48.4822   54.6274         0         0   
    6.081    26.415        -0         0     55.27      3.53   48.9554   55.6272         0         0   
    6.198    27.137        -0         0     56.01       3.5   49.4241    56.384         0         0   
    6.315    27.499        -0         0      57.1      3.78   49.8884   56.9654         0         0   
    6.432    27.912        -0         0     58.05         4   50.3484   57.5677         0         0   
    6.548    28.607        -0         0      58.8      4.04   50.8004   58.3013         0         0   
    6.665    29.368        -0         0     59.91      4.09   51.2522     59.07         0         0   
    6.782    30.274        -0         0     61.22      4.32   51.7001   59.9118         0         0   
    6.899    31.311        -0         0     62.51      3.58   52.1441   60.8226         0         0   
    7.016    32.142        -0         0     64.58      3.79   52.5845   61.6298         0         0   
    7.133    32.791        -0         0     65.44      4.06   53.0211   62.3417         0         0   
     7.25     33.43        -0         0     66.45      4.17   53.4542   63.0469         0         0   
    7.367    34.003        -0         0     67.92      4.08   53.8837   63.7155         0         0   
    7.484    34.488        -0         0     68.02      3.99   54.3099    64.335         0         0   
    7.601    35.051        -0         0     67.77      3.97   54.7328   64.9942         0         0   
    7.718    35.577        -0         0     67.06      4.06   55.1524   65.6316         0         0   
    7.835    36.098        -0         0     67.71         4   55.5689   66.2644         0         0   
    7.952    36.753        -0         0     69.24       4.1   55.9822   66.9686         0         0   
    8.069    37.294        -0         0     69.55      3.71   56.3925   67.6089         0         0   
    8.186    37.734        -0         0     69.09       3.3   56.7999   68.1915         0         0   
    8.303    38.132        -0         0      69.9      3.45   57.2044   68.7487         0         0   
