!# Results of ROTMAS saved at 25-May-2007 (01:51:34)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 6.4682
!# Red. Chi-square (N=41,n=2) : 0.165851
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.356590    34.765598     1.000000     1.000000 
!# Parameter error :     0.073255     2.416467     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
      0.2   -1.41655   2.50474         0      6.71      1.28   4.98465   5.39573         0         0   
      0.4   -2.29669   5.76264         0      9.86      1.49   9.78435   11.1206         0         0   
      0.6   0.947918   7.96155         0     12.65      2.77   14.2537    16.354         0         0   
    0.801   4.97499   8.76528         0     19.13      4.58   18.3265   20.9151         0         0   
    1.001   7.25802   9.96013         0     25.17      3.92   21.9337   25.1589         0         0   
    1.201   9.34301   11.4178         0     28.48      3.32   25.1096    29.123         0         0   
    1.401   11.0736   11.2715         0     32.06      4.02   27.8903   32.0552         0         0   
    1.601   12.8118   11.3618         0      34.5      3.86   30.3212   34.8225         0         0   
    1.801   14.0579   11.3769         0     39.54      3.66    32.449   37.1483         0         0   
    2.001   15.6654   12.4563         0     42.86      3.44   34.3169   39.7267         0         0   
    2.201   17.7794   14.7261         0     44.35      3.82   35.9631   42.7353         0         0   
    2.402   19.7363   14.6504         0     45.55         4   37.4272   44.7767         0         0   
    2.602   21.1117   14.6123         0     47.75         3   38.7226   46.4614         0         0   
    2.802   21.8857   14.6768         0     49.19       3.3   39.8801   47.7997         0         0   
    3.002   22.8763    14.857         0     49.69      4.39   40.9192   49.1776         0         0   
    3.202   23.4143   14.7144         0      49.8      4.17    41.856   50.1664         0         0   
    3.402   23.4751   15.1952         0     50.25      3.95   42.7043   51.0454         0         0   
    3.602   24.3338   15.3957         0      52.1      3.62   43.4754   52.1467         0         0   
    3.802   25.3143   15.5981         0     53.38      3.91   44.1791   53.2532         0         0   
    4.003   26.3725   15.6803         0     54.79      4.35   44.8265   54.3212         0         0   
    4.203   27.1116   15.6733         0     54.93       4.1   45.4182    55.168         0         0   
    4.403    27.312   15.9288         0     54.26       4.3   45.9635   55.7881         0         0   
    4.603   27.2544   15.6205         0     54.32       4.5   46.4675   56.0895         0         0   
    4.803   27.1673   15.7576         0     54.57      4.89   46.9347   56.4733         0         0   
    5.003   27.2729   15.5752         0     55.62      6.49   47.3688   56.8349         0         0   
    5.203   27.4601   15.6214         0     56.07      5.68   47.7732   57.2745         0         0   
    5.404   27.5063   15.4308         0     56.67      6.87   48.1526    57.562         0         0   
    5.604    27.418   15.3131         0     57.05      7.43   48.5057   57.7845         0         0   
    5.804   27.2099   15.2595         0     56.97      7.94   48.8368   57.9505         0         0   
    6.004   26.9832   15.1151         0     56.75      10.3   49.1478   58.0695         0         0   
    6.204   26.7022   15.0718         0     55.18      13.9   49.4405   58.1767         0         0   
    6.404     26.19   14.8746         0     54.87      14.8   49.7163   58.1282         0         0   
    6.604   25.5915   14.8465         0     56.97        16   49.9768   58.0778         0         0   
    6.804   25.1865   14.6533         0     58.53      19.2   50.2232   58.0641         0         0   
    7.005   24.9405   14.6384         0     57.14      21.9   50.4576   58.1574         0         0   
    7.205   24.8203   14.4491         0      58.1      20.9   50.6788   58.2509         0         0   
    7.405    24.699   14.4211         0     60.84      25.6   50.8888   58.3754         0         0   
    7.605   24.5039   14.2663         0     61.44      29.3   51.0886   58.4295         0         0   
    7.805   24.3184   14.2795         0     64.04      35.2   51.2787   58.5218         0         0   
    8.005   24.1945   14.1896         0     66.33      36.9   51.4599   58.6075         0         0   
    8.205   26.3303   14.1814         0     66.72      35.5   51.6328   59.6686         0         0   
