!# Results of ROTMAS saved at 25-May-2007 (01:52:15)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 5.28526
!# Red. Chi-square (N=41,n=2) : 0.135519
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.250120    43.788300     0.000000     1.000000 
!# Parameter error :     0.051202     2.356142     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
      0.2   -1.41655        -0         0      6.71      1.28   5.58786   5.40533         0         0   
      0.4   -2.29669        -0         0      9.86      1.49   10.9338   10.6898         0         0   
      0.6   0.947918        -0         0     12.65      2.77   15.8554   15.8838         0         0   
    0.801   4.97499        -0         0     19.13      4.58   20.2775   20.8789         0         0   
    1.001   7.25802        -0         0     25.17      3.92   24.1368   25.2045         0         0   
    1.201   9.34301        -0         0     28.48      3.32   27.4875    29.032         0         0   
    1.401   11.0736        -0         0     32.06      4.02   30.3846   32.3396         0         0   
    1.601   12.8118        -0         0      34.5      3.86   32.8898   35.2971         0         0   
    1.801   14.0579        -0         0     39.54      3.66   35.0624   37.7756         0         0   
    2.001   15.6654        -0         0     42.86      3.44   36.9545   40.1378         0         0   
    2.201   17.7794        -0         0     44.35      3.82    38.611   42.5079         0         0   
    2.402   19.7363        -0         0     45.55         4   40.0761   44.6723         0         0   
    2.602   21.1117        -0         0     47.75         3   41.3659   46.4418         0         0   
    2.802   21.8857        -0         0     49.19       3.3   42.5138   47.8164         0         0   
    3.002   22.8763        -0         0     49.69      4.39   43.5407   49.1845         0         0   
    3.202   23.4143        -0         0      49.8      4.17   44.4637   50.2519         0         0   
    3.402   23.4751        -0         0     50.25      3.95   45.2972   51.0188         0         0   
    3.602   24.3338        -0         0      52.1      3.62   46.0532   52.0868         0         0   
    3.802   25.3143        -0         0     53.38      3.91   46.7416   53.1563         0         0   
    4.003   26.3725        -0         0     54.79      4.35   47.3738   54.2198         0         0   
    4.203   27.1116        -0         0     54.93       4.1   47.9508   55.0846         0         0   
    4.403    27.312        -0         0     54.26       4.3   48.4817   55.6455         0         0   
    4.603   27.2544        -0         0     54.32       4.5   48.9719    56.045         0         0   
    4.803   27.1673        -0         0     54.57      4.89   49.4256      56.4         0         0   
    5.003   27.2729        -0         0     55.62      6.49   49.8469   56.8201         0         0   
    5.203   27.4601        -0         0     56.07      5.68   50.2389   57.2539         0         0   
    5.404   27.5063        -0         0     56.67      6.87   50.6063   57.5986         0         0   
    5.604    27.418        -0         0     57.05      7.43   50.9481   57.8572         0         0   
    5.804   27.2099        -0         0     56.97      7.94   51.2683   58.0415         0         0   
    6.004   26.9832        -0         0     56.75      10.3   51.5688   58.2017         0         0   
    6.204   26.7022        -0         0     55.18      13.9   51.8515   58.3231         0         0   
    6.404     26.19        -0         0     54.87      14.8   52.1178   58.3283         0         0   
    6.604   25.5915        -0         0     56.97        16   52.3692   58.2877         0         0   
    6.804   25.1865        -0         0     58.53      19.2   52.6067   58.3252         0         0   
    7.005   24.9405        -0         0     57.14      21.9   52.8327   58.4237         0         0   
    7.205   24.8203        -0         0      58.1      20.9   53.0458   58.5654         0         0   
    7.405    24.699        -0         0     60.84      25.6   53.2482   58.6976         0         0   
    7.605   24.5039        -0         0     61.44      29.3   53.4405   58.7905         0         0   
    7.805   24.3184        -0         0     64.04      35.2   53.6235   58.8801         0         0   
    8.005   24.1945        -0         0     66.33      36.9   53.7978   58.9879         0         0   
    8.205   26.3303        -0         0     66.72      35.5   53.9641   60.0451         0         0   
