!# Results of ROTMAS saved at 12-May-2008 (14:02:15)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 39.2406
!# Red. Chi-square (N=41,n=2) : 1.006169
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.352119  1155.020020     0.710000     1.000000 
!# Parameter error :   108.033279 247573.687500     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
      0.2   -1.41655   2.50474         0      6.71      1.28   9.90672   10.0295         0         0   
      0.4   -2.29669   5.76264         0      9.86      1.49   14.0106   14.6493         0         0   
      0.6   0.947918   7.96155         0     12.65      2.77     17.16   18.4491         0         0   
    0.801   4.97499   8.76528         0     19.13      4.58   19.8276   21.7356         0         0   
    1.001   7.25802   9.96013         0     25.17      3.92   22.1659   24.7879         0         0   
    1.201   9.34301   11.4178         0     28.48      3.32   24.2802   27.7377         0         0   
    1.401   11.0736   11.2715         0     32.06      4.02   26.2249   30.0095         0         0   
    1.601   12.8118   11.3618         0      34.5      3.86   28.0352   32.2764         0         0   
    1.801   14.0579   11.3769         0     39.54      3.66   29.7357   34.2598         0         0   
    2.001   15.6654   12.4563         0     42.86      3.44   31.3442   36.5791         0         0   
    2.201   17.7794   14.7261         0     44.35      3.82   32.8744   39.3802         0         0   
    2.402   19.7363   14.6504         0     45.55         4   34.3437   41.4898         0         0   
    2.602   21.1117   14.6123         0     47.75         3    35.746   43.3022         0         0   
    2.802   21.8857   14.6768         0     49.19       3.3   37.0955   44.8107         0         0   
    3.002   22.8763    14.857         0     49.69      4.39   38.3978   46.4159         0         0   
    3.202   23.4143   14.7144         0      49.8      4.17   39.6574   47.6934         0         0   
    3.402   23.4751   15.1952         0     50.25      3.95   40.8784   48.8473         0         0   
    3.602   24.3338   15.3957         0      52.1      3.62   42.0641   50.2973         0         0   
    3.802   25.3143   15.5981         0     53.38      3.91   43.2175   51.7814         0         0   
    4.003   26.3725   15.6803         0     54.79      4.35   44.3465   53.2606         0         0   
    4.203   27.1116   15.6733         0     54.93       4.1   45.4422   54.5385         0         0   
    4.403    27.312   15.9288         0     54.26       4.3   46.5123   55.5831         0         0   
    4.603   27.2544   15.6205         0     54.32       4.5   47.5584   56.3724         0         0   
    4.803   27.1673   15.7576         0     54.57      4.89   48.5821   57.2239         0         0   
    5.003   27.2729   15.5752         0     55.62      6.49   49.5848   58.0921         0         0   
    5.203   27.4601   15.6214         0     56.07      5.68   50.5677   59.0289         0         0   
    5.404   27.5063   15.4308         0     56.67      6.87   51.5368   59.8473         0         0   
    5.604    27.418   15.3131         0     57.05      7.43   52.4834   60.6032         0         0   
    5.804   27.2099   15.2595         0     56.97      7.94   53.4134   61.3082         0         0   
    6.004   26.9832   15.1151         0     56.75      10.3   54.3275   61.9821         0         0   
    6.204   26.7022   15.0718         0     55.18      13.9   55.2266    62.644         0         0   
    6.404     26.19   14.8746         0     54.87      14.8   56.1115   63.1783         0         0   
    6.604   25.5915   14.8465         0     56.97        16   56.9827   63.7059         0         0   
    6.804   25.1865   14.6533         0     58.53      19.2   57.8408   64.2835         0         0   
    7.005   24.9405   14.6384         0     57.14      21.9   58.6908   64.9521         0         0   
    7.205   24.8203   14.4491         0      58.1      20.9   59.5245   65.6312         0         0   
    7.405    24.699   14.4211         0     60.84      25.6   60.3469   66.3283         0         0   
    7.605   24.5039   14.2663         0     61.44      29.3   61.1583   66.9722         0         0   
    7.805   24.3184   14.2795         0     64.04      35.2   61.9591   67.6394         0         0   
    8.005   24.1945   14.1896         0     66.33      36.9   62.7499   68.3072         0         0   
    8.205   26.3303   14.1814         0     66.72      35.5   63.5308   69.8015         0         0   
