!# Results of ROTMAS saved at 25-May-2007 (01:27:26)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 38.2827
!# Red. Chi-square (N=41,n=2) : 0.981609
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.322627   430.513000     1.000000     1.000000 
!# Parameter error :     9.439689  4151.254883     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
      0.2   -1.41655   2.50474         0      6.71      1.28   9.70315    9.9206         0         0   
      0.4   -2.29669   5.76264         0      9.86      1.49   13.7213    14.704         0         0   
      0.6   0.947918   7.96155         0     12.65      2.77   16.8038   18.6186         0         0   
    0.801   4.97499   8.76528         0     19.13      4.58   19.4141   21.8743         0         0   
    1.001   7.25802   9.96013         0     25.17      3.92   21.7012   24.9565         0         0   
    1.201   9.34301   11.4178         0     28.48      3.32   23.7688   27.9752         0         0   
    1.401   11.0736   11.2715         0     32.06      4.02   25.6697   30.1431         0         0   
    1.601   12.8118   11.3618         0      34.5      3.86   27.4388   32.3438         0         0   
    1.801   14.0579   11.3769         0     39.54      3.66   29.1001   34.2618         0         0   
    2.001   15.6654   12.4563         0     42.86      3.44    30.671   36.6234         0         0   
    2.201   17.7794   14.7261         0     44.35      3.82   32.1649   39.5922         0         0   
    2.402   19.7363   14.6504         0     45.55         4    33.599   41.6299         0         0   
    2.602   21.1117   14.6123         0     47.75         3   34.9672   43.3812         0         0   
    2.802   21.8857   14.6768         0     49.19       3.3   36.2835   44.8429         0         0   
    3.002   22.8763    14.857         0     49.69      4.39   37.5532   46.4145         0         0   
    3.202   23.4143   14.7144         0      49.8      4.17   38.7811   47.6311         0         0   
    3.402   23.4751   15.1952         0     50.25      3.95   39.9709   48.7816         0         0   
    3.602   24.3338   15.3957         0      52.1      3.62    41.126   50.2047         0         0   
    3.802   25.3143   15.5981         0     53.38      3.91   42.2492   51.6634         0         0   
    4.003   26.3725   15.6803         0     54.79      4.35   43.3483    53.108         0         0   
    4.203   27.1116   15.6733         0     54.93       4.1   44.4147   54.3448         0         0   
    4.403    27.312   15.9288         0     54.26       4.3   45.4558   55.3706         0         0   
    4.603   27.2544   15.6205         0     54.32       4.5   46.4732   56.0942         0         0   
    4.803   27.1673   15.7576         0     54.57      4.89   47.4685   56.9177         0         0   
    5.003   27.2729   15.5752         0     55.62      6.49   48.4432   57.7333         0         0   
    5.203   27.4601   15.6214         0     56.07      5.68   49.3983   58.6368         0         0   
    5.404   27.5063   15.4308         0     56.67      6.87   50.3396   59.4036         0         0   
    5.604    27.418   15.3131         0     57.05      7.43   51.2588   60.1141         0         0   
    5.804   27.2099   15.2595         0     56.97      7.94   52.1616   60.7788         0         0   
    6.004   26.9832   15.1151         0     56.75      10.3   53.0487   61.4063         0         0   
    6.204   26.7022   15.0718         0     55.18      13.9    53.921   62.0294         0         0   
    6.404     26.19   14.8746         0     54.87      14.8   54.7792   62.5134         0         0   
    6.604   25.5915   14.8465         0     56.97        16   55.6238   63.0028         0         0   
    6.804   25.1865   14.6533         0     58.53      19.2   56.4556    63.532         0         0   
    7.005   24.9405   14.6384         0     57.14      21.9   57.2791   64.1655         0         0   
    7.205   24.8203   14.4491         0      58.1      20.9   58.0867   64.7989         0         0   
    7.405    24.699   14.4211         0     60.84      25.6    58.883   65.4616         0         0   
    7.605   24.5039   14.2663         0     61.44      29.3   59.6684   66.0628         0         0   
    7.805   24.3184   14.2795         0     64.04      35.2   60.4434   66.6986         0         0   
    8.005   24.1945   14.1896         0     66.33      36.9   61.2084   67.3289         0         0   
    8.205   26.3303   14.1814         0     66.72      35.5   61.9637   68.8033         0         0   
