!# Results of ROTMAS saved at 27-Apr-2007 (12:24:07)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 33.8905
!# Red. Chi-square (N=30,n=3) : 1.255205
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.410978   885.633972     3.483880     1.000000 
!# Parameter error :   597.395691 1145652.000000     1.835353     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    0.186   -1.41655   4.67514         0      6.71      1.28   7.87076    9.0443         0         0   
    0.371   -2.29669   10.7561         0      9.86      1.49   11.1164   15.2968         0         0   
    0.557   0.947918   14.8604         0     12.65      2.77   13.6215    20.181         0         0   
    0.742   4.97499   16.3605         0     19.13      4.58   15.7224   23.2295         0         0   
    0.928   7.25802   18.5907         0     25.17      3.92   17.5837   26.5985         0         0   
    1.114   9.34301   21.3115         0     28.48      3.32   19.2662   30.2102         0         0   
    1.299   11.0736   21.0384         0     32.06      4.02   20.8055   31.5928         0         0   
    1.485   12.8118   21.2069         0      34.5      3.86   22.2461   33.2981         0         0   
     1.67   14.0579   21.2352         0     39.54      3.66   23.5922   34.7152         0         0   
    1.856   15.6654   23.2498         0     42.86      3.44   24.8724   37.4779         0         0   
    2.041   17.7794   27.4865         0     44.35      3.82   26.0837   41.8565         0         0   
    2.227   19.7363   27.3452         0     45.55         4   27.2475   43.3556         0         0   
    2.413   21.1117   27.2741         0     47.75         3   28.3637   44.6551         0         0   
    2.598   21.8857   27.3945         0     49.19       3.3   29.4322   45.7788         0         0   
    2.784   22.8763   27.7309         0     49.69      4.39   30.4689   47.1241         0         0   
    2.969   23.4143   27.4646         0      49.8      4.17   31.4663   47.8818         0         0   
    3.155   23.4751    28.362         0     50.25      3.95   32.4384   49.0686         0         0   
    3.341   24.3338   28.7364         0      52.1      3.62   33.3823   50.3219         0         0   
    3.526   25.3143    29.114         0     53.38      3.91   34.2956   51.6201         0         0   
    3.712   26.3725   29.2675         0     54.79      4.35   35.1901   52.8246         0         0   
    3.897   27.1116   29.2545         0     54.93       4.1   36.0578   53.7683         0         0   
    4.083    27.312   29.7313         0     54.26       4.3   36.9099   54.7014         0         0   
    4.268   27.2544   29.1558         0     54.32       4.5   37.7385   54.9278         0         0   
    4.454   27.1673   29.4119         0     54.57      4.89   38.5537   55.5833         0         0   
     4.64   27.2729   29.0713         0     55.62      6.49   39.3522   56.0138         0         0   
    4.825   27.4601   29.1575         0     56.07      5.68   40.1307   56.6983         0         0   
    5.011   27.5063   28.8018         0     56.67      6.87   40.8987   57.0863         0         0   
    5.196    27.418   28.5822         0     57.05      7.43   41.6486   57.4743         0         0   
    5.382   27.2099   28.4821         0     56.97      7.94   42.3893   57.8659         0         0   
    5.568   26.9832   28.2125         0     56.75      10.3   43.1174   58.1649         0         0   
