!# Results of ROTMAS saved at 12-May-2008 (13:38:02)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 277.357
!# Red. Chi-square (N=288,n=2) : 0.969780
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     1.528360   145.820999     0.710000     0.710000     1.000000 
!# Parameter error :     0.040958     6.887234     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   -0.863672   7.14538      1.98     6.926   3.21031   7.73601         0         0   
    0.125    -1.771   3.64692   12.8643     15.78     7.691   6.40896   14.7217         0         0   
   0.1876     -2.74   7.30954   17.4078      22.3     4.584   9.59464   21.0003         0         0   
   0.2501    -3.448   10.5148   21.0776     32.16     4.542    12.747   26.5598         0         0   
   0.3126    -3.847   13.7908   24.0548     39.67     4.433   15.8627   31.7119         0         0   
   0.3751    -3.736   17.1019   26.4726     46.24     4.892   18.9337   36.5759         0         0   
   0.4377    -3.329   20.0633   28.4173     53.31     5.425   21.9575   41.0015         0         0   
   0.5002    -3.488   22.5073    29.962     59.93     5.252   24.9182   44.8671         0         0   
   0.5627    -3.553   24.6217   31.1778     63.97     4.703   27.8151   48.3668         0         0   
   0.6252    -3.157   26.6197   32.1126     67.31     4.833   30.6436   51.6613         0         0   
   0.6878    -2.552   28.4111   32.8111     71.34     5.217   33.4042   54.7091         0         0   
   0.7503     -1.75   30.1812   33.3033     75.57     5.835   36.0853   57.6116         0         0   
   0.8128    -1.157   31.8065    33.624     77.88     5.215   38.6891   60.3137         0         0   
   0.8753    0.9515   33.2278   33.7983     78.48     4.769   41.2144   62.8167         0         0   
   0.9379     1.491   34.4107   33.8521     79.11     4.473   43.6642   65.1064         0         0   
        1     -1.75   35.4495   33.8013     79.94     4.478   46.0157   67.1832         0         0   
    1.063    -3.049   36.5921    33.659     78.37     4.277   48.3216   69.2646         0         0   
    1.125    -3.095   37.7202   33.4539     78.17     5.311   50.5133   71.3022         0         0   
    1.188    -2.711   38.9961   33.1795     80.29     5.612   52.6629   73.4003         0         0   
     1.25    -1.524   40.5456   32.8666     81.05     4.532   54.7035   75.5931         0         0   
    1.313     2.252   42.3149   32.5035     82.24     4.249   56.7029    77.893         0         0   
    1.376     4.243   43.9459   32.1164     84.09     4.042   58.6295   80.1132         0         0   
    1.438     5.631   45.2635   31.7089     84.33     4.746   60.4565   82.1032         0         0   
    1.501     5.952   46.3121   31.2775     85.52     5.536   62.2452   83.8629         0         0   
    1.563      5.54   47.1939     30.84     87.43     6.061    63.941   85.4255         0         0   
    1.626     4.284   47.8496   30.3846      89.9     6.303   65.6011   86.8024         0         0   
    1.688     1.864   48.2801   29.9355     91.76      6.55   67.1749   87.9945         0         0   
    1.751    -1.383    48.718   29.4732     93.15     6.431   68.7157   89.2303         0         0   
    1.813     3.054   49.2361   29.0235     93.87     6.196   70.1768   90.5575         0         0   
    1.876     4.459   49.7344   28.5667     94.41     5.643   71.6076   91.8536         0         0   
    1.938     4.357   50.2091   28.1242     95.31     5.843   72.9648    93.031         0         0   
    2.001     4.822   50.5293     27.68     96.72     5.987   74.2945   94.1399         0         0   
    2.063     5.207   50.7541   27.2513     98.01      5.72   75.5565   95.1552         0         0   
    2.126     4.209   51.0198   26.8246     97.78     6.124   76.7936   96.1122         0         0   
    2.188     2.869   51.3137   26.4138     98.34     6.088   77.9683   97.0467         0         0   
    2.251    0.8887    51.768   26.0079     96.17     5.947   79.1204   98.0672         0         0   
    2.313    -2.144   52.1946   25.6176     96.39     6.168   80.2152   99.0476         0         0   
    2.376    -2.411   52.4536   25.2329     98.41     5.719   81.2897   99.9514         0         0   
    2.438    -3.313   52.8176    24.865     98.95      5.65   82.3114   100.857         0         0   
    2.501    -3.768   53.1906   24.5021     97.96     5.947   83.3148   101.768         0         0   
    2.563    -1.335   53.4547   24.1562     98.02     5.535   84.2696   102.667         0         0   
    2.626     3.758   53.8097   23.8149     97.81     5.436    85.208    103.62         0         0   
    2.689      4.56   54.1467   23.4858     98.59      4.98   86.1157     104.5         0         0   
    2.751     4.388   54.5722   23.1717     99.98      4.97   86.9804   105.356         0         0   
    2.814     2.929   55.1847   22.8635     99.95     5.133   87.8311   106.259         0         0   
    2.876     -3.21   55.8685   22.5696       100     4.688   88.6421   107.134         0         0   
    2.939     -4.77   56.3794   22.2811     100.5     4.215   89.4406   107.944         0         0   
    3.001    -5.367   56.8785   22.0064     101.5      3.98   90.2023   108.752         0         0   
    3.064    -5.373   57.3729   21.7361     102.3     4.451   90.9528   109.579         0         0   
    3.126    -4.263     57.85   21.4798     103.4     4.389   91.6692   110.422         0         0   
    3.189     2.225   58.2688   21.2269     104.1      4.25   92.3757   111.284         0         0   
    3.251     5.319   58.7283    20.987     104.8     4.151   93.0505   112.143         0         0   
    3.314      7.78   59.3215   20.7504       106     4.658   93.7163   113.106         0         0   
    3.376     9.963    59.807   20.5255     107.8     5.368   94.3528   114.017         0         0   
    3.439     12.08   60.3165    20.304     108.8     5.801   94.9813   114.968         0         0   
    3.501     14.33   60.6879   20.0927       110     5.913   95.5824    115.88         0         0   
    3.564     16.21   60.9175   19.8852     110.8     5.957   96.1764   116.701         0         0   
    3.626      17.4    61.008   19.6866     111.9     6.024   96.7449   117.354         0         0   
    3.689     17.95   60.7917   19.4916     113.2     6.022   97.3069   117.756         0         0   
    3.751     18.05   60.5577   19.3051     114.3     5.968   97.8452   118.065         0         0   
    3.814        18   60.2424    19.121     114.8     5.845   98.3777   118.309         0         0   
    3.877     17.95   59.8199   18.9429     115.8     5.533   98.8962    118.49         0         0   
    3.939     17.97   59.3756   18.7721     116.3      5.87   99.3932   118.658         0         0   
    4.002     18.19   58.8994    18.604     116.7     5.649   99.8853   118.841         0         0   
    4.064      18.4   58.6452   18.4426     117.2     5.172   100.357    119.12         0         0   
    4.127     18.73   58.3415   18.2836     117.5     5.133   100.825   119.392         0         0   
    4.189     19.29   58.0885   18.1309     118.3     5.236   101.274   119.714         0         0   
    4.252     20.02   57.9158   17.9798     119.1     5.377   101.719   120.104         0         0   
    4.314     20.62   57.6327   17.8355     119.2     5.942   102.146    120.41         0         0   
    4.377     21.05   57.1461   17.6921     119.5     6.878   102.569   120.591         0         0   
    4.439     21.34   56.9343    17.555     120.6     7.367   102.976   120.869         0         0   
    4.502      21.3   56.5859   17.4187     120.4     7.718    103.38   121.023         0         0   
    4.564     21.41   56.1785   17.2883     120.5     7.834   103.769   121.166         0         0   
    4.627     21.91   55.8331   17.1584     121.2     7.553   104.154   121.408         0         0   
    4.689     22.39   55.3895   17.0337     121.4     7.463   104.525   121.593         0         0   
    4.752     22.25    55.084   16.9104     121.7     6.861   104.893   121.728         0         0   
    4.814     21.82   54.8167   16.7912     122.2     6.338   105.247   121.819         0         0   
    4.877     22.14   54.6019   16.6733     122.7     6.054   105.599   122.068         0         0   
    4.939     22.95   54.3799   16.5595     123.5      5.87   105.938   122.397         0         0   
    5.002     23.44   54.0377   16.4463     124.4     5.873   106.275   122.614         0         0   
    5.064     23.72   53.7762   16.3377     125.1     5.817   106.599    122.82         0         0   
    5.127     24.13    53.562   16.2293     125.9     5.933   106.922   123.072         0         0   
     5.19     24.52   53.2585   16.1234     125.9     6.142   107.237   123.278         0         0   
    5.252     24.58   52.9905   16.0211     126.1     6.468   107.542   123.426         0         0   
    5.315     24.42   52.6625   15.9195     125.8     6.591   107.844   123.505         0         0   
    5.377     24.57   52.3889   15.8212     126.1     6.455   108.136   123.661         0         0   
     5.44     24.78   52.3242   15.7232     126.3      6.02   108.427   123.917         0         0   
    5.502     24.64   51.9571    15.629     125.9     5.658   108.707   123.968         0         0   
    5.565     24.61   51.6252   15.5347     125.4     5.887   108.986   124.057         0         0   
    5.627     24.71    51.531    15.444       126     5.944   109.255   124.263         0         0   
     5.69     24.58   51.3437   15.3531       126     5.919   109.524   124.385         0         0   
    5.752     24.42   51.1281   15.2657     125.5     5.909   109.783   124.482         0         0   
    5.815     24.33   51.2144   15.1781     125.1     5.917   110.041   124.716         0         0   
    5.877     24.33   51.1969   15.0935     125.4     5.576    110.29   124.919         0         0   
     5.94     24.55   50.9601   15.0092     125.7     5.371   110.538   125.074         0         0   
    6.002     24.74    50.779   14.9275     125.9     5.086   110.778   125.241         0         0   
    6.065     24.72   50.4657   14.8461     126.9     4.891   111.017   125.312         0         0   
    6.127     24.84   50.2064   14.7671     127.4     4.766   111.249   125.427         0         0   
     6.19     25.22   50.0428   14.6881       127     4.889   111.479   125.633         0         0   
    6.252     25.49   49.8704    14.612     127.5     4.936   111.702   125.808         0         0   
    6.315     25.55   49.7182   14.5355     128.1     4.844   111.924   125.949         0         0   
    6.377     25.73   49.5456   14.4618     128.6     4.853   112.139     126.1         0         0   
     6.44     25.95   49.3972   14.3877     128.1     4.911   112.354   126.269         0         0   
    6.503     25.94   49.2452   14.3152     127.3     4.831   112.565   126.387         0         0   
    6.565     25.83   49.1452   14.2445       127     4.735   112.769   126.499         0         0   
    6.628     25.74   49.0811   14.1739     126.6     4.931   112.972    126.63         0         0   
     6.69     25.58   48.9034   14.1056     126.7      4.76   113.169   126.697         0         0   
    6.753      25.4   48.6337   14.0371     126.8     4.815   113.366   126.725         0         0   
    6.815      25.5   48.5728   13.9709     126.7     4.774   113.557   126.885         0         0   
    6.878     25.78   48.5735   13.9043     126.8     4.638   113.747   127.105         0         0   
