!# Results of ROTMAS saved at 12-May-2008 (13:37:41)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 164.283
!# Red. Chi-square (N=288,n=2) : 0.574417
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    12.256000   102.157997     0.710000     0.710000     1.000000 
!# Parameter error :     0.195252     0.730922     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06252    -0.878   -0.863672   7.14538      1.98     6.926   14.6672   16.2685         0         0   
    0.125    -1.771   3.64692   12.8643     15.78     7.691   20.6622   24.5475         0         0   
   0.1876     -2.74   7.30954   17.4078      22.3     4.584    25.219   31.3839         0         0   
   0.2501    -3.448   10.5148   21.0776     32.16     4.542   29.0114   37.2102         0         0   
   0.3126    -3.847   13.7908   24.0548     39.67     4.433   32.3158   42.4068         0         0   
   0.3751    -3.736   17.1019   26.4726     46.24     4.892   35.2704   47.1521         0         0   
   0.4377    -3.329   20.0633   28.4173     53.31     5.425   37.9619   51.3819         0         0   
   0.5002    -3.488   22.5073    29.962     59.93     5.252   40.4356   55.0197         0         0   
   0.5627    -3.553   24.6217   31.1778     63.97     4.703   42.7337   58.2394         0         0   
   0.6252    -3.157   26.6197   32.1126     67.31     4.833   44.8837   61.1916         0         0   
   0.6878    -2.552   28.4111   32.8111     71.34     5.217   46.9098   63.8574         0         0   
   0.7503     -1.75   30.1812   33.3033     75.57     5.835   48.8216   66.3363         0         0   
   0.8128    -1.157   31.8065    33.624     77.88     5.215   50.6357    68.592         0         0   
   0.8753    0.9515   33.2278   33.7983     78.48     4.769   52.3626   70.6339         0         0   
   0.9379     1.491   34.4107   33.8521     79.11     4.473   54.0136   72.4552         0         0   
        1     -1.75   35.4495   33.8013     79.94     4.478    55.581   74.0633         0         0   
    1.063    -3.049   36.5921    33.659     78.37     4.277   57.1058    75.655         0         0   
    1.125    -3.095   37.7202   33.4539     78.17     5.311   58.5474   77.2023         0         0   
    1.188    -2.711   38.9961   33.1795     80.29     5.612   59.9571   78.7977         0         0   
     1.25    -1.524   40.5456   32.8666     81.05     4.532   61.2942   80.4911         0         0   
    1.313     2.252   42.3149   32.5035     82.24     4.249   62.6054   82.2893         0         0   
    1.376     4.243   43.9459   32.1164     84.09     4.042    63.872   84.0258         0         0   
    1.438     5.631   45.2635   31.7089     84.33     4.746   65.0778   85.5632         0         0   
    1.501     5.952   46.3121   31.2775     85.52     5.536   66.2642   86.8877         0         0   
    1.563      5.54   47.1939     30.84     87.43     6.061   67.3959   88.0412         0         0   
    1.626     4.284   47.8496   30.3846      89.9     6.303   68.5114   89.0223         0         0   
