!# Results of ROTMAS saved at 12-May-2008 (14:57:38)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 29.9055
!# Red. Chi-square (N=141,n=2) : 0.215148
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.631690  3215.290039     0.710000     0.710000     1.000000 
!# Parameter error :     0.037959   371.827942     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.765    -12.21   129.528   156.319     302.2     10.83   230.757   307.104         0         0   
    4.107    -12.69     136.7    149.15     305.8     10.26   233.388   308.613         0         0   
    4.449    -12.86   143.502   142.529     307.8     8.334   235.635   310.267         0         0   
    4.791    -12.97   148.182   136.255     309.3     7.667   237.575   311.122         0         0   
    5.133    -12.91   155.051   130.969     310.9     5.307   239.267    313.49         0         0   
    5.476     -12.6   161.031   126.111     312.8     4.985    240.76   315.661         0         0   
    5.818    -12.38   163.638   121.501       315     5.832    242.08   316.211         0         0   
     6.16    -12.42   166.147    117.59     316.4     6.004   243.258   316.942         0         0   
    6.502    -12.39   168.808   113.984       317     5.832   244.316   317.844         0         0   
    6.845    -12.26   170.817   110.546     318.2     4.808   245.273   318.446         0         0   
    7.187    -12.12   173.477   107.587     320.6     5.478    246.14   319.542         0         0   
    7.529    -12.05   176.371   104.874     321.4       4.1   246.929   320.833         0         0   
    7.871    -12.04   178.728   102.242     321.7     3.858   247.652   321.844         0         0   
    8.214    -11.83    181.33    99.892     322.4      3.74   248.318    323.08         0         0   
    8.556    -11.05   183.353   97.7636     322.4     3.695    248.93   324.068         0         0   
    8.898    -9.262   184.084   95.6629     322.6     3.764   249.495   324.346         0         0   
     9.24    -6.106   184.218   93.7418     323.1     3.669    250.02    324.34         0         0   
    9.583     3.598   184.002   92.0009     323.5     3.675    250.51   324.174         0         0   
