!# Results of ROTMAS saved at 13-Oct-2007 (12:55:56)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 37.8378
!# Red. Chi-square (N=141,n=2) : 0.272214
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     2.025650   298.678986     1.000000     1.000000     1.000000 
!# Parameter error :     0.056688    14.915262     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.765    -12.21   153.721   185.517     302.2     10.83    167.27   293.048         0         0   
    4.107    -12.69   162.233   177.009     305.8     10.26    173.29   295.838         0         0   
    4.449    -12.86   170.305   169.151     307.8     8.334   178.602   298.913         0         0   
    4.791    -12.97    175.86   161.705     309.3     7.667   183.318   300.853         0         0   
    5.133    -12.91   184.012   155.432     310.9     5.307   187.527    304.99         0         0   
    5.476     -12.6   191.109   149.666     312.8     4.985   191.314   308.812         0         0   
    5.818    -12.38   194.202   144.195       315     5.832   194.718   310.271         0         0   
     6.16    -12.42    197.18   139.554     316.4     6.004   197.801   311.971         0         0   
    6.502    -12.39   200.338   135.274       317     5.832   200.605   313.884         0         0   
    6.845    -12.26   202.723   131.194     318.2     4.808   203.172   315.336         0         0   
    7.187    -12.12   205.879   127.682     320.6     5.478   205.518   317.458         0         0   
    7.529    -12.05   209.314   124.462     321.4       4.1   207.674   319.823         0         0   
    7.871    -12.04   212.111   121.339     321.7     3.858   209.664   321.758         0         0   
    8.214    -11.83   215.199    118.55     322.4      3.74    211.51   323.977         0         0   
    8.556    -11.05     217.6   116.024     322.4     3.695   213.217   325.808         0         0   
    8.898    -9.262   218.468   113.531     322.6     3.764   214.805   326.608         0         0   
     9.24    -6.106   218.627   111.251     323.1     3.669   216.285   326.981         0         0   
    9.583     3.598    218.37   109.185     323.5     3.675   217.672    327.11         0         0   
    9.925     7.124   217.901   107.092     323.3     3.611   218.968   327.028         0         0   
    10.27     9.213   217.832   105.193     323.1       3.5   220.194   327.241         0         0   
    10.61     11.57   217.522   103.482     323.9     4.015   221.329    327.33         0         0   
    10.95     14.19   216.357   101.698     323.6     4.693   222.399   326.826         0         0   
    11.29     16.25   214.819   100.112     322.8     4.423   223.409   326.106         0         0   
