!# Results of ROTMAS saved at 13-Oct-2007 (12:56:23)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 24.9459
!# Red. Chi-square (N=141,n=4) : 0.182087
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     1.365720   674.797974     0.992265     0.830458     1.000000 
!# Parameter error :     0.748106   736.403015     0.360482     0.052524     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.765    -12.21   140.085   184.798     302.2     10.83   195.008   302.743         0         0   
    4.107    -12.69   147.842   176.323     305.8     10.26    199.85    304.51         0         0   
    4.449    -12.86   155.198   168.496     307.8     8.334   204.051    306.51         0         0   
    4.791    -12.97    160.26   161.078     309.3     7.667   207.728   307.591         0         0   
    5.133    -12.91   167.689    154.83     310.9     5.307    210.97   310.537         0         0   
    5.476     -12.6   174.157   149.086     312.8     4.985   213.857   313.262         0         0   
    5.818    -12.38   176.975   143.636       315     5.832   216.429    314.07         0         0   
     6.16    -12.42   179.689   139.013     316.4     6.004   218.741   315.129         0         0   
    6.502    -12.39   182.567    134.75       317     5.832   220.829   316.386         0         0   
    6.845    -12.26    184.74   130.686     318.2     4.808   222.731    317.28         0         0   
    7.187    -12.12   187.616   127.187     320.6     5.478   224.458   318.765         0         0   
    7.529    -12.05   190.747    123.98     321.4       4.1    226.04   320.475         0         0   
    7.871    -12.04   193.296   120.869     321.7     3.858   227.493   321.839         0         0   
    8.214    -11.83    196.11   118.091     322.4      3.74   228.835   323.466         0         0   
    8.556    -11.05   198.298   115.574     322.4     3.695   230.073   324.794         0         0   
    8.898    -9.262   199.089   113.091     322.6     3.764   231.221   325.274         0         0   
     9.24    -6.106   199.234    110.82     323.1     3.669   232.288   325.416         0         0   
    9.583     3.598   198.999   108.762     323.5     3.675   233.285   325.369         0         0   
    9.925     7.124   198.572   106.677     323.3     3.611   234.215   325.143         0         0   
    10.27     9.213   198.509   104.785     323.1       3.5   235.092   325.175         0         0   
    10.61     11.57   198.227   103.081     323.9     4.015   235.903   325.121         0         0   
    10.95     14.19   197.165   101.304     323.6     4.693   236.666   324.575         0         0   
    11.29     16.25   195.763   99.7241     322.8     4.423   237.385   323.858         0         0   
    11.64     17.68    194.17   98.2236     321.7     4.351   238.083   323.026         0         0   
