!# Results of ROTMAS saved at 15-Oct-2007 (13:50:31)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 53.5514
!# Red. Chi-square (N=87,n=2) : 0.630017
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.006884 12457300.000000     1.000000     1.000000     1.000000 
!# Parameter error :     0.074466 269381120.000000     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.327    -4.506   94.2541    54.543     191.5     10.79   178.755   209.265         0         0   
    3.629    -4.679     96.81   52.6914     200.3     10.11   178.779   209.973         0         0   
    3.932     5.331   100.969   50.9203     206.7     9.159     178.8   211.626         0         0   
    4.234     10.29   104.175    49.296     211.1     8.196   178.817   212.988         0         0   
    4.536      13.1    104.77   46.4151     213.5     7.037   178.833     212.8         0         0   
    4.839     14.54   104.887   45.2586     214.1     5.791   178.846   212.713         0         0   
    5.141     15.62   104.303   44.1649     213.5     5.235   178.858   212.282         0         0   
    5.444     17.96   103.481   43.1038     213.2     4.973   178.868   211.855         0         0   
    5.746     21.41   102.505   41.1088     214.2      4.63   178.877   211.312         0         0   
    6.049     24.57   101.211      40.3     215.5     4.233   178.886   210.883         0         0   
    6.351      26.5   99.8906   39.5292     215.3     3.944   178.894   210.347         0         0   
    6.653     27.59   97.7793   38.7881       214     4.039     178.9   209.361         0         0   
    6.956     28.18   95.7105   37.2935     212.5     4.023   178.907   208.214         0         0   
    7.258     28.25   93.6057    36.691       211     4.042   178.913   207.162         0         0   
    7.561     28.07   91.9457   36.1048     207.7     4.575   178.918   206.294         0         0   
    7.863     27.54    90.376   35.5419     204.8     5.171   178.923   205.433         0         0   
    8.166     26.51   88.7579   34.3783     200.8     5.637   178.927   204.396         0         0   
    8.468      25.1   87.2915   33.9043       199     5.345   178.932   203.509         0         0   
     8.77     23.73   85.8359   33.4447     200.7     4.837   178.936   202.651         0         0   
    9.073     22.36   84.6791   32.9953     200.4     4.974   178.939   201.937         0         0   
    9.375     20.96   83.5136   32.0593     200.6      4.97   178.943   201.152         0         0   
    9.678     19.19   82.8591   31.6709     201.9      5.18   178.946   200.645         0         0   
     9.98     18.54   82.1175   31.2957       204     8.209   178.949   200.223         0         0   
    10.28     21.54   80.6337   30.9355     206.9     4.214   178.952   199.866         0         0   
    10.58     22.71   79.0032   30.5839     206.1     3.779   178.954   199.292         0         0   
    10.89     22.82   77.5684   29.8235     205.1     4.035   178.957   198.627         0         0   
    11.19        23   76.4794   29.5146       204     4.352   178.959   198.181         0         0   
    11.49     23.46   75.2702   29.2126     203.3     4.633   178.962   197.729         0         0   
    11.79     24.05   74.2155   28.9172       203     4.881   178.964   197.359         0         0   
     12.1     24.66   73.1144   28.2705     202.3      5.23   178.966   196.931         0         0   
     12.4     25.57   72.2029    28.007     201.6     5.488   178.968   196.675         0         0   
     12.7     26.48   71.3113    27.749     200.9     5.599    178.97   196.435         0         0   
       13     27.26   70.4644   27.4961     200.3     5.866   178.971   196.202         0         0   
    13.31     28.15   69.5751   26.9376       200     5.991   178.973   195.934         0         0   
    13.61     29.41   68.6827   26.7095     199.9     6.164   178.975   195.774         0         0   
    13.91     31.12   67.8801   26.4856     199.8     6.433   178.976    195.73         0         0   
    14.21     33.13     67.04    26.266     199.8     6.782   178.978   195.742         0         0   
    14.52     34.93   66.2605   25.7773     199.8      6.79   178.979   195.726         0         0   
    14.82     36.09   65.5296   25.5772     199.8     6.622   178.981   195.665         0         0   
    15.12     37.01   64.8876   25.3805     199.7     6.316   178.982   195.599         0         0   
    15.42     37.73   64.2998   25.1873     199.8     6.081   178.983   195.518         0         0   
    15.73     38.08   63.6224   24.7551     199.5     6.031   178.984    195.31         0         0   
    16.03     38.63   63.0948   24.5777       199     5.987   178.986   195.226         0         0   
    16.33     39.03   62.5447   24.4032     198.5     5.983   178.987   195.107         0         0   
    16.63     38.92   61.9834   24.2316     197.2      5.93   178.988   194.886         0         0   
    16.94      38.5   61.3739   23.8457     195.6     5.538   178.989   194.563         0         0   
    17.24     38.11   60.7902   23.6871     194.2     5.178    178.99   194.284         0         0   
    17.54     37.98   60.2721   23.5309     192.9      4.92   178.991   194.079         0         0   
    17.84     37.99   59.7332    23.377     191.9      4.62   178.992   193.896         0         0   
    18.15     38.12   59.2509   23.0298     191.2     4.715   178.993   193.733         0         0   
    18.45     38.42   58.7439   22.8868     190.3     4.821   178.993   193.622         0         0   
    18.75     38.83   58.3017   22.7459     190.2     5.156   178.994   193.554         0         0   
    19.05     39.19   57.8287   22.6069     190.1     5.401   178.995   193.469         0         0   
    19.36     39.43   57.3637   22.2923     188.7     5.744   178.996   193.344         0         0   
    19.66     39.98   56.9451   22.1625     187.9     8.148   178.997   193.319         0         0   
    19.96     40.73   56.5051   22.0345     188.3     6.306   178.997   193.332         0         0   
    20.26     41.11   56.1173   21.9082     188.4     6.681   178.998   193.286         0         0   
    20.57      41.3    55.681   21.7744     188.7     6.996   178.999   193.186         0         0   
    20.87     41.52    55.315   21.5031     189.4     7.004       179   193.098         0         0   
    21.17     41.59   54.9116   21.3903     190.2     6.854       179   192.986         0         0   
    21.47     41.62   54.5263   21.2402     190.3     6.748   179.001   192.867         0         0   
    21.77     41.73   54.1726   21.0933     190.1     6.716   179.001   192.776         0         0   
    22.08     41.87   53.7836   20.9446     189.9     6.517   179.002   192.682         0         0   
