!# Results of ROTMAS saved at 12-Oct-2007 (13:41:44)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 72.0821
!# Red. Chi-square (N=42,n=1) : 1.758100
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :  1000.000000    11.739700     1.000000     1.000000 
!# Parameter error :     0.000000     2.074768     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06049    -1.262   9.79731         0     10.63     4.106   0.881756   9.75562         0         0   
    0.121    -1.808   15.3612         0     17.01     3.336    1.7638   15.3561         0         0   
   0.1815    -1.675   17.9723         0     20.26     4.257   2.64571   18.0886         0         0   
   0.2419   -0.8314   22.1316         0     23.83     4.267   3.52615   22.3953         0         0   
   0.3024     1.732   26.1292         0     25.39     3.855   4.40805    26.555         0         0   
   0.3629     2.512   29.0082         0     26.24     2.762   5.28995   29.5934         0         0   
   0.4234     2.956   31.7666         0     27.66     2.116   6.17186   32.4953         0         0   
   0.4839     2.714   34.0783         0     29.72     2.662   7.05376   34.9063         0         0   
   0.5444      2.18   35.5725         0     31.21     2.275   7.93566   36.5121         0         0   
   0.6049     1.681   37.0027         0     34.72     1.771   8.81756   38.0759         0         0   
   0.6653     2.042   38.6127         0     37.38      1.42   9.69801   39.8643         0         0   
   0.7258     2.762   40.2891         0      39.5     1.951   10.5799   41.7466         0         0   
   0.7863     3.685   41.8456         0      42.2     2.293   11.4618   43.5432         0         0   
   0.8468     4.156    42.934         0     44.06     2.756   12.3437   44.8661         0         0   
   0.9073     3.955   44.0788         0     46.92     3.555   13.2256   46.1898         0         0   
   0.9678     4.153   45.1913         0      48.6     4.455   14.1075   47.5239         0         0   
    1.028     4.518   46.2757         0     48.73     3.935    14.985   48.8508         0         0   
    1.089     4.217   48.0217         0     50.91     3.804   15.8742   50.7529         0         0   
    1.149     3.834   51.1789         0     55.64     3.394   16.7488   53.9861         0         0   
     1.21     6.318   55.6575         0     60.43     4.201    17.638   58.7263         0         0   
     1.27     8.258     60.36         0     63.66     3.994   18.5126   63.6729         0         0   
    1.331     9.973   63.6291         0     65.78     3.003   19.4018   67.2648         0         0   
    1.391     11.98   66.8795         0     67.28      2.84   20.2764    70.905         0         0   
    1.452     13.63   70.4383         0     69.27     3.005   21.1656   74.8018         0         0   
    1.512     15.16   72.5855         0     70.64     2.967   22.0402    77.358         0         0   
    1.573     16.55   73.2999         0     72.16     3.139   22.9294   78.5655         0         0   
    1.633     17.35   73.4041         0     73.87      3.51    23.804   79.0937         0         0   
    1.694     17.77   73.2739         0     75.02     3.491   24.6932   79.3385         0         0   
    1.754      18.1    73.081         0     75.44     2.979   25.5678    79.512         0         0   
    1.815     18.35   72.8116         0     75.65      2.72    26.457    79.613         0         0   
    1.875     18.37   72.2091         0      75.8     3.258   27.3316   79.3639         0         0   
    1.936     18.38   71.5559         0     74.44     5.111   28.2208   79.0853         0         0   
    1.996     18.36   70.5962         0     74.94     5.759   29.0954   78.5332         0         0   
    2.057     18.31   69.5049         0     75.44     5.485   29.9846   77.8798         0         0   
    2.117     18.25   68.6442         0     77.14      4.35   30.8592   77.4428         0         0   
    2.177     18.13   67.9068         0     78.47     3.476   31.7339   77.1172         0         0   
    2.238     18.06   67.2557         0     80.09      3.36    32.623   76.9009         0         0   
    2.298     18.09   66.5754         0     80.52     3.747   33.4976   76.6917         0         0   
    2.359     18.04   65.9603         0     80.48     4.892   34.3868   76.5419         0         0   
    2.419     17.92   65.4968         0     82.78     4.203   35.2614   76.5136         0         0   
     2.48     17.78   64.9465         0     85.72     3.131   36.1506   76.4267         0         0   
     2.54     17.63   64.6545         0     86.23     3.459   37.0252    76.563         0         0   
