!# Results of ROTMAS saved at 12-Oct-2007 (13:39:56)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 19.9084
!# Red. Chi-square (N=42,n=3) : 0.510472
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value : 325932.000000    30.706499     0.732883     1.000000 
!# Parameter error : 110071032.000000     2.278581     0.026417     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06049    -1.262   8.38734         0     10.63     4.106   1.43694   8.41544         0         0   
    0.121    -1.808   13.1505         0     17.01     3.336   2.84983   13.3337         0         0   
   0.1815    -1.675   15.3858         0     20.26     4.257   4.27877   15.8816         0         0   
   0.2419   -0.8314   18.9465         0     23.83     4.267   5.70311   19.7688         0         0   
   0.3024     1.732   22.3688         0     25.39     3.855     7.127   23.5406         0         0   
   0.3629     2.512   24.8335         0     26.24     2.762    8.5564   26.3861         0         0   
   0.4234     2.956   27.1949         0     27.66     2.116   9.98205   29.1195         0         0   
   0.4839     2.714    29.174         0     29.72     2.662    11.408   31.4424         0         0   
   0.5444      2.18   30.4531         0     31.21     2.275    12.834   33.1188         0         0   
   0.6049     1.681   31.6775         0     34.72     1.771   14.2616   34.7805         0         0   
   0.6653     2.042   33.0558         0     37.38      1.42   15.6852   36.6453         0         0   
   0.7258     2.762   34.4909         0      39.5     1.951   17.1105   38.6008         0         0   
   0.7863     3.685   35.8234         0      42.2     2.293   18.5376   40.5036         0         0   
   0.8468     4.156   36.7552         0     44.06     2.756   19.9631   42.0326         0         0   
   0.9073     3.955   37.7352         0     46.92     3.555   21.3897   43.5558         0         0   
   0.9678     4.153   38.6876         0      48.6     4.455   22.8163   45.1062         0         0   
    1.028     4.518    39.616         0     48.73     3.935   24.2357   46.6605         0         0   
    1.089     4.217   41.1107         0     50.91     3.804   25.6734   48.6518         0         0   
    1.149     3.834   43.8135         0     55.64     3.394   27.0878   51.6534         0         0   
     1.21     6.318   47.6476         0     60.43     4.201   28.5259   55.8922         0         0   
     1.27     8.258   51.6733         0     63.66     3.994   29.9402   60.2889         0         0   
    1.331     9.973    54.472         0     65.78     3.003   31.3786   63.6496         0         0   
    1.391     11.98   57.2546         0     67.28      2.84   32.7928   67.0595         0         0   
    1.452     13.63   60.3012         0     69.27     3.005   34.2305   70.6664         0         0   
    1.512     15.16   62.1394         0     70.64     2.967   35.6455   73.2239         0         0   
    1.573     16.55    62.751         0     72.16     3.139   37.0836   74.7448         0         0   
    1.633     17.35   62.8402         0     73.87      3.51   38.4977   75.7099         0         0   
    1.694     17.77   62.7288         0     75.02     3.491   39.9361   76.4563         0         0   
    1.754      18.1   62.5636         0     75.44     2.979   41.3503    77.147         0         0   
    1.815     18.35    62.333         0     75.65      2.72   42.7886    77.801         0         0   
    1.875     18.37   61.8172         0      75.8     3.258   44.2033   78.1841         0         0   
    1.936     18.38    61.258         0     74.44     5.111   45.6411   78.5715         0         0   
    1.996     18.36   60.4364         0     74.94     5.759   47.0556   78.7647         0         0   
    2.057     18.31   59.5022         0     75.44     5.485   48.4936   78.9138         0         0   
    2.117     18.25   58.7653         0     77.14      4.35   49.9083   79.2292         0         0   
    2.177     18.13    58.134         0     78.47     3.476   51.3229   79.6386         0         0   
    2.238     18.06   57.5767         0     80.09      3.36   52.7608   80.1557         0         0   
    2.298     18.09   56.9943         0     80.52     3.747   54.1751   80.6879         0         0   
    2.359     18.04   56.4677         0     80.48     4.892   55.6134   81.2828         0         0   
    2.419     17.92   56.0709         0     82.78     4.203    57.028   81.9589         0         0   
     2.48     17.78   55.5998         0     85.72     3.131   58.4659    82.618         0         0   
     2.54     17.63   55.3498         0     86.23     3.459   59.8805   83.4272         0         0   
