!# Results of ROTMAS saved at 12-May-2008 (13:09:47)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 76.2876
!# Red. Chi-square (N=42,n=2) : 1.907191
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.378388  2241.270020     0.710000     1.000000 
!# Parameter error :  1022.920471 4726490.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06049    -1.262   8.25536         0     10.63     4.106   7.39025   11.0079         0         0   
    0.121    -1.808   12.9436         0     17.01     3.336   10.4523   16.5384         0         0   
   0.1815    -1.675   15.1437         0     20.26     4.257   12.8015   19.7587         0         0   
   0.2419   -0.8314   18.6484         0     23.83     4.267   14.7789     23.78         0         0   
   0.3024     1.732   22.0169         0     25.39     3.855   16.5241   27.5824         0         0   
   0.3629     2.512   24.4427         0     26.24     2.762   18.1018   30.5194         0         0   
   0.4234     2.956    26.767         0     27.66     2.116   19.5527   33.2794         0         0   
   0.4839     2.714   28.7149         0     29.72     2.662   20.9031   35.6209         0         0   
   0.5444      2.18   29.9739         0     31.21     2.275   22.1715   37.3465         0         0   
   0.6049     1.681    31.179         0     34.72     1.771   23.3711   39.0021         0         0   
   0.6653     2.042   32.5356         0     37.38      1.42   24.5103   40.7859         0         0   
   0.7258     2.762   33.9482         0      39.5     1.951   25.6006   42.6087         0         0   
   0.7863     3.685   35.2597         0      42.2     2.293   26.6464   44.3493         0         0   
   0.8468     4.156   36.1768         0     44.06     2.756   27.6527   45.7242         0         0   
   0.9073     3.955   37.1415         0     46.92     3.555   28.6236   47.0578         0         0   
   0.9678     4.153   38.0789         0      48.6     4.455   29.5627   48.3859         0         0   
    1.028     4.518   38.9926         0     48.73     3.935   30.4684   49.6906         0         0   
    1.089     4.217   40.4638         0     50.91     3.804   31.3595   51.3665         0         0   
    1.149     3.834   43.1241         0     55.64     3.394    32.212    53.963         0         0   
     1.21     6.318   46.8978         0     60.43     4.201   33.0562   57.7238         0         0   
     1.27     8.258   50.8602         0     63.66     3.994    33.866   61.6593         0         0   
    1.331     9.973   53.6148         0     65.78     3.003   34.6699   64.6221         0         0   
    1.391     11.98   56.3537         0     67.28      2.84    35.443   67.6421         0         0   
    1.452     13.63   59.3524         0     69.27     3.005   36.2119   70.8504         0         0   
    1.512     15.16   61.1616         0     70.64     2.967   36.9527   73.0484         0         0   
    1.573     16.55   61.7636         0     72.16     3.139    37.691   74.2243         0         0   
    1.633     17.35   61.8514         0     73.87      3.51   38.4033   74.8427         0         0   
    1.694     17.77   61.7417         0     75.02     3.491   39.1142   75.2179         0         0   
    1.754      18.1   61.5791         0     75.44     2.979    39.801    75.523         0         0   
    1.815     18.35   61.3521         0     75.65      2.72   40.4874   75.7631         0         0   
    1.875     18.37   60.8445         0      75.8     3.258   41.1514   75.7162         0         0   
    1.936     18.38   60.2941         0     74.44     5.111   41.8157   75.6423         0         0   
    1.996     18.36   59.4854         0     74.94     5.759   42.4589   75.3549         0         0   
    2.057     18.31   58.5659         0     75.44     5.485    43.103   74.9873         0         0   
    2.117     18.25   57.8406         0     77.14      4.35   43.7274   74.7709         0         0   
    2.177     18.13   57.2193         0     78.47     3.476   44.3429    74.626         0         0   
    2.238     18.06   56.6707         0     80.09      3.36   44.9601   74.5596         0         0   
    2.298     18.09   56.0974         0     80.52     3.747    45.559    74.497         0         0   
    2.359     18.04   55.5791         0     80.48     4.892     46.16   74.4663         0         0   
    2.419     17.92   55.1886         0     82.78     4.203   46.7436   74.5109         0         0   
     2.48     17.78   54.7249         0     85.72     3.131   47.3295   74.5052         0         0   
     2.54     17.63   54.4789         0     86.23     3.459   47.8989    74.653         0         0   
