!# Results of ROTMAS saved at 12-Oct-2007 (13:40:53)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 111.04
!# Red. Chi-square (N=42,n=2) : 2.775998
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    -0.406325   577.122009     1.000000     1.000000 
!# Parameter error :  2232.750000 2770738.750000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06049    -1.262   9.79731         0     10.63     4.106    3.6415   10.3757         0         0   
    0.121    -1.808   15.3612         0     17.01     3.336   5.15039   16.1004         0         0   
   0.1815    -1.675   17.9723         0     20.26     4.257   6.30805   18.9734         0         0   
   0.2419   -0.8314   22.1316         0     23.83     4.267   7.28256   23.2842         0         0   
   0.3024     1.732   26.1292         0     25.39     3.855   8.14266   27.4233         0         0   
   0.3629     2.512   29.0082         0     26.24     2.762   8.92027   30.4525         0         0   
   0.4234     2.956   31.7666         0     27.66     2.116   9.63539   33.3271         0         0   
   0.4839     2.714   34.0783         0     29.72     2.662    10.301   35.7044         0         0   
   0.5444      2.18   35.5725         0     31.21     2.275   10.9263   37.2765         0         0   
   0.6049     1.681   37.0027         0     34.72     1.771   11.5176   38.7902         0         0   
   0.6653     2.042   38.6127         0     37.38      1.42   12.0792   40.5095         0         0   
   0.7258     2.762   40.2891         0      39.5     1.951   12.6168   42.3087         0         0   
   0.7863     3.685   41.8456         0      42.2     2.293   13.1324   44.0124         0         0   
   0.8468     4.156    42.934         0     44.06     2.756   13.6285   45.2365         0         0   
   0.9073     3.955   44.0788         0     46.92     3.555   14.1073     46.45         0         0   
   0.9678     4.153   45.1913         0      48.6     4.455   14.5703   47.6634         0         0   
    1.028     4.518   46.2757         0     48.73     3.935    15.017   48.8606         0         0   
    1.089     4.217   48.0217         0     50.91     3.804   15.4564   50.6238         0         0   
    1.149     3.834   51.1789         0     55.64     3.394   15.8769    53.722         0         0   
     1.21     6.318   55.6575         0     60.43     4.201   16.2932   58.3365         0         0   
     1.27     8.258     60.36         0     63.66     3.994   16.6926   63.1678         0         0   
    1.331     9.973   63.6291         0     65.78     3.003   17.0892   66.6346         0         0   
    1.391     11.98   66.8795         0     67.28      2.84   17.4705   70.1542         0         0   
    1.452     13.63   70.4383         0     69.27     3.005   17.8498   73.9321         0         0   
    1.512     15.16   72.5855         0     70.64     2.967   18.2153   76.3563         0         0   
    1.573     16.55   73.2999         0     72.16     3.139   18.5795   77.4079         0         0   
    1.633     17.35   73.4041         0     73.87      3.51   18.9309   77.7661         0         0   
    1.694     17.77   73.2739         0     75.02     3.491   19.2817   77.8243         0         0   
    1.754      18.1    73.081         0     75.44     2.979   19.6206   77.8037         0         0   
    1.815     18.35   72.8116         0     75.65      2.72   19.9593   77.6957         0         0   
    1.875     18.37   72.2091         0      75.8     3.258   20.2869   77.2216         0         0   
    1.936     18.38   71.5559         0     74.44     5.111   20.6147    76.701         0         0   
    1.996     18.36   70.5962         0     74.94     5.759   20.9322   75.8885         0         0   
    2.057     18.31   69.5049         0     75.44     5.485   21.2501   74.9517         0         0   
    2.117     18.25   68.6442         0     77.14      4.35   21.5582   74.2283         0         0   
    2.177     18.13   67.9068         0     78.47     3.476   21.8621   73.6069         0         0   
    2.238     18.06   67.2557         0     80.09      3.36   22.1667   73.0812         0         0   
    2.298     18.09   66.5754         0     80.52     3.747   22.4624   72.5541         0         0   
    2.359     18.04   65.9603         0     80.48     4.892    22.759   72.0706         0         0   
    2.419     17.92   65.4968         0     82.78     4.203   23.0471   71.7086         0         0   
     2.48     17.78   64.9465         0     85.72     3.131   23.3364   71.2655         0         0   
     2.54     17.63   64.6545         0     86.23     3.459   23.6175    71.055         0         0   
