!# Results of ROTMAS saved at 12-Oct-2007 (13:40:26)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 64.4864
!# Red. Chi-square (N=42,n=3) : 1.653496
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.001999  2121.530029     0.421054     1.000000 
!# Parameter error :     0.020834   372.436188     0.110609     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
  0.06049    -1.262   6.35734         0     10.63     4.106    9.5646   11.4151         0         0   
    0.121    -1.808   9.96768         0     17.01     3.336   13.9902   17.0825         0         0   
   0.1815    -1.675    11.662         0     20.26     4.257   17.0134   20.5585         0         0   
   0.2419   -0.8314   14.3609         0     23.83     4.267   19.5852   24.2719         0         0   
   0.3024     1.732   16.9549         0     25.39     3.855   21.9724   27.8074         0         0   
   0.3629     2.512    18.823         0     26.24     2.762   24.0247   30.6235         0         0   
   0.4234     2.956   20.6129         0     27.66     2.116   26.0003   33.3113         0         0   
   0.4839     2.714    22.113         0     29.72     2.662   27.7655   35.5987         0         0   
   0.5444      2.18   23.0825         0     31.21     2.275    29.469   37.4964         0         0   
   0.6049     1.681   24.0106         0     34.72     1.771   31.0491   39.2859         0         0   
   0.6653     2.042   25.0553         0     37.38      1.42   32.5714    41.144         0         0   
   0.7258     2.762   26.1431         0      39.5     1.951   34.0309   43.0023         0         0   
   0.7863     3.685   27.1531         0      42.2     2.293   35.4107   44.7748         0         0   
   0.8468     4.156   27.8593         0     44.06     2.756   36.7628   46.3132         0         0   
   0.9073     3.955   28.6021         0     46.92     3.555   38.0387   47.7563         0         0   
   0.9678     4.153    29.324         0      48.6     4.455   39.2988   49.2092         0         0   
    1.028     4.518   30.0277         0     48.73     3.935   40.4906   50.6119         0         0   
    1.089     4.217   31.1606         0     50.91     3.804   41.6784   52.2097         0         0   
    1.149     3.834   33.2093         0     55.64     3.394    42.812   54.3178         0         0   
     1.21     6.318   36.1154         0     60.43     4.201   43.9366   57.2247         0         0   
     1.27     8.258   39.1668         0     63.66     3.994   45.0186   60.2404         0         0   
    1.331     9.973   41.2881         0     65.78     3.003   46.0771   62.6679         0         0   
    1.391     11.98   43.3972         0     67.28      2.84    47.105   65.1592         0         0   
    1.452     13.63   45.7065         0     69.27     3.005   48.1289   67.7588         0         0   
    1.512     15.16   47.0998         0     70.64     2.967   49.1179   69.7193         0         0   
    1.573     16.55   47.5633         0     72.16     3.139   50.0913   71.0304         0         0   
    1.633     17.35   47.6309         0     73.87      3.51   51.0383    71.935         0         0   
    1.694     17.77   47.5465         0     75.02     3.491   51.9846   72.6556         0         0   
    1.754      18.1   47.4213         0     75.44     2.979    52.901   73.3137         0         0   
    1.815     18.35   47.2465         0     75.65      2.72   53.8111   73.9228         0         0   
    1.875     18.37   46.8555         0      75.8     3.258   54.6965   74.3277         0         0   
    1.936     18.38   46.4317         0     74.44     5.111   55.5736   74.7138         0         0   
    1.996     18.36   45.8089         0     74.94     5.759   56.4285   74.9649         0         0   
    2.057     18.31   45.1008         0     75.44     5.485   57.2882    75.175         0         0   
    2.117     18.25   44.5423         0     77.14      4.35   58.1153   75.4617         0         0   
    2.177     18.13   44.0638         0     78.47     3.476   58.9357   75.7874         0         0   
    2.238     18.06   43.6413         0     80.09      3.36   59.7536   76.1657         0         0   
    2.298     18.09   43.1999         0     80.52     3.747   60.5472    76.547         0         0   
    2.359     18.04   42.8008         0     80.48     4.892   61.3487   76.9481         0         0   
    2.419     17.92      42.5         0     82.78     4.203   62.1215   77.3722         0         0   
     2.48     17.78   42.1429         0     85.72     3.131   62.9033   77.7752         0         0   
     2.54     17.63   41.9534         0     86.23     3.459   63.6573   78.2506         0         0   
