!# Results of ROTMAS saved at 12-May-2008 (12:16:21)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 446.303
!# Red. Chi-square (N=117,n=2) : 3.880894
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.779165   754.203003     0.710000     0.710000     1.000000 
!# Parameter error :     0.186648   323.572205     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76   160.209   131.117     242.2     7.309   121.737   239.922         0         0   
    2.537    -11.14   162.979   128.054     245.7     8.481   123.059   240.789         0         0   
    2.643     -11.5   165.126   125.192     245.3     10.37     124.3   241.366         0         0   
    2.749    -12.01   166.861   122.527     243.5     6.013   125.457   241.766         0         0   
    2.855    -12.75   168.372   120.047     241.9     2.823   126.538   242.094         0         0   
     2.96    -13.68   169.695   117.758     243.6     2.613   127.541   242.369         0         0   
    3.066    -14.61   171.106   115.521     246.9     3.218   128.491   242.732         0         0   
    3.278     -16.5   173.209   111.546     251.2     4.496   130.225   243.167         0         0   
    3.383    -17.51   173.731    109.65       251     5.121   131.011   243.029         0         0   
    3.489    -18.46   174.219   107.923     247.7     6.736    131.76    242.94         0         0   
    3.595    -19.27   174.826   106.245     245.6     6.756   132.469   242.959         0         0   
      3.7    -19.86   174.795   104.659     244.3     5.506   133.135   242.564         0         0   
    3.806    -20.17   175.213   103.156     242.9     4.661   133.772   242.547         0         0   
    3.912    -20.28   175.333   101.664     240.6     4.171   134.378   242.329         0         0   
    4.018    -20.17   175.795   100.277     239.1     3.493   134.954   242.415         0         0   
    4.123    -19.84   175.669   98.9795     237.7     2.936   135.497   242.121         0         0   
    4.229     -19.3   175.407   97.6439     235.8     2.782    136.02   241.725         0         0   
    4.335    -18.75   175.062   96.4348     234.2     2.814    136.52   241.314         0         0   
    4.441    -18.52    174.95   95.2458     233.5     2.879   136.996   241.049         0         0   
    4.546    -18.67   174.486    94.078     233.5     2.954   137.448   240.499         0         0   
    4.652    -18.88    173.84   93.0205     233.3     3.324   137.885   239.852         0         0   
    4.758    -18.93   173.369   91.9276     232.2     3.565   138.303   239.326         0         0   
    4.863    -18.69   172.958   90.8836     231.7     3.438   138.701   238.878         0         0   
    4.969    -18.03   172.839   89.9424     231.6      3.21   139.086    238.71         0         0   
    5.075    -16.85   172.582   88.9397     231.8      3.22   139.456   238.451         0         0   
    5.181    -15.02   172.547   88.0288     232.6     3.444   139.811   238.418         0         0   
    5.286    -13.07   172.721   87.1365     233.6     3.762    140.15    238.53         0         0   
    5.392    -11.18   173.047   86.2315     234.7     4.488    140.48   238.727         0         0   
    5.498    -9.262   173.141   85.4209     235.7     3.701   140.797   238.773         0         0   
    5.604    -7.453   172.871   84.5741     236.9     3.641   141.103   238.519         0         0   
    5.709    -6.619   172.618   83.7589       238     5.056   141.395   238.246         0         0   
    5.815    -6.661   172.453   83.0272     239.2     3.659    141.68   238.038         0         0   
    5.921    -6.982   172.164   82.2376     239.8     3.749   141.955    237.71         0         0   
    6.027    -8.842   171.693   81.4838     240.2     7.041   142.221   237.206         0         0   
    6.132    -10.18    171.26   80.8105     240.5     7.027   142.475   236.761         0         0   
    6.238    -10.37   170.957   80.0867     241.3     4.195   142.724   236.438         0         0   
    6.344    -10.12   170.935   79.3938     241.9     4.592   142.965   236.344         0         0   
    6.449    -10.78   170.599   78.7652     242.7     5.013   143.196   236.002         0         0   
    6.555    -12.48   170.375   78.0984     243.6     5.687   143.422   235.672         0         0   
    6.661    -15.38   170.254   77.5076     244.7     6.298   143.641   235.351         0         0   
    6.767    -18.67   170.285   76.8643       248     6.747   143.853   235.054         0         0   
    6.872    -19.58   170.602   76.2524     251.9     7.296   144.057   235.135         0         0   
    6.978    -18.44   170.522    75.698     257.1     7.188   144.258   235.113         0         0   
    7.084    -15.42   170.422   75.1019     259.8     6.642   144.452   235.186         0         0   
     7.19    -10.12   170.086   74.5277     259.6     6.333   144.641   235.164         0         0   
    7.295    -1.779   169.956   74.0113     259.5     6.117   144.823    235.23         0         0   
    7.401     9.454   169.772   73.4566     259.1     5.801   145.001    235.23         0         0   
    7.507     12.81   169.465   72.9212     258.5     5.358   145.175   235.108         0         0   
    7.612     15.65   168.919   72.4341     258.1     4.985   145.342    234.84         0         0   
    7.718      18.3    168.39   71.9163     257.9     5.055   145.507   234.594         0         0   
    7.824      20.3    167.92   71.4156     257.1     5.159   145.667   234.368         0         0   
     7.93     21.81   167.584   70.9502     255.6     5.211   145.823   234.219         0         0   
    8.035     22.68   167.277   70.4692     253.6     5.281   145.974    234.03         0         0   
    8.141     22.92   166.327   70.0301     251.4     5.622   146.122   233.336         0         0   
    8.247     22.95   165.624   69.5592     249.5      5.99   146.266   232.788         0         0   
    8.353     22.98   165.162    69.103     248.2     6.026   146.407   232.415         0         0   
    8.458     23.14   164.866   68.6906     246.9     5.894   146.544   232.185         0         0   
    8.564     23.57   164.238   68.2478     245.8     5.555   146.678   231.737         0         0   
     8.67     24.26   163.488   67.8178     244.5      8.02   146.809   231.233         0         0   
    8.775      24.8   162.883   67.4259     242.9     8.055   146.936    230.83         0         0   
    8.881     25.05   162.376   67.0084     241.7     5.077   147.061   230.457         0         0   
    8.987     25.29   161.678   66.6026     240.2     5.088   147.183   229.952         0         0   
    9.093     25.56   160.968   66.2256     239.1     5.282   147.302   229.451         0         0   
    9.198     25.86   160.307   65.8343     237.6     5.443   147.418   228.983         0         0   
    9.304     26.36   159.657   65.4511     236.2     5.645   147.532   228.549         0         0   
     9.41      27.1   159.105   65.0911     234.6     5.444   147.644    228.22         0         0   
    9.516     27.69    158.12    64.717     232.9         7   147.753    227.57         0         0   
    9.621     28.15   157.568   64.3778     230.2     9.017   147.859   227.215         0         0   
