!# Results of ROTMAS saved at 14-Oct-2007 (21:21:01)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 452.542
!# Red. Chi-square (N=117,n=2) : 3.935144
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     5.246540    14.813700     1.000000     1.000000     1.000000 
!# Parameter error :     1.362222     4.245419     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76   190.133   155.607     242.2     7.309   37.5275   248.308         0         0   
    2.537    -11.14    193.42   151.972     245.7     8.481   38.9601   248.798         0         0   
    2.643     -11.5   195.968   148.576     245.3     10.37   40.3859   248.952         0         0   
    2.749    -12.01   198.028   145.413     243.5     6.013   41.7909   248.922         0         0   
    2.855    -12.75   199.821   142.469     241.9     2.823   43.1749   248.852         0         0   
     2.96    -13.68   201.391   139.753     243.6     2.613   44.5251   248.766         0         0   
    3.066    -14.61   203.066   137.098     246.9     3.218   45.8671   248.841         0         0   
    3.278     -16.5   205.561   132.381     251.2     4.496   48.4875   248.714         0         0   
    3.383    -17.51   206.181   130.131       251     5.121   49.7539   248.221         0         0   
    3.489    -18.46    206.76   128.081     247.7     6.736   51.0113   247.822         0         0   
    3.595    -19.27    207.48    126.09     245.6     6.756   52.2477   247.599         0         0   
      3.7    -19.86   207.444   124.207     244.3     5.506   53.4517   246.826         0         0   
    3.806    -20.17   207.939   122.424     242.9     4.661   54.6465   246.588         0         0   
    3.912    -20.28   208.082   120.653     240.6     4.171   55.8207   246.089         0         0   
    4.018    -20.17    208.63   119.007     239.1     3.493   56.9744   246.025         0         0   
    4.123    -19.84   208.481   117.467     237.7     2.936   58.0972   245.448         0         0   
    4.229     -19.3    208.17   115.882     235.8     2.782   59.2108   244.738         0         0   
    4.335    -18.75    207.76   114.447     234.2     2.814   60.3045   244.023         0         0   
    4.441    -18.52   207.628   113.036     233.5     2.879   61.3787   243.538         0         0   
    4.546    -18.67   207.077    111.65     233.5     2.954   62.4238   242.682         0         0   
    4.652    -18.88    206.31   110.395     233.3     3.324   63.4598   241.706         0         0   
    4.758    -18.93   205.751   109.098     232.2     3.565   64.4771   240.904         0         0   
    4.863    -18.69   205.263   107.859     231.7     3.438   65.4666   240.215         0         0   
    4.969    -18.03   205.122   106.742     231.6      3.21   66.4475   239.915         0         0   
    5.075    -16.85   204.817   105.552     231.8      3.22   67.4104   239.482         0         0   
    5.181    -15.02   204.776   104.471     232.6     3.444   68.3558   239.362         0         0   
    5.286    -13.07   204.982   103.412     233.6     3.762   69.2752   239.457         0         0   
    5.392    -11.18   205.369   102.338     234.7     4.488   70.1865   239.689         0         0   
    5.498    -9.262    205.48   101.376     235.7     3.701   71.0811    239.72         0         0   
    5.604    -7.453    205.16   100.371     236.9     3.641   71.9594   239.348         0         0   
    5.709    -6.619    204.86   99.4035       238     5.056   72.8136    238.97         0         0   
    5.815    -6.661   204.664   98.5351     239.2     3.659   73.6602   238.701         0         0   
    5.921    -6.982   204.321   97.5981     239.8     3.749   74.4914    238.27         0         0   
    6.027    -8.842   203.762   96.7035     240.2     7.041   75.3075   237.621         0         0   
    6.132    -10.18   203.248   95.9044     240.5     7.027   76.1013   237.055         0         0   
    6.238    -10.37   202.889   95.0454     241.3     4.195   76.8882   236.647         0         0   
    6.344    -10.12   202.862   94.2231     241.9     4.592   77.6609   236.558         0         0   
    6.449    -10.78   202.464   93.4771     242.7     5.013   78.4125    236.14         0         0   
    6.555    -12.48   202.198   92.6858     243.6     5.687   79.1577   235.764         0         0   
    6.661    -15.38   202.054   91.9846     244.7     6.298   79.8895   235.442         0         0   
    6.767    -18.67   202.091   91.2211       248     6.747   80.6083   235.183         0         0   
    6.872    -19.58   202.467    90.495     251.9     7.296   81.3076   235.393         0         0   
    6.978    -18.44   202.372    89.837     257.1     7.188   82.0012   235.392         0         0   
