!# Results of ROTMAS saved at 14-Oct-2007 (21:21:13)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 369.319
!# Red. Chi-square (N=117,n=4) : 3.268312
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     4.136880    12.163000     0.272298     1.236220     1.000000 
!# Parameter error :    23.363010   124.442703     0.556207     0.546388     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76     211.4   81.1991     242.2     7.309   32.9355   228.588         0         0   
    2.537    -11.14   215.055   79.3023     245.7     8.481   34.1152   231.467         0         0   
    2.643     -11.5   217.888   77.5302     245.3     10.37    35.282   233.663         0         0   
    2.749    -12.01   220.178   75.8797     243.5     6.013   36.4244   235.412         0         0   
    2.855    -12.75   222.172   74.3434     241.9     2.823   37.5426   236.926         0         0   
     2.96    -13.68   223.917   72.9262     243.6     2.613   38.6266   238.248         0         0   
    3.066    -14.61    225.78   71.5407     246.9     3.218   39.6972   239.702         0         0   
    3.278     -16.5   228.554   69.0793     251.2     4.496    41.768   241.829         0         0   
    3.383    -17.51   229.243   67.9052       251     5.121   42.7595   242.251         0         0   
    3.489    -18.46   229.887   66.8355     247.7     6.736   43.7379   242.667         0         0   
    3.595    -19.27   230.688   65.7965     245.6     6.756   44.6941   243.253         0         0   
      3.7    -19.86   230.648   64.8139     244.3     5.506   45.6197   243.076         0         0   
    3.806    -20.17   231.198   63.8835     242.9     4.661   46.5329     243.5         0         0   
    3.912    -20.28   231.357   62.9594     240.6     4.171    47.425   243.573         0         0   
    4.018    -20.17   231.966   62.1004     239.1     3.493   48.2966   244.112         0         0   
    4.123    -19.84   231.801   61.2968     237.7     2.936     49.14   243.947         0         0   
    4.229     -19.3   231.455   60.4698     235.8     2.782    49.972   243.624         0         0   
    4.335    -18.75   230.999   59.7209     234.2     2.814   50.7847   243.217         0         0   
    4.441    -18.52   230.852   58.9846     233.5     2.879   51.5786   243.083         0         0   
    4.546    -18.67   230.239   58.2614     233.5     2.954   52.3469   242.479         0         0   
    4.652    -18.88   229.387   57.6065     233.3     3.324   53.1047   241.662         0         0   
    4.758    -18.93   228.765   56.9297     232.2     3.565   53.8451   241.071         0         0   
    4.863    -18.69   228.223   56.2832     231.7     3.438   54.5617   240.585         0         0   
    4.969    -18.03   228.066   55.7003     231.6      3.21   55.2687   240.512         0         0   
    5.075    -16.85   227.727   55.0793     231.8      3.22   55.9595   240.293         0         0   
    5.181    -15.02   227.681   54.5152     232.6     3.444   56.6346   240.401         0         0   
    5.286    -13.07    227.91   53.9626     233.6     3.762   57.2882   240.762         0         0   
    5.392    -11.18    228.34   53.4022     234.7     4.488   57.9332   241.293         0         0   
    5.498    -9.262   228.464   52.9002     235.7     3.701   58.5637   241.533         0         0   
    5.604    -7.453   228.108   52.3758     236.9     3.641   59.1801   241.295         0         0   
    5.709    -6.619   227.774   51.8709       238     5.056   59.7771   241.042         0         0   
    5.815    -6.661   227.557   51.4178     239.2     3.659   60.3665   240.885         0         0   
    5.921    -6.982   227.175   50.9288     239.8     3.749    60.943   240.557         0         0   
    6.027    -8.842   226.554    50.462     240.2     7.041   61.5067   239.954         0         0   
    6.132    -10.18   225.982    50.045     240.5     7.027   62.0531   239.415         0         0   
    6.238    -10.37   225.583   49.5968     241.3     4.195   62.5927   239.077         0         0   
    6.344    -10.12   225.553   49.1677     241.9     4.592   63.1207    239.11         0         0   
    6.449    -10.78    225.11   48.7784     242.7     5.013   63.6326   238.719         0         0   
    6.555    -12.48   224.815   48.3655     243.6     5.687   64.1384   238.409         0         0   
    6.661    -15.38   224.655   47.9996     244.7     6.298   64.6335   238.148         0         0   
    6.767    -18.67   224.696   47.6012       248     6.747   65.1182   238.004         0         0   
    6.872    -19.58   225.114   47.2223     251.9     7.296   65.5883   238.379         0         0   
    6.978    -18.44   225.008   46.8789     257.1     7.188   66.0531   238.431         0         0   
    7.084    -15.42   224.877   46.5097     259.8     6.642   66.5084   238.576         0         0   
     7.19    -10.12   224.433   46.1541     259.6     6.333   66.9543   238.497         0         0   
    7.295    -1.779   224.262   45.8344     259.5     6.117    67.387   238.605         0         0   
    7.401     9.454   224.019   45.4909     259.1     5.801   67.8152   238.625         0         0   
    7.507     12.81   223.614   45.1593     258.5     5.358   68.2347   238.459         0         0   
    7.612     15.65   222.893   44.8576     258.1     4.985    68.642   238.013         0         0   
    7.718      18.3   222.195   44.5369     257.9     5.055   69.0451   237.605         0         0   
    7.824      20.3   221.575   44.2268     257.1     5.159   69.4403   237.246         0         0   
     7.93     21.81   221.132   43.9386     255.6     5.211   69.8278   237.027         0         0   
    8.035     22.68   220.726   43.6408     253.6     5.281   70.2042   236.786         0         0   
    8.141     22.92   219.473   43.3689     251.4     5.622    70.577   235.703         0         0   
    8.247     22.95   218.546   43.0772     249.5      5.99   70.9426   234.899         0         0   
    8.353     22.98   217.936   42.7947     248.2     6.026   71.3013   234.391         0         0   
    8.458     23.14   217.545   42.5393     246.9     5.894   71.6499   234.104         0         0   
    8.564     23.57   216.717   42.2651     245.8     5.555   71.9954   233.434         0         0   
     8.67     24.26   215.726   41.9988     244.5      8.02   72.3344   232.643         0         0   
    8.775      24.8   214.929   41.7561     242.9     8.055    72.664    232.02         0         0   
    8.881     25.05    214.26   41.4976     241.7     5.077   72.9908   231.483         0         0   
    8.987     25.29   213.338   41.2462     240.2     5.088   73.3116   230.713         0         0   
    9.093     25.56   212.402   41.0127     239.1     5.282   73.6266   229.937         0         0   
    9.198     25.86   211.529   40.7704     237.6     5.443   73.9331    229.22         0         0   
    9.304     26.36   210.672   40.5331     236.2     5.645   74.2371   228.542         0         0   
     9.41      27.1   209.944   40.3102     234.6     5.444   74.5357   228.016         0         0   
    9.516     27.69   208.644   40.0785     232.9         7    74.829   226.946         0         0   
    9.621     28.15   207.916   39.8684     230.2     9.017   75.1146   226.391         0         0   
    9.727     28.49   206.944   39.6429     228.6      6.38   75.3979   225.597         0         0   
    9.833     28.77   206.216    39.423     226.5     6.537   75.6764   225.019         0         0   
    9.938     28.87   205.269   39.2221     224.3     7.832   75.9475   224.222         0         0   
    10.04     28.92   204.352    39.016     223.9     6.116   76.2066   223.441         0         0   
    10.15      29.2   203.851   38.7989     223.1     5.668   76.4813   223.075         0         0   
    10.26     29.61    203.21   38.5969     222.1     5.486   76.7512   222.602         0         0   
    10.36     30.32   202.612   38.4045     221.6     5.523   76.9926   222.202         0         0   
    10.47     31.33   201.498   38.1983     221.1     5.606   77.2537   221.383         0         0   
    10.57     32.46   200.779    38.023     220.4      6.49   77.4873   220.943         0         0   
    10.68     33.86   200.144   37.8212     219.4     6.255   77.7402   220.631         0         0   
    10.78      35.1   199.632   37.6426       218     6.639   77.9664   220.411         0         0   
    10.89     36.14   198.899   37.4564     215.8     7.793   78.2112    219.97         0         0   
       11     36.81    198.04   37.2639     214.3     7.151    78.452   219.359         0         0   
