!# Results of ROTMAS saved at 12-May-2008 (12:14:52)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 415.728
!# Red. Chi-square (N=117,n=2) : 3.615023
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    26.418699    94.600197     0.710000     0.710000     1.000000 
!# Parameter error :     2.500832     3.899493     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76   160.209   131.117     242.2     7.309   121.136   239.618         0         0   
    2.537    -11.14   162.979   128.054     245.7     8.481   122.495   240.501         0         0   
    2.643     -11.5   165.126   125.192     245.3     10.37    123.79   241.104         0         0   
    2.749    -12.01   166.861   122.527     243.5     6.013   125.015   241.537         0         0   
    2.855    -12.75   168.372   120.047     241.9     2.823   126.174   241.904         0         0   
     2.96    -13.68   169.695   117.758     243.6     2.613   127.261   242.222         0         0   
    3.066    -14.61   171.106   115.521     246.9     3.218   128.302   242.632         0         0   
    3.278     -16.5   173.209   111.546     251.2     4.496   130.225   243.167         0         0   
    3.383    -17.51   173.731    109.65       251     5.121   131.106    243.08         0         0   
    3.489    -18.46   174.219   107.923     247.7     6.736   131.951   243.043         0         0   
    3.595    -19.27   174.826   106.245     245.6     6.756   132.755   243.114         0         0   
      3.7    -19.86   174.795   104.659     244.3     5.506   133.511   242.771         0         0   
    3.806    -20.17   175.213   103.156     242.9     4.661   134.239   242.804         0         0   
    3.912    -20.28   175.333   101.664     240.6     4.171    134.93   242.636         0         0   
    4.018    -20.17   175.795   100.277     239.1     3.493   135.589   242.769         0         0   
    4.123    -19.84   175.669   98.9795     237.7     2.936    136.21   242.521         0         0   
    4.229     -19.3   175.407   97.6439     235.8     2.782   136.808   242.169         0         0   
    4.335    -18.75   175.062   96.4348     234.2     2.814   137.378     241.8         0         0   
    4.441    -18.52    174.95   95.2458     233.5     2.879    137.92   241.575         0         0   
    4.546    -18.67   174.486    94.078     233.5     2.954   138.433   241.062         0         0   
