!# Results of ROTMAS saved at 14-Oct-2007 (21:22:01)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 501.482
!# Red. Chi-square (N=117,n=2) : 4.360711
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     3.036100   190.886002     1.000000     1.000000     1.000000 
!# Parameter error :     2.924599   161.113968     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76   190.133   155.607     242.2     7.309   49.0107   250.301         0         0   
    2.537    -11.14    193.42   151.972     245.7     8.481   50.0168   250.768         0         0   
    2.643     -11.5   195.968   148.576     245.3     10.37   51.0092   250.894         0         0   
    2.749    -12.01   198.028   145.413     243.5     6.013   51.9794   250.834         0         0   
    2.855    -12.75   199.821   142.469     241.9     2.823   52.9288   250.728         0         0   
     2.96    -13.68   201.391   139.753     243.6     2.613   53.8497   250.603         0         0   
    3.066    -14.61   203.066   137.098     246.9     3.218   54.7607   250.633         0         0   
    3.278     -16.5   205.561   132.381     251.2     4.496   56.5301   250.407         0         0   
    3.383    -17.51   206.181   130.131       251     5.121   57.3821   249.862         0         0   
    3.489    -18.46    206.76   128.081     247.7     6.736   58.2268   249.407         0         0   
    3.595    -19.27    207.48    126.09     245.6     6.756   59.0567   249.124         0         0   
      3.7    -19.86   207.444   124.207     244.3     5.506   59.8649   248.294         0         0   
    3.806    -20.17   207.939   122.424     242.9     4.661   60.6672   247.992         0         0   
    3.912    -20.28   208.082   120.653     240.6     4.171   61.4565   247.429         0         0   
    4.018    -20.17    208.63   119.007     239.1     3.493   62.2332   247.296         0         0   
    4.123    -19.84   208.481   117.467     237.7     2.936   62.9907   246.652         0         0   
    4.229     -19.3    208.17   115.882     235.8     2.782   63.7439   245.874         0         0   
    4.335    -18.75    207.76   114.447     234.2     2.814   64.4859    245.09         0         0   
    4.441    -18.52   207.628   113.036     233.5     2.879   65.2171   244.534         0         0   
    4.546    -18.67   207.077    111.65     233.5     2.954    65.931   243.608         0         0   
    4.652    -18.88    206.31   110.395     233.3     3.324   66.6417    242.56         0         0   
    4.758    -18.93   205.751   109.098     232.2     3.565   67.3427   241.687         0         0   
    4.863    -18.69   205.263   107.859     231.7     3.438   68.0277   240.925         0         0   
    4.969    -18.03   205.122   106.742     231.6      3.21   68.7101   240.551         0         0   
    5.075    -16.85   204.817   105.552     231.8      3.22   69.3837   240.045         0         0   
    5.181    -15.02   204.776   104.471     232.6     3.444   70.0486   239.851         0         0   
    5.286    -13.07   204.982   103.412     233.6     3.762   70.6989   239.873         0         0   
    5.392    -11.18   205.369   102.338     234.7     4.488   71.3474   240.031         0         0   
    5.498    -9.262    205.48   101.376     235.7     3.701    71.988   239.991         0         0   
    5.604    -7.453    205.16   100.371     236.9     3.641   72.6209   239.548         0         0   
    5.709    -6.619    204.86   99.4035       238     5.056   73.2405     239.1         0         0   
    5.815    -6.661   204.664   98.5351     239.2     3.659   73.8587   238.762         0         0   
    5.921    -6.982   204.321   97.5981     239.8     3.749   74.4698   238.263         0         0   
    6.027    -8.842   203.762   96.7035     240.2     7.041    75.074   237.547         0         0   
