!# Results of ROTMAS saved at 14-Oct-2007 (21:21:45)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 373.673
!# Red. Chi-square (N=117,n=4) : 3.306844
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     9.299300    77.156403     0.230416     1.197990     1.000000 
!# Parameter error :    60.446228    95.818741     0.267334     0.648454     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    2.432    -10.76   208.106    74.694     242.2     7.309   57.0924   228.103         0         0   
    2.537    -11.14   211.703   72.9491     245.7     8.481   58.0063   231.042         0         0   
    2.643     -11.5   214.492    71.319     245.3     10.37   58.8946   233.302         0         0   
    2.749    -12.01   216.747   69.8007     243.5     6.013   59.7507   235.111         0         0   
    2.855    -12.75    218.71   68.3875     241.9     2.823   60.5764    236.68         0         0   
     2.96    -13.68   220.428   67.0838     243.6     2.613   61.3659   238.049         0         0   
    3.066    -14.61   222.261   65.8093     246.9     3.218    62.136   239.538         0         0   
    3.278     -16.5   224.992   63.5451     251.2     4.496   63.6002   241.727         0         0   
    3.383    -17.51   225.671    62.465       251     5.121   64.2904    242.19         0         0   
    3.489    -18.46   226.304    61.481     247.7     6.736   64.9652   242.638         0         0   
    3.595    -19.27   227.093   60.5253     245.6     6.756   65.6189   243.246         0         0   
      3.7    -19.86   227.053   59.6214     244.3     5.506   66.2467   243.109         0         0   
    3.806    -20.17   227.595   58.7656     242.9     4.661   66.8614    243.55         0         0   
    3.912    -20.28   227.751   57.9155     240.6     4.171   67.4578   243.648         0         0   
    4.018    -20.17   228.351   57.1253     239.1     3.493   68.0367   244.192         0         0   
    4.123    -19.84   228.188   56.3861     237.7     2.936   68.5935   244.051         0         0   
    4.229     -19.3   227.848   55.6253     235.8     2.782   69.1396   243.755         0         0   
    4.335    -18.75   227.399   54.9365     234.2     2.814   69.6703   243.374         0         0   
    4.441    -18.52   227.255   54.2592     233.5     2.879   70.1861   243.252         0         0   
    4.546    -18.67   226.651   53.5939     233.5     2.954   70.6831   242.674         0         0   
    4.652    -18.88   225.812   52.9914     233.3     3.324   71.1711   241.884         0         0   
    4.758    -18.93     225.2   52.3689     232.2     3.565    71.646   241.314         0         0   
    4.863    -18.69   224.666   51.7741     231.7     3.438   72.1038   240.842         0         0   
    4.969    -18.03   224.512   51.2379     231.6      3.21   72.5539   240.769         0         0   
    5.075    -16.85   224.178   50.6667     231.8      3.22   72.9921   240.555         0         0   
    5.181    -15.02   224.133   50.1478     232.6     3.444    73.419   240.656         0         0   
    5.286    -13.07   224.358   49.6395     233.6     3.762    73.831       241         0         0   
    5.392    -11.18   224.782   49.1239     234.7     4.488   74.2364   241.508         0         0   
    5.498    -9.262   224.903   48.6622     235.7     3.701   74.6316   241.731         0         0   
    5.604    -7.453   224.553   48.1798     236.9     3.641   75.0169    241.49         0         0   
    5.709    -6.619   224.225   47.7153       238     5.056   75.3891   241.233         0         0   
    5.815    -6.661    224.01   47.2985     239.2     3.659   75.7556   241.065         0         0   
    5.921    -6.982   223.635   46.8487     239.8     3.749   76.1132   240.732         0         0   
    6.027    -8.842   223.023   46.4193     240.2     7.041   76.4621    240.13         0         0   
    6.132    -10.18    222.46   46.0357     240.5     7.027   76.7994   239.588         0         0   
    6.238    -10.37   222.068   45.6234     241.3     4.195   77.1318   239.243         0         0   
    6.344    -10.12   222.038   45.2287     241.9     4.592   77.4563   239.256         0         0   
    6.449    -10.78   221.602   44.8706     242.7     5.013   77.7702   238.858         0         0   
    6.555    -12.48   221.311   44.4907     243.6     5.687   78.0797   238.535         0         0   
    6.661    -15.38   221.154   44.1541     244.7     6.298   78.3819   238.256         0         0   
    6.767    -18.67   221.194   43.7877       248     6.747   78.6772   238.088         0         0   
    6.872    -19.58   221.606   43.4391     251.9     7.296    78.963   238.428         0         0   
    6.978    -18.44   221.502   43.1233     257.1     7.188   79.2449   238.458         0         0   
    7.084    -15.42   221.373   42.7836     259.8     6.642   79.5204   238.583         0         0   
     7.19    -10.12   220.936   42.4566     259.6     6.333   79.7897   238.494         0         0   
    7.295    -1.779   220.767   42.1624     259.5     6.117   80.0505   238.581         0         0   
    7.401     9.454   220.528   41.8464     259.1     5.801   80.3078   238.584         0         0   
    7.507     12.81   220.129   41.5414     258.5     5.358   80.5595   238.404         0         0   
    7.612     15.65    219.42   41.2639     258.1     4.985   80.8032   237.954         0         0   
    7.718      18.3   218.733   40.9689     257.9     5.055   81.0439    237.54         0         0   
    7.824      20.3   218.122   40.6837     257.1     5.159   81.2792   237.172         0         0   
     7.93     21.81   217.686   40.4186     255.6     5.211   81.5094    236.94         0         0   
    8.035     22.68   217.287   40.1446     253.6     5.281   81.7325   236.685         0         0   
    8.141     22.92   216.053   39.8944     251.4     5.622   81.9529    235.61         0         0   
    8.247     22.95    215.14   39.6261     249.5      5.99   82.1684   234.806         0         0   
    8.353     22.98   214.539   39.3663     248.2     6.026   82.3794   234.289         0         0   
    8.458     23.14   214.155   39.1313     246.9     5.894   82.5838   233.986         0         0   
    8.564     23.57    213.34    38.879     245.8     5.555   82.7859   233.312         0         0   
     8.67     24.26   212.365   38.6341     244.5      8.02   82.9836   232.521         0         0   
    8.775      24.8    211.58   38.4108     242.9     8.055   83.1753   231.893         0         0   
    8.881     25.05   210.921    38.173     241.7     5.077   83.3647   231.348         0         0   
    8.987     25.29   210.014   37.9418     240.2     5.088   83.5502   230.576         0         0   
    9.093     25.56   209.092   37.7271     239.1     5.282   83.7318   229.798         0         0   
    9.198     25.86   208.233   37.5041     237.6     5.443   83.9078   229.078         0         0   
    9.304     26.36   207.389   37.2859     236.2     5.645   84.0819   228.397         0         0   
     9.41      27.1   206.672   37.0808     234.6     5.444   84.2523   227.862         0         0   
    9.516     27.69   205.392   36.8677     232.9         7   84.4191   226.801         0         0   
    9.621     28.15   204.675   36.6744     230.2     9.017    84.581   226.238         0         0   
    9.727     28.49   203.719   36.4669     228.6      6.38    84.741   225.442         0         0   
