!# Results of ROTMAS saved at 13-Oct-2007 (13:36:21)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 32.6714
!# Red. Chi-square (N=94,n=4) : 0.363015
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     1.856870    97.053398     0.081189     0.714382     1.000000 
!# Parameter error :     0.117190    12.192806     0.037019     0.027221     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   5.40857    16.164     23.77     5.576   16.6139   23.8246         0         0   
   0.8039    -1.568   11.8793   24.4183      42.3     6.204   31.9766   41.9215         0         0   
    1.206     -3.98   21.4519   25.7383     56.24     6.558   45.3375   56.2343         0         0   
    1.608    -5.708   29.4127    25.275     67.49     6.965   56.5264   68.3124         0         0   
     2.01    -7.393   30.9513   23.9727     76.42     7.424   65.7439   76.1596         0         0   
    2.412    -9.243   36.8909   22.3335     84.69      5.94   73.3147   84.5537         0         0   
    2.814    -10.85   42.7143   20.7211     91.77     5.494   79.5617   92.0121         0         0   
    3.216     -11.5   49.3732    19.305     99.19     4.859   84.7599   99.3096         0         0   
    3.617    -10.98   56.1137   18.0432     106.3     4.307   89.1181   106.282         0         0   
    4.019    -10.05    62.149   16.9458     113.5     4.031   92.8272   112.541         0         0   
    4.421    -9.169   68.0468   16.0327     121.5     4.653   96.0062   118.408         0         0   
    4.823    -7.911   75.3306   15.2149     128.6     5.635   98.7558   124.885         0         0   
    5.225    -5.975   84.9353   14.5418     133.9     6.663   101.154   132.747         0         0   
    5.627    -1.655   91.9827   13.9295     138.2     7.271   103.262   138.979         0         0   
    6.029     5.834   95.6154   13.4105     140.4     7.032   105.128   142.857         0         0   
    6.431     8.627   97.9169   12.9483     142.4     5.534    106.79   145.719         0         0   
    6.833     10.96   100.015   12.5194     142.8     3.916   108.279   148.338         0         0   
    7.235      13.1    100.53    12.148     142.9     4.516   109.621   149.807         0         0   
    7.637     15.21   100.181   11.7935     143.2     6.099   110.835   150.636         0         0   
    8.039     17.31   99.6741   11.4872     144.5      6.82    111.94   151.318         0         0   
    8.441        19   99.2996   11.1867       146     6.666   112.948   151.999         0         0   
    8.843     20.81   98.0741   10.9244     147.1     6.148   113.872   152.111         0         0   
    9.245     22.47   97.1748   10.6683     148.4     5.116   114.722    152.39         0         0   
    9.647     23.63   96.3363     10.44     149.9     3.861   115.507    152.61         0         0   
    10.05     24.99    95.983   10.2179     151.1     3.192   116.234   153.141         0         0   
    10.45     26.36   95.2739   10.0171       152     3.271   116.904   153.424         0         0   
    10.85     27.22     94.82   9.82405     152.6     3.623   117.528   153.757         0         0   
    11.25     27.75   93.9013    9.6438     153.4     3.846   118.111   153.723         0         0   
    11.66     28.72   92.8262   9.46973     154.5     3.963   118.668   153.666         0         0   
    12.06     30.19   91.8018   9.30627     155.7     3.685   119.178   153.717         0         0   
    12.46      32.1   90.6151   9.15562     156.9     3.314   119.656   153.763         0         0   
    12.86     34.06   89.4698   9.00628     157.8      3.22   120.106   153.856         0         0   
    13.26     35.71   88.1817   8.86997     158.5     3.254   120.531    153.81         0         0   
    13.67     36.67   86.8176   8.73078     158.7     3.245   120.941   153.574         0         0   
    14.07      37.2   85.7399   8.60577       158     3.218   121.319   153.387         0         0   
    14.47     37.54   84.6656    8.4826     156.6     3.391   121.678    153.15         0         0   
    14.87      37.8   83.5307   8.36717     155.2     3.873   122.017   152.854         0         0   
    15.27     38.02   82.4622   8.25479       153     4.865    122.34    152.58         0         0   
    15.68     38.09   81.3271   8.14492     151.1     5.308   122.655   152.235         0         0   
    16.08     37.81   80.2856   8.04222       150     5.178   122.946   151.842         0         0   
    16.48     37.35   79.2208   7.94235     150.1     5.031   123.225   151.388         0         0   
    16.88     37.22   78.2054   7.84787     150.2     4.808    123.49   151.039         0         0   
    17.28     37.58    77.187   7.75427     150.3     4.512   123.744   150.807         0         0   
    17.69     38.05   76.1289   7.66505     150.3     4.325   123.992   150.586         0         0   
    18.09     38.55   75.2201   7.57703     150.5     4.283   124.224   150.443         0         0   
    18.49     39.15   74.2308    7.4966     150.7     4.187   124.446   150.286         0         0   
    18.89     39.77   73.3553   7.41357     151.3     4.309   124.659   150.192         0         0   
    19.29      40.6   72.4194   7.33621       152     4.302   124.864   150.125         0         0   
     19.7     41.76   71.5507   7.25862     152.8     4.196   125.065   150.191         0         0   
     20.1     42.84   70.6799   7.18553       153     4.191   125.253   150.236         0         0   
     20.5      43.7   69.8684   7.11478     153.1     4.314   125.435   150.252         0         0   
     20.9     44.38   69.0494    7.0456     152.9     4.145    125.61   150.216         0         0   
     21.3     44.82   68.2747   6.97932     151.6     3.687   125.778    150.13         0         0   
     21.7     44.82   67.5071   6.91359     150.9      3.23    125.94   149.916         0         0   
