!# Results of ROTMAS saved at 12-May-2008 (13:32:33)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 189.471
!# Red. Chi-square (N=94,n=2) : 2.059470
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     8.524180   110.410004     0.710000     0.710000     1.000000 
!# Parameter error :     0.470757     2.181021     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   6.39907      47.8     23.77     5.576   29.3753   56.3727         0         0   
   0.8039    -1.568   14.0548   72.2096      42.3     6.204   40.9254   83.8266         0         0   
    1.206     -3.98   25.3805   76.1132     56.24     6.558   49.3929   93.1364         0         0   
    1.608    -5.708   34.7992    74.743     67.49     6.965   56.2162   97.8468         0         0   
     2.01    -7.393   36.6196   70.8917     76.42     7.424   61.9677   98.8083         0         0   
    2.412    -9.243   43.6469   66.0445     84.69      5.94   66.9454   100.552         0         0   
    2.814    -10.85   50.5368   61.2762     91.77     5.494   71.3298   102.656         0         0   
    3.216     -11.5   58.4152   57.0886     99.19     4.859   75.2405   105.881         0         0   
    3.617    -10.98   66.3902   53.3572     106.3     4.307   78.7537   109.809         0         0   
    4.019    -10.05   73.5307   50.1119     113.5     4.031    81.949   113.862         0         0   
    4.421    -9.169   80.5086   47.4117     121.5     4.653   84.8652   118.186         0         0   
    4.823    -7.911   89.1264   44.9934     128.6     5.635   87.5398   123.551         0         0   
    5.225    -5.975    100.49   43.0029     133.9     6.663    90.003   130.705         0         0   
    5.627    -1.655   108.828   41.1922     138.2     7.271   92.2798    136.45         0         0   
    6.029     5.834   113.126   39.6575     140.4     7.032   94.3906   140.009         0         0   
    6.431     8.627   115.849   38.2905     142.4     5.534   96.3527   142.665         0         0   
    6.833     10.96   118.331   37.0223     142.8     3.916   98.1811   145.162         0         0   
    7.235      13.1   118.941   35.9239     142.9     4.516   99.8884   146.575         0         0   
    7.637     15.21   118.528   34.8757     143.2     6.099   101.486   147.383         0         0   
    8.039     17.31   117.928   33.9697     144.5      6.82   102.982   148.098         0         0   
    8.441        19   117.485   33.0811       146     6.666   104.387   148.835         0         0   
    8.843     20.81   116.035   32.3055     147.1     6.148   105.707   149.031         0         0   
    9.245     22.47   114.971   31.5481     148.4     5.116   106.949    149.41         0         0   
    9.647     23.63   113.979    30.873     149.9     3.861   108.119    149.75         0         0   
    10.05     24.99   113.561   30.2163     151.1     3.192   109.225   150.413         0         0   
    10.45     26.36   112.722   29.6224       152     3.271   110.262   150.836         0         0   
    10.85     27.22   112.185   29.0516     152.6     3.623   111.241   151.312         0         0   
    11.25     27.75   111.098   28.5186     153.4     3.846   112.168   151.421         0         0   
    11.66     28.72   109.826   28.0038     154.5     3.963   113.066   151.515         0         0   
    12.06     30.19   108.614   27.5204     155.7     3.685   113.895   151.713         0         0   
    12.46      32.1    107.21   27.0749     156.9     3.314   114.681   151.907         0         0   
    12.86     34.06   105.855   26.6333     157.8      3.22   115.426   152.146         0         0   
    13.26     35.71   104.331   26.2302     158.5     3.254   116.133   152.244         0         0   
    13.67     36.67   102.717   25.8186     158.7     3.245    116.82   152.149         0         0   
    14.07      37.2   101.442   25.4489       158     3.218   117.456   152.098         0         0   
    14.47     37.54   100.171   25.0846     156.6     3.391   118.061    151.99         0         0   
    14.87      37.8   98.8282   24.7433     155.2     3.873   118.635   151.822         0         0   
    15.27     38.02    97.564    24.411       153     4.865   119.181    151.67         0         0   
    15.68     38.09    96.221   24.0861     151.1     5.308   119.712   151.445         0         0   
    16.08     37.81   94.9888   23.7824       150     5.178   120.205   151.164         0         0   
    16.48     37.35    93.729    23.487     150.1     5.031   120.674   150.819         0         0   
    16.88     37.22   92.5276   23.2076     150.2     4.808    121.12   150.574         0         0   
