!# Results of ROTMAS saved at 13-Oct-2007 (13:35:18)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 264.94
!# Red. Chi-square (N=94,n=2) : 2.879785
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     5.083010   122.719002     1.000000     1.000000     1.000000 
!# Parameter error :     0.466684     4.923653     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   6.39907   56.7282     23.77     5.576   22.0138    61.194         0         0   
   0.8039    -1.568   14.0548    85.697      42.3     6.204   30.8804   92.1556         0         0   
    1.206     -3.98   25.3805   90.3297     56.24     6.558    37.518   100.972         0         0   
    1.608    -5.708   34.7992   88.7036     67.49     6.965   42.9766   104.373         0         0   
     2.01    -7.393   36.6196    84.133     76.42     7.424   47.6703   103.137         0         0   
    2.412    -9.243   43.6469   78.3804     84.69      5.94   51.8128   103.188         0         0   
    2.814    -10.85   50.5368   72.7215     91.77     5.494   55.5321   103.964         0         0   
    3.216     -11.5   58.4152   67.7517     99.19     4.859   58.9127   106.495         0         0   
    3.617    -10.98   66.3902   63.3233     106.3     4.307   62.0065    110.19         0         0   
    4.019    -10.05   73.5307   59.4719     113.5     4.031   64.8723   114.241         0         0   
    4.421    -9.169   80.5086   56.2673     121.5     4.653   67.5353   118.847         0         0   
    4.823    -7.911   89.1264   53.3974     128.6     5.635   70.0216   125.041         0         0   
    5.225    -5.975    100.49   51.0351     133.9     6.663   72.3521   133.798         0         0   
    5.627    -1.655   108.828   48.8862     138.2     7.271   74.5439   140.668         0         0   
    6.029     5.834   113.126   47.0648     140.4     7.032   76.6112   144.623         0         0   
    6.431     8.627   115.849   45.4425     142.4     5.534   78.5659   147.421         0         0   
    6.833     10.96   118.331   43.9374     142.8     3.916   80.4184   150.067         0         0   
    7.235      13.1   118.941   42.6338     142.9     4.516   82.1775   151.292         0         0   
    7.637     15.21   118.528   41.3899     143.2     6.099   83.8507   151.738         0         0   
    8.039     17.31   117.928   40.3146     144.5      6.82   85.4447   152.094         0         0   
    8.441        19   117.485     39.26       146     6.666   86.9656   152.539         0         0   
    8.843     20.81   116.035   38.3396     147.1     6.148   88.4185   152.266         0         0   
    9.245     22.47   114.971   37.4407     148.4     5.116   89.8081   152.284         0         0   
    9.647     23.63   113.979   36.6395     149.9     3.861   91.1386    152.31         0         0   
    10.05     24.99   113.561   35.8601     151.1     3.192   92.4169   152.799         0         0   
    10.45     26.36   112.722   35.1553       152     3.271   93.6342   152.985         0         0   
    10.85     27.22   112.185   34.4779     152.6     3.623   94.8032   153.306         0         0   
    11.25     27.75   111.098   33.8453     153.4     3.846   95.9267   153.167         0         0   
    11.66     28.72   109.826   33.2344     154.5     3.963   97.0338   152.992         0         0   
    12.06     30.19   108.614   32.6607     155.7     3.685   98.0729   152.949         0         0   
    12.46      32.1    107.21    32.132     156.9     3.314   99.0737   152.881         0         0   
    12.86     34.06   105.855   31.6079     157.8      3.22   100.038   152.879         0         0   
    13.26     35.71   104.331   31.1295     158.5     3.254   100.968   152.721         0         0   
    13.67     36.67   102.717    30.641     158.7     3.245   101.887   152.366         0         0   
    14.07      37.2   101.442   30.2023       158     3.218   102.753   152.134         0         0   
    14.47     37.54   100.171     29.77     156.6     3.391   103.588   151.856         0         0   
    14.87      37.8   98.8282   29.3649     155.2     3.873   104.396   151.514         0         0   
    15.27     38.02    97.564   28.9705       153     4.865   105.176   151.214         0         0   
    15.68     38.09    96.221   28.5849     151.1     5.308   105.949   150.837         0         0   
    16.08     37.81   94.9888   28.2245       150     5.178   106.679   150.431         0         0   
    16.48     37.35    93.729    27.874     150.1     5.031   107.384   149.962         0         0   
