!# Results of ROTMAS saved at 13-Oct-2007 (13:35:42)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 33.6171
!# Red. Chi-square (N=94,n=3) : 0.369419
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    11.192100   103.971001     0.000000     0.692882     1.000000 
!# Parameter error :     0.431670     0.694658     0.000000     0.034622     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4019      1.03   5.32656        -0     23.77     5.576   34.4723   34.8966         0         0   
   0.8039    -1.568   11.6992        -0      42.3     6.204   47.7547   49.1418         0         0   
    1.206     -3.98   21.1266        -0     56.24     6.558   57.3241   60.9635         0         0   
    1.608    -5.708   28.9667        -0     67.49     6.965   64.9071   70.8478         0         0   
     2.01    -7.393    30.482        -0     76.42     7.424   71.1957   77.0929         0         0   
    2.412    -9.243   36.3315        -0     84.69      5.94   76.5527    84.231         0         0   
    2.814    -10.85   42.0666        -0     91.77     5.494   81.1988   90.8026         0         0   
    3.216     -11.5   48.6245        -0     99.19     4.859   85.2805   97.4929         0         0   
    3.617    -10.98   55.2629        -0     106.3     4.307   88.8932   104.093         0         0   
    4.019    -10.05   61.2066        -0     113.5     4.031   92.1315   110.152         0         0   
    4.421    -9.169    67.015        -0     121.5     4.653   95.0447   115.933         0         0   
    4.823    -7.911   74.1884        -0     128.6     5.635   97.6788   122.403         0         0   
    5.225    -5.975   83.6474        -0     133.9     6.663   100.071    130.29         0         0   
    5.627    -1.655   90.5879        -0     138.2     7.271   102.251   136.597         0         0   
    6.029     5.834   94.1656        -0     140.4     7.032   104.245     140.6         0         0   
    6.431     8.627   96.4322        -0     142.4     5.534   106.073   143.614         0         0   
    6.833     10.96   98.4982        -0     142.8     3.916   107.753   146.399         0         0   
    7.235      13.1   99.0059        -0     142.9     4.516   109.301   148.056         0         0   
    7.637     15.21   98.6622        -0     143.2     6.099   110.729   149.086         0         0   
    8.039     17.31   98.1627        -0     144.5      6.82   112.049   149.969         0         0   
    8.441        19    97.794        -0       146     6.666   113.271   150.848         0         0   
    8.843     20.81    96.587        -0     147.1     6.148   114.404   151.163         0         0   
    9.245     22.47   95.7013        -0     148.4     5.116   115.455   151.636         0         0   
    9.647     23.63   94.8756        -0     149.9     3.861   116.431   152.039         0         0   
    10.05     24.99   94.5276        -0     151.1     3.192    117.34   152.738         0         0   
    10.45     26.36   93.8293        -0       152     3.271   118.181   153.184         0         0   
    10.85     27.22   93.3823        -0     152.6     3.623   118.963   153.667         0         0   
    11.25     27.75   92.4775        -0     153.4     3.846   119.692    153.78         0         0   
    11.66     28.72   91.4186        -0     154.5     3.963   120.389   153.869         0         0   
    12.06     30.19   90.4098        -0     155.7     3.685   121.021   154.051         0         0   
    12.46      32.1   89.2411        -0     156.9     3.314   121.612    154.22         0         0   
    12.86     34.06   88.1132        -0     157.8      3.22   122.163   154.427         0         0   
    13.26     35.71   86.8446        -0     158.5     3.254   122.677   154.489         0         0   
    13.67     36.67   85.5012        -0     158.7     3.245   123.168   154.355         0         0   
    14.07      37.2   84.4398        -0       158     3.218   123.615   154.255         0         0   
    14.47     37.54   83.3819        -0     156.6     3.391   124.031   154.096         0         0   
    14.87      37.8   82.2641        -0     155.2     3.873    124.42   153.872         0         0   
    15.27     38.02   81.2118        -0       153     4.865   124.782    153.66         0         0   
    15.68     38.09   80.0939        -0     151.1     5.308   125.128   153.372         0         0   
    16.08     37.81   79.0682        -0       150     5.178   125.442   153.026         0         0   
    16.48     37.35   78.0196        -0     150.1     5.031   125.734   152.614         0         0   
    16.88     37.22   77.0195        -0     150.2     4.808   126.005   152.298         0         0   
    17.28     37.58   76.0166        -0     150.3     4.512   126.257   152.091         0         0   
    17.69     38.05   74.9745        -0     150.3     4.325   126.497   151.889         0         0   
