!# Results of ROTMAS saved at 12-May-2008 (13:06:58)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 466.386
!# Red. Chi-square (N=100,n=2) : 4.759039
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.502630    72.977798     0.710000     1.000000 
!# Parameter error :     0.663665    30.572273     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3117     -5.11   69.9815         0     19.38     3.557   11.2761   70.6997         0         0   
   0.6233    -4.322   112.305         0     34.68     5.396   22.2458   114.405         0         0   
    0.935    -6.483   131.413         0     87.05     18.59    32.661   135.256         0         0   
    1.247    -8.805   147.445         0     142.3     19.34   42.3503   153.154         0         0   
    1.558    -10.91   159.885         0     172.9     11.21   51.1834   167.523         0         0   
     1.87    -12.36    169.58         0       185     15.62   59.1956   179.189         0         0   
    2.182     -13.1   176.158         0     199.4     11.86   66.3858   187.795         0         0   
    2.493    -13.38   181.739         0       209      11.2   72.7933   195.317         0         0   
    2.805    -13.45   186.851         0     217.5     8.091   78.5318   202.236         0         0   
    3.117    -13.38   191.577         0     223.5     6.489   83.6556   208.617         0         0   
    3.428    -13.78   195.086         0     224.6     9.461   88.2241   213.664         0         0   
     3.74    -14.98   197.316         0     222.2     10.02   92.3336   217.335         0         0   
    4.051    -16.18   199.335         0     220.9     6.432   96.0172   220.662         0         0   
    4.363    -15.65   200.815         0     222.2     5.241    99.351     223.5         0         0   
    4.675    -12.35   202.223         0     224.8     4.904   102.368    226.32         0         0   
    4.986      -4.3   203.442         0     228.2     4.521   105.099   228.945         0         0   
    5.298     10.81   205.386         0     231.1     3.992   107.596   232.114         0         0   
