!# Results of ROTMAS saved at 12-Oct-2007 (15:32:19)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 791.553
!# Red. Chi-square (N=100,n=2) : 8.077075
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :    39.354198     1.280360     1.000000     1.000000 
!# Parameter error :    90.415054     1.192445     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3117     -5.11   83.0528         0     19.38     3.557   1.50048    82.909         0         0   
   0.6233    -4.322   133.281         0     34.68     5.396   3.00032   133.245         0         0   
    0.935    -6.483   155.959         0     87.05     18.59   4.50029   155.889         0         0   
    1.247    -8.805   174.985         0     142.3     19.34    6.0012   174.866         0         0   
    1.558    -10.91   189.749         0     172.9     11.21   7.49663   189.583         0         0   
     1.87    -12.36   201.254         0       185     15.62   8.99602   201.075         0         0   
    2.182     -13.1   209.061         0     199.4     11.86   10.4944   208.914         0         0   
    2.493    -13.38   215.684         0       209      11.2   11.9868   215.602         0         0   
    2.805    -13.45   221.751         0     217.5     8.091   13.4826   221.753         0         0   
    3.117    -13.38    227.36         0     223.5     6.489    14.977    227.46         0         0   
    3.428    -13.78   231.525         0     224.6     9.461   16.4649     231.7         0         0   
     3.74    -14.98   234.171         0     222.2     10.02   17.9557    234.38         0         0   
    4.051    -16.18   236.567         0     220.9     6.432   19.4397   236.812         0         0   
    4.363    -15.65   238.323         0     222.2     5.241   20.9264   238.728         0         0   
    4.675    -12.35   239.994         0     224.8     4.904   22.4107   240.721         0         0   
    4.986      -4.3   241.441         0     228.2     4.521   23.8879   242.582         0         0   
    5.298     10.81   243.748         0     231.1     3.992   25.3671   245.303         0         0   
     5.61     14.85   243.143         0       232     4.031   26.8435   245.071         0         0   
    5.921      17.5   243.114         0     232.8     4.045   28.3123   245.382         0         0   
    6.233     20.51   242.977         0     233.4     3.923   29.7827   245.653         0         0   
    6.545     23.87   240.634         0     233.4     4.238   31.2499   243.826         0         0   
    6.856     26.16   238.081         0     232.7     6.663    32.709   241.737         0         0   
    7.168      26.8    235.38         0     231.1     9.984   34.1693   239.352         0         0   
     7.48     26.85   231.913         0     231.1     10.39   35.6259   236.165         0         0   
    7.791     27.06   229.462         0       231     8.394   37.0741   234.008         0         0   
    8.103     27.44   227.155         0     230.3      8.13   38.5229   232.027         0         0   
    8.415     27.85   224.012         0     230.1     7.019   39.9677   229.247         0         0   
    8.726     28.35    221.68         0     229.8     7.029   41.4037   227.288         0         0   
    9.038     29.36   219.579         0     230.2     6.995   42.8399   225.637         0         0   
     9.35     30.77   216.966         0     231.2     7.601   44.2717   223.564         0         0   
    9.661     32.77   215.125         0     231.4     8.102   45.6943   222.352         0         0   
    9.973     35.17    213.48         0     231.1     8.293   47.1168   221.429         0         0   
    10.28     37.29   210.972         0     230.1     8.933   48.5118   219.666         0         0   
     10.6      39.1   209.179         0     229.4     10.01   49.9607   218.588         0         0   
    10.91     40.43    207.37         0       228     12.56   51.3593   217.427         0         0   
    11.22     41.46   204.968         0     227.8     12.06   52.7528    215.67         0         0   
    11.53     42.47   203.297         0     227.8     10.66    54.141   214.627         0         0   
    11.84     43.49    201.54         0     227.6     9.462    55.524   213.524         0         0   
    12.15     44.75   199.324         0     226.8     9.481   56.9016   212.062         0         0   
    12.47     46.02   197.699         0     224.9     11.83   58.3178   211.196         0         0   
    12.78     47.19   195.981         0     224.8      11.8   59.6841   210.232         0         0   
    13.09     48.33   194.012         0     222.5      13.7   61.0447   209.052         0         0   
     13.4      49.4    192.49         0     218.6     16.71   62.3995   208.294         0         0   
    13.71     50.56   190.906         0     212.3     22.69   63.7484   207.522         0         0   
    14.02     52.13   189.123         0     209.3     26.13   65.0914   206.693         0         0   
    14.34     53.89   187.754         0     209.2     28.52   66.4715   206.335         0         0   
    14.65     55.18   186.312         0     206.6      31.8   67.8021   205.801         0         0   
    14.96     55.86   184.604         0     210.7     30.27   69.1267   204.884         0         0   
    15.27     56.13   183.268         0     213.4     30.67    70.445   204.206         0         0   
    15.58     56.62   181.879         0     214.9     30.14   71.7569   203.556         0         0   
    15.89     57.27   180.338         0     217.5     28.74   73.0625   202.829         0         0   
    16.21     57.92   179.217         0     218.8     28.01   74.4035   202.508         0         0   
    16.52     58.32   177.985         0     216.5     28.56    75.696   202.014         0         0   
    16.83     58.68   176.585         0     215.2     28.97   76.9819   201.375         0         0   
    17.14     58.98   175.434         0     215.9     28.04   78.2613   200.949         0         0   
    17.45     59.16   174.289         0     215.2     26.86    79.534   200.505         0         0   
    17.76     59.27   173.039         0     214.1     26.49      80.8    199.96         0         0   
    18.08     59.32   171.973         0     214.3     26.97   82.0998   199.584         0         0   
    18.39     59.37    170.92         0     213.4     27.22    83.352   199.213         0         0   
     18.7     59.56   169.734         0       214     26.78   84.5975   198.781         0         0   
    19.01     59.83   168.727         0     213.6     26.68   85.8361   198.535         0         0   
    19.32     60.17   167.757         0     213.9     26.33   87.0678   198.352         0         0   
    19.63     60.49   166.673         0     214.4     25.66   88.2926   198.077         0         0   
    19.95     60.65   165.711         0     214.4     26.26   89.5496   197.883         0         0   
    20.26     60.67   164.744         0     212.7     26.94   90.7603   197.633         0         0   
    20.57     60.52   163.658         0     210.8     28.24   91.9639   197.241         0         0   
    20.88     59.94   162.721         0     208.8     28.74   93.1605    196.85         0         0   
    21.19     59.36   161.801         0     201.6     28.32   94.3501   196.482         0         0   
     21.5     58.72   160.794         0     193.3     25.09   95.5327   196.034         0         0   
    21.82     57.84   159.884         0     189.3     22.85   96.7459   195.622         0         0   
    22.13     57.18   158.953         0     188.1     22.22   97.9141   195.251         0         0   
    22.44      56.6   157.904         0       188     21.99   99.0752   194.816         0         0   
    22.75     56.08   156.879         0     188.5     22.63   100.229   194.427         0         0   
    23.06     55.75   156.048         0     183.1     20.92   101.376   194.258         0         0   
    23.37     55.55   155.009         0     186.5     21.43   102.516   193.967         0         0   
    23.69     55.25   154.023         0       186     19.78   103.685   193.717         0         0   
       24     54.97   153.286         0     184.2      19.3    104.81   193.658         0         0   
    24.31      54.7   152.428         0     184.4     19.58   105.928   193.513         0         0   
    24.62     54.35   151.614         0     187.2      18.8   107.039   193.386         0         0   
    24.93     54.03   150.962         0     184.5      19.8   108.143     193.4         0         0   
    25.24     53.79   150.152         0     182.5     19.49    109.24   193.319         0         0   
    25.56     53.47   149.435         0     185.2        18   110.365   193.314         0         0   
    25.87     53.08   148.805         0     188.6     17.45   111.447   193.341         0         0   
    26.18      52.7   148.142         0     189.8     17.52   112.523   193.351         0         0   
    26.49     52.29    147.44         0     191.1     17.11   113.591   193.328         0         0   
     26.8     51.93   146.804         0     193.4     16.77   114.652   193.373         0         0   
    27.11     51.53   146.189         0     190.2        18   115.706   193.428         0         0   
    27.43     51.16   145.506         0     187.6     18.03   116.787   193.465         0         0   
