!# Results of ROTMAS saved at 12-Oct-2007 (15:32:57)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 392.423
!# Red. Chi-square (N=100,n=3) : 4.045599
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.321450   370.234985     0.465047     1.000000 
!# Parameter error :     0.763133   451.061890     0.130625     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3117     -5.11   56.6373         0     19.38     3.557   25.1029     61.74         0         0   
   0.6233    -4.322   90.8901         0     34.68     5.396   47.9899   102.691         0         0   
    0.935    -6.483   106.355         0     87.05     18.59   67.4796   125.789         0         0   
    1.247    -8.805    119.33         0     142.3     19.34     83.46   145.354         0         0   
    1.558    -10.91   129.398         0     172.9     11.21   96.3289   160.948         0         0   
     1.87    -12.36   137.244         0       185     15.62   106.766   173.442         0         0   
    2.182     -13.1   142.568         0     199.4     11.86   115.268   182.868         0         0   
    2.493    -13.38   147.084         0       209      11.2   122.252   190.789         0         0   
    2.805    -13.45   151.222         0     217.5     8.091   128.095   197.725         0         0   
    3.117    -13.38   155.047         0     223.5     6.489   133.023   203.852         0         0   
    3.428    -13.78   157.887         0     224.6     9.461   137.213   208.724         0         0   
     3.74    -14.98   159.691         0     222.2     10.02   140.835   212.394         0         0   
    4.051    -16.18   161.325         0     220.9     6.432   143.973   215.621         0         0   
    4.363    -15.65   162.523         0     222.2     5.241   146.733   218.402         0         0   
    4.675    -12.35   163.662         0     224.8     4.904   149.171   221.099         0         0   
    4.986      -4.3   164.649         0     228.2     4.521   151.331   223.589         0         0   
    5.298     10.81   166.222         0     231.1     3.992    153.27   226.359         0         0   
     5.61     14.85    165.81         0       232     4.031   155.013    227.47         0         0   
    5.921      17.5    165.79         0     232.8     4.045   156.585   228.717         0         0   
    6.233     20.51   165.697         0     233.4     3.923   158.017   229.881         0         0   
    6.545     23.87   164.099         0     233.4     4.238   159.323   229.961         0         0   
    6.856     26.16   162.358         0     232.7     6.663   160.515   229.803         0         0   
    7.168      26.8   160.516         0     231.1     9.984   161.615   229.353         0         0   
     7.48     26.85   158.152         0     231.1     10.39   162.628   228.431         0         0   
    7.791     27.06    156.48         0       231     8.394   163.563   227.972         0         0   
    8.103     27.44   154.907         0     230.3      8.13   164.432   227.568         0         0   
    8.415     27.85   152.764         0     230.1     7.019   165.241   226.753         0         0   
    8.726     28.35   151.173         0     229.8     7.029   165.993   226.298         0         0   
    9.038     29.36    149.74         0     230.2     6.995   166.697   225.992         0         0   
     9.35     30.77   147.959         0     231.2     7.601   167.357   225.493         0         0   
    9.661     32.77   146.703         0     231.4     8.102   167.975   225.413         0         0   
    9.973     35.17   145.581         0     231.1     8.293   168.557   225.482         0         0   
    10.28     37.29   143.871         0     230.1     8.933   169.097   225.129         0         0   
     10.6      39.1   142.648         0     229.4     10.01   169.628   225.058         0         0   
    10.91     40.43   141.415         0       228     12.56   170.114   224.881         0         0   
    11.22     41.46   139.777         0     227.8     12.06   170.574   224.392         0         0   
    11.53     42.47   138.637         0     227.8     10.66    171.01   224.206         0         0   
    11.84     43.49   137.439         0     227.6     9.462   171.424    223.98         0         0   
    12.15     44.75   135.928         0     226.8     9.481   171.818   223.608         0         0   
    12.47     46.02    134.82         0     224.9     11.83   172.205   223.492         0         0   
    12.78     47.19   133.648         0     224.8      11.8   172.562   223.307         0         0   
    13.09     48.33   132.305         0     222.5      13.7   172.902   223.015         0         0   
     13.4      49.4   131.267         0     218.6     16.71   173.227   222.888         0         0   
    13.71     50.56   130.187         0     212.3     22.69   173.538   222.756         0         0   
    14.02     52.13   128.971         0     209.3     26.13   173.835   222.643         0         0   
    14.34     53.89   128.038         0     209.2     28.52   174.129   222.753         0         0   
    14.65     55.18   127.054         0     206.6      31.8   174.402   222.719         0         0   
    14.96     55.86    125.89         0     210.7     30.27   174.664   222.432         0         0   
    15.27     56.13   124.978         0     213.4     30.67   174.916   222.184         0         0   
    15.58     56.62   124.031         0     214.9     30.14   175.158   221.968         0         0   
    15.89     57.27    122.98         0     217.5     28.74    175.39   221.733         0         0   
    16.21     57.92   122.216         0     218.8     28.01   175.621   221.662         0         0   
    16.52     58.32   121.376         0     216.5     28.56   175.837   221.476         0         0   
    16.83     58.68   120.421         0     215.2     28.97   176.044   221.215         0         0   
    17.14     58.98   119.636         0     215.9     28.04   176.245   221.029         0         0   
    17.45     59.16   118.855         0     215.2     26.86   176.438    220.81         0         0   
    17.76     59.27   118.003         0     214.1     26.49   176.625   220.531         0         0   
    18.08     59.32   117.276         0     214.3     26.97   176.811   220.306         0         0   
    18.39     59.37   116.558         0     213.4     27.22   176.985   220.078         0         0   
     18.7     59.56   115.749         0       214     26.78   177.154   219.838         0         0   
    19.01     59.83   115.062         0     213.6     26.68   177.317   219.683         0         0   
    19.32     60.17   114.401         0     213.9     26.33   177.476   219.558         0         0   
    19.63     60.49   113.662         0     214.4     25.66   177.629   219.386         0         0   
    19.95     60.65   113.006         0     214.4     26.26   177.782   219.215         0         0   
    20.26     60.67   112.346         0     212.7     26.94   177.926   218.998         0         0   
    20.57     60.52   111.606         0     210.8     28.24   178.066   218.692         0         0   
    20.88     59.94   110.967         0     208.8     28.74   178.202   218.317         0         0   
    21.19     59.36   110.339         0     201.6     28.32   178.333   217.948         0         0   
     21.5     58.72   109.652         0     193.3     25.09   178.462   217.532         0         0   
    21.82     57.84   109.032         0     189.3     22.85    178.59   217.089         0         0   
