!# Results of ROTMAS saved at 12-Oct-2007 (15:33:44)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 844.286
!# Red. Chi-square (N=100,n=1) : 8.528142
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     0.100000   403.226990     1.000000     1.000000 
!# Parameter error :     0.000000   123.231918     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3117     -5.11   83.0528         0     19.38     3.557   10.3481   83.5388         0         0   
   0.6233    -4.322   133.281         0     34.68     5.396   14.6327   134.012         0         0   
    0.935    -6.483   155.959         0     87.05     18.59   17.9211   156.851         0         0   
    1.247    -8.805   174.985         0     142.3     19.34   20.6955   175.984         0         0   
    1.558    -10.91   189.749         0     172.9     11.21   23.1318   190.842         0         0   
     1.87    -12.36   201.254         0       185     15.62   25.3414   202.466         0         0   
    2.182     -13.1   209.061         0     199.4     11.86   27.3729   210.438         0         0   
    2.493    -13.38   215.684         0       209      11.2   29.2575   217.248         0         0   
    2.805    -13.45   221.751         0     217.5     8.091   31.0331   223.508         0         0   
    3.117    -13.38    227.36         0     223.5     6.489   32.7123   229.311         0         0   
    3.428    -13.78   231.525         0     224.6     9.461   34.3041   233.647         0         0   
     3.74    -14.98   234.171         0     222.2     10.02   35.8298   236.422         0         0   
    4.051    -16.18   236.567         0     220.9     6.432   37.2884   238.941         0         0   
    4.363    -15.65   238.323         0     222.2     5.241   38.6962   240.936         0         0   
    4.675    -12.35   239.994         0     224.8     4.904   40.0543       243         0         0   
    4.986      -4.3   241.441         0     228.2     4.521   41.3636   244.921         0         0   
    5.298     10.81   243.748         0     231.1     3.992   42.6365   247.685         0         0   
     5.61     14.85   243.143         0       232     4.031   43.8722   247.515         0         0   
    5.921      17.5   243.114         0     232.8     4.045   45.0702   247.875         0         0   
    6.233     20.51   242.977         0     233.4     3.923   46.2406   248.187         0         0   
    6.545     23.87   240.634         0     233.4     4.238    47.382   246.413         0         0   
    6.856     26.16   238.081         0     232.7     6.663   48.4927   244.374         0         0   
    7.168      26.8    235.38         0     231.1     9.984   49.5819   242.034         0         0   
     7.48     26.85   231.913         0     231.1     10.39   50.6476   238.893         0         0   
    7.791     27.06   229.462         0       231     8.394   51.6878   236.763         0         0   
    8.103     27.44   227.155         0     230.3      8.13   52.7105   234.799         0         0   
    8.415     27.85   224.012         0     230.1     7.019   53.7136   232.039         0         0   
    8.726     28.35    221.68         0     229.8     7.029   54.6951   230.081         0         0   
    9.038     29.36   219.579         0     230.2     6.995   55.6622   228.419         0         0   
     9.35     30.77   216.966         0     231.2     7.601   56.6126   226.332         0         0   
    9.661     32.77   215.125         0     231.4     8.102   57.5442   225.087         0         0   
    9.973     35.17    213.48         0     231.1     8.293   58.4637   224.117         0         0   
    10.28     37.29   210.972         0     230.1     8.933   59.3545   222.312         0         0   
     10.6      39.1   209.179         0     229.4     10.01   60.2689   221.172         0         0   
    10.91     40.43    207.37         0       228     12.56   61.1415   219.944         0         0   
