!# Results of ROTMAS saved at 12-Oct-2007 (15:33:57)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 531.732
!# Red. Chi-square (N=100,n=3) : 5.481768
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    13.966600   122.486000     0.595424     1.000000 
!# Parameter error :    12.583959    20.480743     0.216101     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.3117     -5.11   64.0866         0     19.38     3.557   39.0017   74.8473         0         0   
   0.6233    -4.322   102.845         0     34.68     5.396    54.215   116.179         0         0   
    0.935    -6.483   120.344         0     87.05     18.59   65.2983   136.764         0         0   
    1.247    -8.805   135.025         0     142.3     19.34    74.184    153.81         0         0   
    1.558    -10.91   146.417         0     172.9     11.21   81.6056   167.268         0         0   
     1.87    -12.36   155.295         0       185     15.62    88.012   178.073         0         0   
    2.182     -13.1   161.319         0     199.4     11.86   93.6215   186.057         0         0   
    2.493    -13.38    166.43         0       209      11.2   98.5811   192.972         0         0   
    2.805    -13.45   171.111         0     217.5     8.091   103.037   199.286         0         0   
    3.117    -13.38   175.439         0     223.5     6.489   107.057   205.088         0         0   
    3.428    -13.78   178.653         0     224.6     9.461   110.694   209.715         0         0   
     3.74    -14.98   180.695         0     222.2     10.02   114.023   213.138         0         0   
    4.051    -16.18   182.544         0     220.9     6.432   117.064   216.251         0         0   
    4.363    -15.65   183.899         0     222.2     5.241   119.869   218.958         0         0   
    4.675    -12.35   185.188         0     224.8     4.904   122.456    221.67         0         0   
    4.986      -4.3   186.305         0     228.2     4.521   124.841   224.224         0         0   
    5.298     10.81   188.085         0     231.1     3.992   127.059   227.238         0         0   
     5.61     14.85   187.618         0       232     4.031    129.12   228.239         0         0   
    5.921      17.5   187.596         0     232.8     4.045   131.032   229.495         0         0   
    6.233     20.51    187.49         0     233.4     3.923   132.821   230.683         0         0   
    6.545     23.87   185.682         0     233.4     4.238   134.491   230.511         0         0   
    6.856     26.16   183.712         0     232.7     6.663   136.048   230.095         0         0   
    7.168      26.8   181.628         0     231.1     9.984    137.51   229.382         0         0   
     7.48     26.85   178.953         0     231.1     10.39   138.881   228.107         0         0   
    7.791     27.06   177.061         0       231     8.394   140.163   227.439         0         0   
    8.103     27.44   175.281         0     230.3      8.13    141.37   226.852         0         0   
    8.415     27.85   172.856         0     230.1     7.019   142.505   225.749         0         0   
    8.726     28.35   171.057         0     229.8     7.029   143.569   225.114         0         0   
    9.038     29.36   169.435         0     230.2     6.995   144.574    224.66         0         0   
     9.35     30.77   167.419         0     231.2     7.601    145.52   223.947         0         0   
    9.661     32.77   165.998         0     231.4     8.102   146.409   223.752         0         0   
    9.973     35.17   164.729         0     231.1     8.293    147.25    223.73         0         0   
    10.28     37.29   162.794         0     230.1     8.933    148.03   223.171         0         0   
     10.6      39.1    161.41         0     229.4     10.01   148.797   222.986         0         0   
    10.91     40.43   160.014         0       228     12.56   149.498   222.686         0         0   
    11.22     41.46   158.161         0     227.8     12.06    150.16   221.995         0         0   
    11.53     42.47   156.872         0     227.8     10.66   150.785   221.695         0         0   
    11.84     43.49   155.516         0     227.6     9.462   151.376    221.34         0         0   
    12.15     44.75   153.806         0     226.8     9.481   151.934   220.777         0         0   
    12.47     46.02   152.552         0     224.9     11.83   152.477   220.543         0         0   
    12.78     47.19   151.226         0     224.8      11.8   152.974   220.221         0         0   
    13.09     48.33   149.707         0     222.5      13.7   153.444   219.757         0         0   
     13.4      49.4   148.532         0     218.6     16.71   153.887   219.508         0         0   
    13.71     50.56    147.31         0     212.3     22.69   154.306   219.242         0         0   
    14.02     52.13   145.934         0     209.3     26.13   154.702   218.968         0         0   
    14.34     53.89   144.878         0     209.2     28.52   155.087   218.965         0         0   
    14.65     55.18   143.765         0     206.6      31.8   155.439   218.802         0         0   
    14.96     55.86   142.447         0     210.7     30.27   155.771   218.348         0         0   
    15.27     56.13   141.416         0     213.4     30.67   156.083   217.971         0         0   
    15.58     56.62   140.345         0     214.9     30.14   156.378   217.616         0         0   
    15.89     57.27   139.156         0     217.5     28.74   156.656   217.221         0         0   
    16.21     57.92    138.29         0     218.8     28.01   156.925   217.036         0         0   
    16.52     58.32    137.34         0     216.5     28.56   157.171   216.717         0         0   
    16.83     58.68    136.26         0     215.2     28.97   157.401   216.299         0         0   
    17.14     58.98   135.371         0     215.9     28.04   157.618    215.98         0         0   
    17.45     59.16   134.488         0     215.2     26.86   157.821   215.625         0         0   
    17.76     59.27   133.523         0     214.1     26.49   158.011   215.195         0         0   
    18.08     59.32   132.701         0     214.3     26.97   158.194   214.834         0         0   
    18.39     59.37   131.888         0     213.4     27.22    158.36    214.47         0         0   
     18.7     59.56   130.973         0       214     26.78   158.515   214.076         0         0   
    19.01     59.83   130.196         0     213.6     26.68   158.659   213.783         0         0   
    19.32     60.17   129.448         0     213.9     26.33   158.793   213.523         0         0   
    19.63     60.49   128.611         0     214.4     25.66   158.917     213.2         0         0   
    19.95     60.65   127.869         0     214.4     26.26   159.035   212.887         0         0   
    20.26     60.67   127.123         0     212.7     26.94    159.14   212.524         0         0   
    20.57     60.52   126.285         0     210.8     28.24   159.237   212.054         0         0   
    20.88     59.94   125.562         0     208.8     28.74   159.326   211.526         0         0   
    21.19     59.36   124.852         0     201.6     28.32   159.407   211.002         0         0   
     21.5     58.72   124.075         0     193.3     25.09    159.48   210.419         0         0   
    21.82     57.84   123.372         0     189.3     22.85   159.548   209.813         0         0   
    22.13     57.18   122.654         0     188.1     22.22   159.607   209.255         0         0   
    22.44      56.6   121.845         0       188     21.99   159.659   208.664         0         0   
    22.75     56.08   121.054         0     188.5     22.63   159.705   208.097         0         0   
    23.06     55.75   120.412         0     183.1     20.92   159.744   207.667         0         0   
    23.37     55.55   119.611         0     186.5     21.43   159.778   207.175         0         0   
    23.69     55.25    118.85         0       186     19.78   159.807   206.679         0         0   
       24     54.97   118.281         0     184.2      19.3    159.83   206.295         0         0   
    24.31      54.7   117.619         0     184.4     19.58   159.847   205.858         0         0   
    24.62     54.35   116.991         0     187.2      18.8   159.859   205.416         0         0   
    24.93     54.03   116.488         0     184.5      19.8   159.867   205.051         0         0   
    25.24     53.79   115.863         0     182.5     19.49    159.87   204.636         0         0   
    25.56     53.47    115.31         0     185.2        18   159.868   204.238         0         0   
    25.87     53.08   114.823         0     188.6     17.45   159.862   203.857         0         0   
    26.18      52.7   114.312         0     189.8     17.52   159.852   203.463         0         0   
    26.49     52.29    113.77         0     191.1     17.11   159.838   203.042         0         0   
     26.8     51.93   113.279         0     193.4     16.77    159.82   202.661         0         0   
    27.11     51.53   112.805         0     190.2        18   159.799   202.277         0         0   
