!# Results of ROTMAS saved at 12-May-2008 (12:09:42)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 132.224
!# Red. Chi-square (N=123,n=2) : 1.092758
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.779160    48.925800     0.710000     1.000000 
!# Parameter error :     0.095786     2.825477     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2095   -0.9921   16.4877         0      17.2     5.698   6.22373   17.5953         0         0   
    0.419    -2.426   30.2484         0     37.45     6.548   12.3847   32.5955         0         0   
   0.6285    -3.697    41.415         0     57.01      5.03    18.424   45.1772         0         0   
   0.8381    -4.277    50.097         0     70.58     4.519   24.2927   55.5117         0         0   
    1.048    -5.684   56.6978         0     77.05     2.833   29.9535   63.8713         0         0   
    1.257    -7.711   62.8372         0     79.73     2.831   35.3431   71.6812         0         0   
    1.467    -8.554   68.4561         0     84.06     2.885   40.4892   79.0723         0         0   
    1.676    -7.516   73.6326         0     90.57     3.713   45.3309   86.1404         0         0   
    1.886      -6.2   78.7665         0     98.39     4.628   49.9112   93.0422         0         0   
    2.095    -4.597   83.7293         0     104.7      5.61   54.1895   99.6292         0         0   
    2.305    -1.374   87.3236         0     109.2     5.778   58.2148    104.94         0         0   
    2.514     5.588   90.2061         0       113     4.854     61.96   109.578         0         0   
    2.724     6.947   92.6699         0     115.6     4.194   65.4747   113.679         0         0   
    2.933     9.284   94.6408         0     118.8      3.58   68.7403   117.338         0         0   
    3.143     10.98   96.2848         0     122.4     3.084   71.8034   120.611         0         0   
    3.352      13.2   97.4703         0     125.1     3.405   74.6501    123.48         0         0   
    3.562     15.04     98.27         0     125.9       4.2   77.3226   125.944         0         0   
    3.771     15.66   98.5438         0     125.8     3.966   79.8096   127.772         0         0   
    3.981     16.17   98.5169         0     126.5     2.969   82.1484   129.288         0         0   
     4.19      16.9   98.0871         0     127.4     2.821    84.329   130.453         0         0   
      4.4     17.53   97.4375         0     129.2     2.837    86.384   131.391         0         0   
    4.609     18.49   96.4407         0     130.9     2.842   88.3045   132.062         0         0   
    4.819     19.86   95.3276         0     132.4     3.002   90.1186   132.677         0         0   
