!# Results of ROTMAS saved at 12-Oct-2007 (14:07:45)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 98.3026
!# Red. Chi-square (N=123,n=2) : 0.812418
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     3.722300   165.500000     1.000000     1.000000 
!# Parameter error :     0.201813     5.856816     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2095   -0.9921   19.5673         0      17.2     5.698   15.3191   24.8308         0         0   
    0.419    -2.426   35.8983         0     37.45     6.548   21.6138   41.8325         0         0   
   0.6285    -3.697   49.1506         0     57.01      5.03   26.4095   55.6739         0         0   
   0.8381    -4.277   59.4542         0     70.58     4.519   30.4259   66.6502         0         0   
    1.048    -5.684   67.2879         0     77.05     2.833   33.9443   75.1503         0         0   
    1.257    -7.711   74.5741         0     79.73     2.831   37.0895   82.9305         0         0   
    1.467    -8.554   81.2424         0     84.06     2.885   39.9755   90.1399         0         0   
    1.676    -7.516   87.3858         0     90.57     3.713   42.6303   96.9388         0         0   
    1.886      -6.2   93.4786         0     98.39     4.628   45.1185   103.612         0         0   
    2.095    -4.597   99.3684         0     104.7      5.61   47.4444   110.018         0         0   
    2.305    -1.374   103.634         0     109.2     5.778    49.652   114.906         0         0   
    2.514     5.588   107.055         0       113     4.854   51.7368   119.032         0         0   
    2.724     6.947   109.979         0     115.6     4.194   53.7323     122.6         0         0   
    2.933     9.284   112.318         0     118.8      3.58   55.6301   125.683         0         0   
    3.143     10.98   114.269         0     122.4     3.084   57.4574   128.372         0         0   
    3.352      13.2   115.676         0     125.1     3.405   59.2044   130.615         0         0   
    3.562     15.04   116.625         0     125.9       4.2   60.8941   132.422         0         0   
    3.771     15.66    116.95         0     125.8     3.966   62.5159   133.532         0         0   
    3.981     16.17   116.918         0     126.5     2.969     64.09   134.309         0         0   
     4.19      16.9   116.408         0     127.4     2.821   65.6056   134.687         0         0   
      4.4     17.53   115.637         0     129.2     2.837   67.0808    134.83         0         0   
    4.609     18.49   114.454         0     130.9     2.842   68.5048   134.664         0         0   
    4.819     19.86   113.133         0     132.4     3.002    69.894   134.457         0         0   
    5.028     21.56   111.883         0     133.7     3.244   71.2378   134.378         0         0   
    5.238     22.64   110.366         0     134.6     3.211   72.5513   134.003         0         0   
    5.447     23.37   109.117         0     135.5     2.677    73.824   133.801         0         0   
    5.657     24.15   107.655         0     136.6     2.759   75.0702   133.448         0         0   
    5.866     25.46   106.413         0     136.9     3.343   76.2795   133.381         0         0   
    6.076     26.93   105.467         0     136.8     3.336   77.4652   133.602         0         0   
    6.285     28.69   104.635         0     135.9     3.297   78.6173   133.986         0         0   
    6.495     29.61   103.925         0     135.1     3.707   79.7483   134.302         0         0   
    6.704     30.49   103.125         0     134.7     4.276   80.8485    134.54         0         0   
    6.914     31.44   102.539         0       135      5.43   81.9297   134.964         0         0   
    7.123     32.16   101.838         0     136.6     5.807   82.9826   135.246         0         0   
    7.333     32.74   101.051         0     138.5     5.631   84.0182   135.434         0         0   
    7.543     33.23   100.219         0     139.9     5.388   85.0324   135.568         0         0   
