!# Results of ROTMAS saved at 12-Oct-2007 (14:07:30)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 62.6154
!# Red. Chi-square (N=123,n=3) : 0.521795
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :     6.500910   128.016006     0.795965     1.000000 
!# Parameter error :     0.419201     3.317170     0.027034     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2095   -0.9921   17.4573         0      17.2     5.698   19.1371   25.8844         0         0   
    0.419    -2.426   32.0273         0     37.45     6.548   26.9219   41.7691         0         0   
   0.6285    -3.697   43.8506         0     57.01      5.03   32.8007    54.636         0         0   
   0.8381    -4.277   53.0432         0     70.58     4.519   37.6812   64.9243         0         0   
    1.048    -5.684   60.0322         0     77.05     2.833   41.9196   72.9986         0         0   
    1.257    -7.711   66.5327         0     79.73     2.831    45.676   80.3333         0         0   
    1.467    -8.554   72.4819         0     84.06     2.885   49.0936   87.1243         0         0   
    1.676    -7.516   77.9629         0     90.57     3.713   52.2109   93.5292         0         0   
    1.886      -6.2   83.3987         0     98.39     4.628    55.108   99.7687         0         0   
    2.095    -4.597   88.6534         0     104.7      5.61   57.7937   105.728         0         0   
    2.305    -1.374    92.459         0     109.2     5.778   60.3216   110.388         0         0   
    2.514     5.588   95.5111         0       113     4.854   62.6894   114.383         0         0   
    2.724     6.947   98.1198         0     115.6     4.194    64.937   117.867         0         0   
    2.933     9.284   100.207         0     118.8      3.58   67.0574   120.931         0         0   
    3.143     10.98   101.947         0     122.4     3.084   69.0825   123.637         0         0   
    3.352      13.2   103.203         0     125.1     3.405    71.003   125.962         0         0   
    3.562     15.04   104.049         0     125.9       4.2   72.8458   127.902         0         0   
    3.771     15.66   104.339         0     125.8     3.966   74.6004   129.217         0         0   
    3.981     16.17   104.311         0     126.5     2.969   76.2901    130.24         0         0   
