!# Results of ROTMAS saved at 12-May-2008 (13:55:28)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 137.213
!# Red. Chi-square (N=82,n=3) : 1.736871
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.022265 215772.000000     0.949500     0.710000     1.000000 
!# Parameter error :     0.650055 12595371.000000     0.242605     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4524    -6.105   48.0435   168.947     197.7     11.41   73.3009   190.229         0         0   
   0.5655     -7.41   58.1011   180.577     194.1     10.63   73.8766   203.437         0         0   
   0.6786    -8.997    66.588   177.774     194.1     6.568   74.2622   203.645         0         0   
   0.7917    -9.464   73.9986   170.723     191.3     5.302   74.5384   200.221         0         0   
   0.9049    -5.581    82.841   161.974     188.9      3.41   74.7462   196.607         0         0   
    1.018     8.815   90.2061   153.218       194      3.84   74.9079   193.137         0         0   
    1.131     13.27   95.7093   144.818     197.9     4.074   75.0374   189.576         0         0   
    1.244     15.61   100.088    137.16     198.3     4.775   75.1434   186.335         0         0   
    1.357     16.49   104.507   130.312     197.3     6.741   75.2318   183.942         0         0   
     1.47     16.33   108.475   124.235     194.2     8.003   75.3067   182.041         0         0   
    1.583     16.08   111.216   118.897     188.6     8.223    75.371   180.125         0         0   
    1.697     15.94   112.708   114.171     184.4     7.972   75.4271   177.993         0         0   
     1.81     15.85   113.013   109.984       180      8.34   75.4759   175.546         0         0   
    1.923     16.11    113.57   106.224     173.1     7.652   75.5189   173.621         0         0   
    2.036     16.49   114.122   102.862       167     4.669   75.5571   172.004         0         0   
    2.149     16.71   114.603   99.7926     162.4     3.725   75.5914   170.545         0         0   
    2.262     16.73    114.41    97.015     158.1     3.629   75.6222    168.82         0         0   
    2.375     16.55   114.443   94.4788     159.7     4.585   75.6501   167.393         0         0   
    2.488     16.29   115.101   92.1299     161.7     7.081   75.6755   166.518         0         0   
    2.601     16.36   115.783    89.969     164.4     9.339   75.6986   165.825         0         0   
    2.715     16.82    116.34   87.9497     166.1     9.435   75.7201   165.186         0         0   
    2.828     17.19   116.731    86.066     167.4     8.113   75.7396   164.516         0         0   
    2.941     17.09   117.129   84.3131     169.9     7.418   75.7576   163.887         0         0   
    3.054     17.09   117.762   82.6673     172.1     6.039   75.7743    163.51         0         0   
    3.167     17.67   118.106   81.1095     173.3     5.774   75.7898   163.046         0         0   
     3.28     18.43   118.515    79.638     172.9     6.543   75.8043   162.708         0         0   
    3.393     18.78   118.696   78.2527     171.1     5.324   75.8178   162.213         0         0   
    3.506     18.71   118.532   76.9353     169.6     4.904   75.8304    161.46         0         0   
    3.619     18.55    118.19   75.6891     168.1     4.831   75.8422   160.605         0         0   
    3.733     18.71   117.791    74.496     164.4     5.514   75.8534   159.775         0         0   
    3.846     19.08   117.102   73.3582     160.9     5.908   75.8639   158.788         0         0   
    3.959     19.18    116.25   72.2792     158.6     4.814   75.8738    157.68         0         0   
    4.072     19.06   115.463   71.2401     154.8     3.879   75.8831   156.615         0         0   
    4.185     18.75   114.532   70.2515     152.7     4.362   75.8919   155.448         0         0   
    4.298     18.23   113.585   69.3046       154     4.903   75.9002   154.266         0         0   
    4.411      17.6   112.439   68.3838     156.3     5.332   75.9082    152.94         0         0   
    4.524     17.14   111.341   67.5095       157     4.993   75.9157   151.695         0         0   
    4.637     16.92   110.089   66.6685       158     5.305   75.9229   150.383         0         0   
     4.75     16.54   108.804   65.8566     160.7     4.916   75.9297   149.045         0         0   
    4.864     15.92   107.617   65.0744     157.6     5.619   75.9362    147.77         0         0   
    4.977     15.38   106.387   64.3154     153.2     6.463   75.9424   146.487         0         0   
     5.09     15.05   105.078   63.5867     150.3     5.806   75.9484   145.187         0         0   
    5.203     14.73   103.701   62.8825     153.1      7.02    75.954   143.855         0         0   
    5.316     14.28   102.418   62.2015     156.1     7.733   75.9595   142.591         0         0   
    5.429      13.8   101.064   61.5419     156.6     8.582   75.9647   141.288         0         0   
    5.542     13.44   99.8912   60.8995     155.6     8.493   75.9697   140.139         0         0   
    5.655     13.14   98.7991   60.2809     150.5     8.629   75.9745   139.068         0         0   
    5.768     13.01   97.8352   59.6808     147.4     7.768   75.9791   138.114         0         0   
    5.882     12.81    97.044   59.0984     148.1     8.046   75.9836   137.287         0         0   
    5.995     12.81   96.1272   58.5329     146.6     10.23   75.9878   136.399         0         0   
    6.108     12.96   95.1835   57.9833     143.8     7.362   75.9919   135.516         0         0   
    6.221     13.11   94.3097   57.4458     141.1     7.984   75.9959   134.691         0         0   
    6.334     13.48   93.5631   56.9263     138.6     7.947   75.9997   133.986         0         0   
    6.447      13.8    92.793   56.4206     137.7     6.751   76.0034    133.27         0         0   
     6.56     14.08   91.9925   55.9283     137.6     6.522   76.0069   132.536         0         0   
    6.673     14.83   91.3521   55.4488     137.3     5.581   76.0104   131.975         0         0   
    6.786     16.04    90.769   54.9786     135.3     4.831   76.0137   131.518         0         0   
      6.9     17.31    90.282   54.5231     133.1     4.002   76.0169   131.156         0         0   
    7.013     18.02   89.8152   54.0786     133.6     5.122     76.02   130.748         0         0   
    7.126     18.03   89.4225   53.6503     133.8     5.614    76.023   130.305         0         0   
    7.239     17.87   89.0349   53.2269     132.4     4.999    76.026   129.845         0         0   
    7.352     17.79   88.5942   52.8133     131.2     4.757   76.0288   129.364         0         0   
    7.465     17.68   88.3339   52.4093       130     5.167   76.0315   129.008         0         0   
    7.578     17.55   88.0457   52.0145     129.2     4.925   76.0342   128.634         0         0   
    7.691     17.37   87.7626   51.6284     128.3     4.641   76.0368   128.262         0         0   
    7.804     17.18   87.5123    51.251       126     4.152   76.0393   127.915         0         0   
    7.917     16.99   87.3943   50.8817       125     4.841   76.0417   127.663         0         0   
    8.031     16.78   87.2435   50.5203     123.5     4.841   76.0441   127.389         0         0   
    8.144     16.83   87.0505   50.1665     122.8     4.909   76.0464   127.125         0         0   
    8.257     17.04   87.0329   49.8202       122     4.891   76.0486   127.006         0         0   
     8.37      17.2   86.8424   49.4808     121.1     4.291   76.0508   126.766         0         0   
    8.483     17.32     86.62   49.1483     120.9     4.383   76.0529   126.501         0         0   
    8.596      17.3   86.8129   48.8226     120.4     4.552    76.055   126.506         0         0   
    8.709     17.07   86.5509   48.5032     121.6     4.746    76.057   126.173         0         0   
    8.822     16.87   86.6191   48.1706     119.5      4.62   76.0589   126.067         0         0   
    8.935     16.73   86.7405   47.8638     119.4     5.353   76.0609   126.016         0         0   
    9.049     16.64   86.9258   47.5628     118.4     5.598   76.0627   126.019         0         0   
    9.162     16.55   87.0303   47.2674     117.9     5.942   76.0645   125.969         0         0   
    9.275     16.61   87.4921   46.9775     116.8     8.011   76.0663   126.189         0         0   
    9.388     16.73    88.146   46.6928     117.1     4.291    76.068   126.555         0         0   
    9.501     16.92   89.1453   46.4133     116.5     5.185   76.0697   127.177         0         0   
    9.614      17.1   90.2163   46.1387     115.4     4.693   76.0714   127.855         0         0   
