!# Results of ROTMAS saved at 13-Oct-2007 (14:53:11)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 120.253
!# Red. Chi-square (N=82,n=3) : 1.522186
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     1.441050    22.421900     0.372600     1.000000     1.000000 
!# Parameter error :     1.571177    41.499519     0.014708     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4524    -6.105   57.0172   173.382     197.7     11.41   8.85829   182.629         0         0   
   0.5655     -7.41   68.9533   185.317     194.1     10.63   10.9072   197.892         0         0   
   0.6786    -8.997   79.0254    182.44     194.1     6.568   12.8601   199.033         0         0   
   0.7917    -9.464   87.8202   175.204     191.3     5.302   14.7093   196.305         0         0   
   0.9049    -5.581   98.3142   166.226     188.9      3.41   16.4526   193.743         0         0   
    1.018     8.815   107.055    157.24       194      3.84   18.0865   191.285         0         0   
    1.131     13.27   113.586   148.619     197.9     4.074   19.6131   188.547         0         0   
    1.244     15.61   118.783    140.76     198.3     4.775   21.0378   186.035         0         0   
    1.357     16.49   124.027   133.732     197.3     6.741   22.3653   184.497         0         0   
     1.47     16.33   128.736   127.496     194.2     8.003   23.6015   183.444         0         0   
    1.583     16.08   131.989   122.018     188.6     8.223   24.7523   182.156         0         0   
    1.697     15.94    133.76   117.168     184.4     7.972   25.8329   180.392         0         0   
     1.81     15.85   134.122   112.871       180      8.34   26.8305   178.044         0         0   
    1.923     16.11   134.783   109.012     173.1     7.652   27.7604   176.296         0         0   
    2.036     16.49   135.438   105.562       167     4.669   28.6281   174.866         0         0   
