!# Results of ROTMAS saved at 13-Oct-2007 (14:53:23)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 119.178
!# Red. Chi-square (N=82,n=4) : 1.527928
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     0.039072 36595.898438     0.349741     0.920104     1.000000 
!# Parameter error :     1.237236 2317390.500000     0.087237     0.061518     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4524    -6.105   54.6921   167.979     197.7     11.41   51.4253    183.89         0         0   
   0.5655     -7.41   66.1414   179.543     194.1     10.63   52.1416   198.177         0         0   
   0.6786    -8.997   75.8028   176.756     194.1     6.568   52.6233    199.19         0         0   
   0.7917    -9.464   84.2389   169.745     191.3     5.302   52.9692   196.534         0         0   
   0.9049    -5.581    94.305   161.046     188.9      3.41   53.2299   193.989         0         0   
    1.018     8.815   102.689   152.341       194      3.84   53.4331   191.535         0         0   
    1.131     13.27   108.954   143.988     197.9     4.074   53.5959   188.818         0         0   
    1.244     15.61   113.939   136.374     198.3     4.775   53.7294   186.307         0         0   
    1.357     16.49   118.969   129.565     197.3     6.741   53.8408   184.693         0         0   
     1.47     16.33   123.486   123.523     194.2     8.003   53.9352   183.528         0         0   
    1.583     16.08   126.607   118.216     188.6     8.223   54.0163   182.155         0         0   
    1.697     15.94   128.305   113.517     184.4     7.972   54.0871   180.355         0         0   
     1.81     15.85   128.653   109.354       180      8.34   54.1486   178.026         0         0   
    1.923     16.11   129.287   105.615     173.1     7.652   54.2029   176.258         0         0   
    2.036     16.49   129.915   102.272       167     4.669   54.2512   174.793         0         0   
    2.149     16.71   130.463   99.2209     162.4     3.725   54.2944   173.472         0         0   
    2.262     16.73   130.243   96.4591     158.1     3.629   54.3334   171.754         0         0   
    2.375     16.55    130.28   93.9374     159.7     4.585   54.3686   170.373         0         0   
    2.488     16.29    131.03    91.602     161.7     7.081   54.4007    169.66         0         0   
    2.601     16.36   131.806   89.4535     164.4     9.339     54.43    169.13         0         0   
    2.715     16.82    132.44   87.4457     166.1     9.435   54.4571   168.628         0         0   
    2.828     17.19   132.885   85.5728     167.4     8.113   54.4818   168.062         0         0   
    2.941     17.09   133.337     83.83     169.9     7.418   54.5046   167.538         0         0   
    3.054     17.09   134.059   82.1936     172.1     6.039   54.5257    167.31         0         0   
    3.167     17.67    134.45   80.6448     173.3     5.774   54.5453   166.937         0         0   
     3.28     18.43   134.915   79.1817     172.9     6.543   54.5636     166.7         0         0   
    3.393     18.78   135.122   77.8043     171.1     5.324   54.5807   166.262         0         0   
    3.506     18.71   134.935   76.4944     169.6     4.904   54.5966   165.499         0         0   
    3.619     18.55   134.546   75.2554     168.1     4.831   54.6116   164.598         0         0   
    3.733     18.71   134.091   74.0691     164.4     5.514   54.6258   163.709         0         0   
    3.846     19.08   133.307   72.9378     160.9     5.908    54.639   162.604         0         0   
    3.959     19.18   132.337    71.865     158.6     4.814   54.6515   161.345         0         0   
    4.072     19.06   131.441   70.8319     154.8     3.879   54.6633   160.141         0         0   
    4.185     18.75   130.382    69.849     152.7     4.362   54.6745   158.806         0         0   
    4.298     18.23   129.304   68.9075       154     4.903    54.685    157.45         0         0   
    4.411      17.6   127.999    67.992     156.3     5.332   54.6951    155.91         0         0   
    4.524     17.14   126.749   67.1227       157     4.993   54.7046   154.458         0         0   
    4.637     16.92   125.324   66.2864       158     5.305   54.7137   152.905         0         0   
     4.75     16.54   123.861   65.4792     160.7     4.916   54.7223   151.318         0         0   
    4.864     15.92    122.51   64.7015     157.6     5.619   54.7306   149.813         0         0   
    4.977     15.38   121.109   63.9469     153.2     6.463   54.7385   148.289         0         0   
     5.09     15.05    119.62   63.2224     150.3     5.806    54.746    146.73         0         0   
    5.203     14.73   118.052   62.5222     153.1      7.02   54.7532   145.121         0         0   
    5.316     14.28   116.591   61.8451     156.1     7.733     54.76     143.6         0         0   
