!# Results of ROTMAS saved at 13-Oct-2007 (14:53:58)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 119.419
!# Red. Chi-square (N=82,n=3) : 1.511633
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    11.427700    35.201401     0.363630     1.000000     1.000000 
!# Parameter error :     9.812411     8.460976     0.016320     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4524    -6.105   57.0172   171.282     197.7     11.41   20.5833    181.59         0         0   
   0.5655     -7.41   68.9533   183.073     194.1     10.63   22.6364   196.794         0         0   
   0.6786    -8.997   79.0254   180.231     194.1     6.568   24.4001   198.098         0         0   
   0.7917    -9.464   87.8202   173.082     191.3     5.302   25.9424   195.585         0         0   
   0.9049    -5.581   98.3142   164.213     188.9      3.41   27.3093   193.252         0         0   
    1.018     8.815   107.055   155.336       194      3.84   28.5305   191.002         0         0   
    1.131     13.27   113.586   146.819     197.9     4.074   29.6299   188.445         0         0   
    1.244     15.61   118.783   139.055     198.3     4.775   30.6265   186.084         0         0   
    1.357     16.49   124.027   132.113     197.3     6.741   31.5346   184.669         0         0   
     1.47     16.33   128.736   125.952     194.2     8.003   32.3655   183.714         0         0   
    1.583     16.08   131.989    120.54     188.6     8.223   33.1286   182.502         0         0   
    1.697     15.94    133.76   115.749     184.4     7.972   33.8375     180.8         0         0   
     1.81     15.85   134.122   111.505       180      8.34   34.4863   178.501         0         0   
    1.923     16.11   134.783   107.692     173.1     7.652   35.0871    176.79         0         0   
    2.036     16.49   135.438   104.283       167     4.669   35.6446   175.388         0         0   
    2.149     16.71   136.009   101.172     162.4     3.725   36.1628    174.13         0         0   
    2.262     16.73    135.78   98.3558     158.1     3.629   36.6455   172.432         0         0   
    2.375     16.55   135.819   95.7845     159.7     4.585   37.0956   171.089         0         0   
    2.488     16.29     136.6   93.4032     161.7     7.081   37.5159    170.46         0         0   
    2.601     16.36   137.409   91.2124     164.4     9.339    37.909   170.017         0         0   
    2.715     16.82    138.07   89.1652     166.1     9.435   38.2801   169.594         0         0   
    2.828     17.19   138.534   87.2554     167.4     8.113   38.6246   169.093         0         0   
    2.941     17.09   139.006   85.4783     169.9     7.418   38.9478   168.636         0         0   
    3.054     17.09   139.758   83.8098     172.1     6.039   39.2511   168.491         0         0   
    3.167     17.67   140.166   82.2305     173.3     5.774    39.536   168.178         0         0   
     3.28     18.43   140.651   80.7386     172.9     6.543   39.8038   168.004         0         0   
    3.393     18.78   140.866   79.3342     171.1     5.324   40.0557   167.614         0         0   
    3.506     18.71   140.672   77.9985     169.6     4.904   40.2927   166.871         0         0   
    3.619     18.55   140.266   76.7352     168.1     4.831   40.5158   165.977         0         0   
    3.733     18.71   139.792   75.5255     164.4     5.514   40.7276    165.09         0         0   
    3.846     19.08   138.974   74.3719     160.9     5.908   40.9254   163.963         0         0   
    3.959     19.18   137.963   73.2781     158.6     4.814   41.1118    162.67         0         0   
    4.072     19.06   137.029   72.2246     154.8     3.879   41.2874   161.435         0         0   
    4.185     18.75   135.925   71.2224     152.7     4.362    41.453   160.057         0         0   
    4.298     18.23   134.801   70.2624       154     4.903   41.6091   158.656         0         0   
    4.411      17.6   133.441   69.3289     156.3     5.332   41.7562   157.055         0         0   
    4.524     17.14   132.138   68.4425       157     4.993   41.8949   155.544         0         0   
    4.637     16.92   130.652   67.5898       158     5.305   42.0257   153.918         0         0   
     4.75     16.54   129.127   66.7667     160.7     4.916   42.1489   152.255         0         0   
    4.864     15.92   127.718   65.9737     157.6     5.619    42.266   150.679         0         0   
    4.977     15.38   126.258   65.2043     153.2     6.463   42.3754    149.08         0         0   
     5.09     15.05   124.705   64.4656     150.3     5.806   42.4783   147.438         0         0   
    5.203     14.73   123.071   63.7516     153.1      7.02   42.5753   145.741         0         0   
    5.316     14.28   121.548   63.0611     156.1     7.733   42.6665   144.135         0         0   
    5.429      13.8   119.941   62.3924     156.6     8.582   42.7524   142.467         0         0   
    5.542     13.44   118.549   61.7411     155.6     8.493    42.833       141         0         0   
    5.655     13.14   117.253    61.114     150.5     8.629   42.9088   139.632         0         0   
    5.768     13.01   116.109   60.5056     147.4     7.768   42.9799   138.415         0         0   
    5.882     12.81    115.17   59.9151     148.1     8.046   43.0472   137.372         0         0   
    5.995     12.81   114.082   59.3418     146.6     10.23   43.1096    136.23         0         0   
    6.108     12.96   112.962   58.7847     143.8     7.362   43.1681   135.083         0         0   
    6.221     13.11   111.925   58.2397     141.1     7.984   43.2227   134.012         0         0   
    6.334     13.48   111.039    57.713     138.6     7.947   43.2737   133.097         0         0   
    6.447      13.8   110.125   57.2004     137.7     6.751   43.3212   132.161         0         0   
