!# Results of ROTMAS saved at 13-Oct-2007 (14:53:37)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 111.952
!# Red. Chi-square (N=82,n=4) : 1.435284
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    72.308296    43.362400     0.309239     0.673186     1.000000 
!# Parameter error :    54.876869     4.642075     0.077213     0.183118     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4524    -6.105   46.7814   157.954     197.7     11.41   79.5153    182.82         0         0   
   0.5655     -7.41   56.5747   168.827     194.1     10.63   83.7198   196.615         0         0   
   0.6786    -8.997   64.8387   166.206     194.1     6.568   86.7474   198.173         0         0   
   0.7917    -9.464   72.0546   159.614     191.3     5.302   88.9633   196.197         0         0   
   0.9049    -5.581   80.6647   151.435     188.9      3.41   90.5985   193.949         0         0   
    1.018     8.815   87.8364   143.248       194      3.84   91.8027   191.679         0         0   
    1.131     13.27   93.1949   135.394     197.9     4.074   92.6821   189.164         0         0   
    1.244     15.61    97.459   128.234     198.3     4.775    93.313   186.797         0         0   
    1.357     16.49   101.762   121.832     197.3     6.741     93.75   185.093         0         0   
     1.47     16.33   105.625   116.151     194.2     8.003   94.0342    183.73         0         0   
    1.583     16.08   108.294    111.16     188.6     8.223   94.1967   182.252         0         0   
    1.697     15.94   109.747   106.741     184.4     7.972   94.2615   180.492         0         0   
     1.81     15.85   110.044   102.828       180      8.34   94.2465   178.373         0         0   
    1.923     16.11   110.587   99.3115     173.1     7.652   94.1675    176.69         0         0   
    2.036     16.49   111.124   96.1684       167     4.669   94.0362   175.247         0         0   
    2.149     16.71   111.593    93.299     162.4     3.725   93.8623   173.916         0         0   
    2.262     16.73   111.405    90.702     158.1     3.629   93.6533   172.304         0         0   
    2.375     16.55   111.437   88.3309     159.7     4.585   93.4156   170.941         0         0   
    2.488     16.29   112.077   86.1349     161.7     7.081   93.1544    170.07         0         0   
    2.601     16.36   112.741   84.1146     164.4     9.339    92.874   169.349         0         0   
    2.715     16.82   113.284   82.2266     166.1     9.435   92.5753   168.664         0         0   
    2.828     17.19   113.664   80.4655     167.4     8.113   92.2665   167.937         0         0   
    2.941     17.09   114.052   78.8267     169.9     7.418   91.9476   167.236         0         0   
    3.054     17.09   114.669    77.288     172.1     6.039   91.6205   166.759         0         0   
    3.167     17.67   115.003   75.8316     173.3     5.774   91.2872   166.198         0         0   
     3.28     18.43   115.401   74.4558     172.9     6.543   90.9491   165.748         0         0   
    3.393     18.78   115.578   73.1607     171.1     5.324   90.6074   165.146         0         0   
    3.506     18.71   115.418   71.9289     169.6     4.904   90.2633   164.295         0         0   
    3.619     18.55   115.085   70.7639     168.1     4.831   89.9176   163.345         0         0   
    3.733     18.71   114.696   69.6484     164.4     5.514    89.568   162.415         0         0   
    3.846     19.08   114.025   68.5846     160.9     5.908   89.2214   161.338         0         0   
    3.959     19.18   113.196   67.5758     158.6     4.814   88.8752   160.145         0         0   
    4.072     19.06   112.429   66.6043     154.8     3.879   88.5299   158.988         0         0   
    4.185     18.75   111.524   65.6801     152.7     4.362   88.1859   157.733         0         0   
    4.298     18.23   110.601   64.7948       154     4.903   87.8436    156.46         0         0   
    4.411      17.6   109.486    63.934     156.3     5.332   87.5032   155.052         0         0   
    4.524     17.14   108.416   63.1165       157     4.993    87.165   153.718         0         0   
    4.637     16.92   107.197   62.3302       158     5.305   86.8292   152.322         0         0   
