!# Results of ROTMAS saved at 12-May-2008 (13:27:09)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 202.452
!# Red. Chi-square (N=199,n=3) : 1.032918
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :    11.733000     4.787020     3.132860     0.710000     1.000000 
!# Parameter error :     0.710165     0.405648     0.092992     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2451    -1.062   22.6085   76.1047     60.64     62.78   2.28116   79.4176         0         0   
   0.4903    -2.029   42.2319   120.459     124.6     12.33   4.56146   127.713         0         0   
   0.7354    -2.566   60.6223   138.542       149     7.544   6.83725   151.357         0         0   
   0.9806     1.311   76.5575   145.621     161.1     6.672   9.10864   164.777         0         0   
    1.226     2.804   92.0195   145.976     166.2     6.364   11.3748   172.956         0         0   
    1.471    0.2885   105.889   142.492     174.5     5.248   13.6285   178.051         0         0   
    1.716    -3.894   117.744   137.135       180     3.958   15.8717   181.401         0         0   
    1.961    -5.307   127.146   130.877     183.8     4.367   18.1029   183.288         0         0   
    2.206    -6.157   134.245   124.384     190.1     4.518   20.3205   184.033         0         0   
    2.451    -6.426   140.373   118.086     195.5      4.22    22.523   184.702         0         0   
    2.697    -5.395   146.926   112.243     199.9     4.152   24.7179   186.461         0         0   
    2.942    -3.136   154.463    106.86     204.1     3.807    26.886   189.713         0         0   
    3.187     -2.72   161.645   101.998     206.5     3.867   29.0349   193.309         0         0   
    3.432    -3.748   167.745   97.6066     206.7     4.343   31.1634   196.526         0         0   
    3.677    -5.047   172.608   93.7057     203.3      4.51   33.2705   199.137         0         0   
    3.922    -6.278   176.042   90.1937       199     4.312    35.355   200.839         0         0   
    4.167    -7.319   178.564   87.0443     196.2     4.013   37.4161    202.01         0         0   
    4.413    -8.597   180.678   84.2065     194.7     3.757   39.4611   203.023         0         0   
    4.658    -8.589   183.013   81.6324     194.6      3.65   41.4726   204.459         0         0   
    4.903    -5.776   185.071   79.2928     196.3     3.492   43.4583   205.898         0         0   
    5.148      3.49    186.78   77.1582       199     3.301   45.4175    207.16         0         0   
    5.393     7.105   188.332   75.1976       202     2.741   47.3497   208.365         0         0   
    5.638     9.695   189.723   73.3995     204.3     2.698   49.2545   209.529         0         0   
    5.883     11.33   190.544   71.7068     205.5      2.79   51.1314   210.218         0         0   
    6.129     12.04   190.931   70.1475     206.8     3.195   52.9876   210.542         0         0   
    6.374     12.95   191.032   68.6924     207.8     3.235   54.8078   210.674         0         0   
    6.619     14.56   191.319    67.336     207.6     3.703   56.5994   211.075         0         0   
    6.864     17.15   191.313   66.0544     207.2      4.21   58.3623   211.339         0         0   
