!# Results of ROTMAS saved at 14-Oct-2007 (18:51:01)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 1595.26
!# Red. Chi-square (N=199,n=3) : 8.139094
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :    45.636299     0.898751     0.084696     1.000000     1.000000 
!# Parameter error :    22.726807     0.238940     0.018603     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2451    -1.062   26.8314   42.9973     60.64     62.78   0.988543   50.6808         0         0   
   0.4903    -2.029   50.1201   68.0564     124.6     12.33   1.97744   84.5192         0         0   
   0.7354    -2.566   71.9454   78.2726       149     7.544   2.96583   106.325         0         0   
   0.9806     1.311   90.8571   82.2725     161.1     6.672   3.95447   122.642         0         0   
    1.226     2.804   109.207    82.473     166.2     6.364   4.94371   136.968         0         0   
    1.471    0.2885   125.667   80.5042     174.5     5.248   5.93108    149.36         0         0   
    1.716    -3.894   139.737   77.4778       180     3.958   6.91814   159.881         0         0   
    1.961    -5.307   150.895   73.9424     183.8     4.367   7.90484    168.14         0         0   
    2.206    -6.157   159.319    70.274     190.1     4.518   8.89114   174.247         0         0   
    2.451    -6.426   166.592   66.7157     195.5      4.22   9.87698   179.611         0         0   
    2.697    -5.395   174.369   63.4146     199.9     4.152   10.8663   185.782         0         0   
    2.942    -3.136   183.314    60.373     204.1     3.807   11.8511   193.338         0         0   
    3.187     -2.72   191.837   57.6266     206.5     3.867   12.8352   200.698         0         0   
    3.432    -3.748   199.077   55.1453     206.7     4.343   13.8187   207.001         0         0   
    3.677    -5.047   204.848   52.9414     203.3      4.51   14.8015   212.036         0         0   
    3.922    -6.278   208.923   50.9572       199     4.312   15.7835   215.535         0         0   
    4.167    -7.319   211.916   49.1779     196.2     4.013   16.7648    218.07         0         0   
    4.413    -8.597   214.425   47.5746     194.7     3.757   17.7491   220.188         0         0   
    4.658    -8.589   217.196   46.1203     194.6      3.65   18.7285   222.662         0         0   
    4.903    -5.776   219.639   44.7985     196.3     3.492    19.707   224.952         0         0   
    5.148      3.49   221.667   43.5925       199     3.301   20.6845   226.885         0         0   
    5.393     7.105   223.509   42.4848       202     2.741    21.661    228.65         0         0   
    5.638     9.695    225.16   41.4689     204.3     2.698   22.6363   230.267         0         0   
    5.883     11.33   226.134   40.5126     205.5      2.79   23.6105   231.222         0         0   
    6.129     12.04   226.593   39.6316     206.8     3.195   24.5874   231.656         0         0   
    6.374     12.95   226.713   38.8095     207.8     3.235   25.5592   231.789         0         0   
    6.619     14.56   227.054   38.0432     207.6     3.703   26.5296     232.2         0         0   
    6.864     17.15   227.047   37.3191     207.2      4.21   27.4988   232.365         0         0   
    7.109     18.92   226.877   36.6294     207.6     4.311   28.4665   232.343         0         0   
    7.354     19.23   226.622   35.9848     207.4     4.247   29.4329   232.139         0         0   
      7.6     19.82   226.336   35.3777     207.7     4.002   30.4017   231.941         0         0   
    7.845     20.85    225.99    34.798     208.3     3.953    31.365   231.734         0         0   
     8.09     22.14   225.739   34.2471     208.6     4.116   32.3268    231.66         0         0   
    8.335     23.58   225.646   33.7223     209.1     3.998    33.287    231.77         0         0   
     8.58     24.57   225.234   33.2162     209.4     4.064   34.2456   231.539         0         0   
    8.825     25.46   224.878   32.7401       209     4.121   35.2024   231.364         0         0   
     9.07      26.4   224.217   32.2821       209     3.714   36.1576   230.911         0         0   
    9.316     26.78   223.583   31.8435     208.6      3.69   37.1149    230.43         0         0   
    9.561      26.5   222.448   31.4224     208.2      3.61   38.0664   229.394         0         0   
    9.806     27.11   221.638   31.0158     208.2      3.45   39.0162   228.785         0         0   
    10.05     28.17   221.001   30.6267     208.3     3.333   39.9601   228.407         0         0   
     10.3     28.04    219.61   30.2521     208.7       3.9   40.9254   227.167         0         0   
    10.54     27.34   217.478   29.8916       209     4.891     41.85   225.142         0         0   
    10.79     26.82   215.282   29.5455     209.4     6.195   42.8112   223.095         0         0   
    11.03     26.35   213.164   29.2056     210.2     6.576   43.7319    221.13         0         0   
    11.28     26.12   211.635   28.8814     210.1     7.379   44.6889   219.779         0         0   
    11.52     26.74    210.04   28.5668     210.1      8.25   45.6055   218.467         0         0   
    11.77     27.88   208.993   28.2641     210.5     8.628   46.5582   217.766         0         0   
    12.01     28.54   207.246   27.9693     211.3     9.362   47.4706   216.336         0         0   
    12.26     29.21   206.021   27.6836     211.6     10.05   48.4187   215.427         0         0   
