!# Results of ROTMAS saved at 14-Oct-2007 (18:53:19)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 2029.54
!# Red. Chi-square (N=199,n=2) : 10.302247
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     0.100000   450.136993     0.065913     1.000000     1.000000 
!# Parameter error :     0.000000    32.474777     0.020621     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.2451    -1.062   26.8314   37.9312     60.64     62.78   9.69545   47.4508         0         0   
   0.4903    -2.029   50.1201   60.0378     124.6     12.33   13.7125   79.3755         0         0   
   0.7354    -2.566   71.9454   69.0502       149     7.544   16.7932   101.092         0         0   
   0.9806     1.311   90.8571   72.5788     161.1     6.672   19.3913     117.9         0         0   
    1.226     2.804   109.207   72.7557     166.2     6.364   21.6817   133.032         0         0   
    1.471    0.2885   125.667   71.0189     174.5     5.248   23.7489   146.287         0         0   
    1.716    -3.894   139.737   68.3491       180     3.958   25.6498    157.61         0         0   
    1.961    -5.307   150.895   65.2303     183.8     4.367    27.419   166.577         0         0   
    2.206    -6.157   159.319   61.9941     190.1     4.518   29.0807   173.302         0         0   
    2.451    -6.426   166.592    58.855     195.5      4.22   30.6522   179.207         0         0   
    2.697    -5.395   174.369   55.9428     199.9     4.152   32.1528   185.846         0         0   
    2.942    -3.136   183.314   53.2597     204.1     3.807   33.5805     193.8         0         0   
    3.187     -2.72   191.837   50.8369     206.5     3.867   34.9498   201.494         0         0   
    3.432    -3.748   199.077   48.6479     206.7     4.343   36.2674   208.085         0         0   
    3.677    -5.047   204.848   46.7037     203.3      4.51   37.5385   213.372         0         0   
    3.922    -6.278   208.923   44.9532       199     4.312   38.7679   217.102         0         0   
    4.167    -7.319   211.916   43.3835     196.2     4.013   39.9594   219.849         0         0   
    4.413    -8.597   214.425   41.9692     194.7     3.757   41.1208   222.163         0         0   
    4.658    -8.589   217.196   40.6863     194.6      3.65   42.2458   224.812         0         0   
    4.903    -5.776   219.639   39.5202     196.3     3.492   43.3414   227.263         0         0   
    5.148      3.49   221.667   38.4563       199     3.301   44.4098   229.346         0         0   
    5.393     7.105   223.509   37.4791       202     2.741   45.4531   231.252         0         0   
    5.638     9.695    225.16   36.5829     204.3     2.698   46.4728       233         0         0   
    5.883     11.33   226.134   35.7392     205.5      2.79   47.4705   234.085         0         0   
    6.129     12.04   226.593   34.9621     206.8     3.195   48.4515   234.647         0         0   
    6.374     12.95   226.713   34.2368     207.8     3.235   49.4091   234.904         0         0   
    6.619     14.56   227.054   33.5608     207.6     3.703   50.3483   235.429         0         0   
    6.864     17.15   227.047   32.9221     207.2      4.21   51.2703   235.705         0         0   
    7.109     18.92   226.877   32.3136     207.6     4.311   52.1758   235.791         0         0   
    7.354     19.23   226.622   31.7449     207.4     4.247   53.0659   235.693         0         0   
      7.6     19.82   226.336   31.2094     207.7     4.002   53.9446   235.595         0         0   
    7.845     20.85    225.99    30.698     208.3     3.953   54.8058   235.483         0         0   
     8.09     22.14   225.739    30.212     208.6     4.116   55.6535   235.496         0         0   
    8.335     23.58   225.646   29.7491     209.1     3.998   56.4883   235.686         0         0   
     8.58     24.57   225.234   29.3026     209.4     4.064    57.311   235.536         0         0   
    8.825     25.46   224.878   28.8826       209     4.121   58.1219   235.437         0         0   
     9.07      26.4   224.217   28.4785       209     3.714   58.9216    235.06         0         0   
    9.316     26.78   223.583   28.0916     208.6      3.69   59.7136   234.652         0         0   
    9.561      26.5   222.448   27.7201     208.2      3.61   60.4921   233.694         0         0   
    9.806     27.11   221.638   27.3614     208.2      3.45   61.2606   233.152         0         0   
    10.05     28.17   221.001   27.0182     208.3     3.333   62.0164   232.833         0         0   
     10.3     28.04    219.61   26.6877     208.7       3.9   62.7813   231.665         0         0   
    10.54     27.34   217.478   26.3696       209     4.891   63.5068   229.723         0         0   
    10.79     26.82   215.282   26.0644     209.4     6.195   64.2538   227.758         0         0   
    11.03     26.35   213.164   25.7645     210.2     6.576   64.9627    225.87         0         0   
    11.28     26.12   211.635   25.4785     210.1     7.379    65.693    224.58         0         0   
    11.52     26.74    210.04   25.2009     210.1      8.25   66.3864   223.325         0         0   
    11.77     27.88   208.993   24.9339     210.5     8.628    67.101   222.665         0         0   
    12.01     28.54   207.246   24.6738     211.3     9.362   67.7798   221.288         0         0   
    12.26     29.21   206.021   24.4219     211.6     10.05   68.4798   220.417         0         0   
     12.5     30.51   204.936   24.1775     211.5      10.3    69.145   219.762         0         0   
    12.75     32.22   203.879   23.9417     211.5     10.21    69.831   219.213         0         0   
    12.99     33.85   202.538   23.7115     210.8     9.522   70.4833   218.398         0         0   
    13.24     35.39   201.176   23.4877     210.2     9.327   71.1564   217.576         0         0   
    13.48     36.51   200.012   23.2704     209.4     9.498   71.7965   216.873         0         0   
    13.73     37.41   198.588   23.0601     208.3     9.231   72.4572   215.913         0         0   
    13.97     38.43   197.251   22.8544     208.9      9.22   73.0858   215.055         0         0   
    14.22     39.48    196.03   22.6496     209.4     9.137   73.7348   214.327         0         0   
    14.46     40.22   195.036   22.4601     209.6     9.175   74.3524   213.751         0         0   
    14.71     40.72   193.946   22.2646     209.2     9.041   74.9904   213.055         0         0   
    14.95     41.12   193.071   22.0846       209       8.8   75.5976   212.532         0         0   
     15.2     41.51    192.07    21.909     209.5     10.96    76.225   211.906         0         0   
    15.44     41.76   191.166   21.7275     207.4     9.044   76.8223   211.334         0         0   
    15.69     41.83   190.028   21.5602     205.3     8.569   77.4397   210.528         0         0   
    15.93     42.03   189.081   21.3872     204.8      9.14   78.0276   209.914         0         0   
    16.18     42.74   188.033   21.2276     202.3     8.973   78.6353   209.326         0         0   
    16.42     43.47   187.271   21.0625     200.2      9.13   79.2143   208.994         0         0   
    16.67     44.32    186.47   20.9101     199.3     9.015   79.8128   208.669         0         0   
    16.92     45.62   185.724   20.7523     198.4     9.072   80.4068   208.496         0         0   
    17.16     46.59   184.995   20.6065     199.5     7.881   80.9729   208.267         0         0   
    17.41     47.09   184.364   20.4554     200.9      6.88   81.5584   208.033         0         0   
    17.65      47.3   183.546   20.3158       202     6.141   82.1164   207.563         0         0   
     17.9     47.41   182.656    20.171     202.9     6.218   82.6936   207.017         0         0   
    18.14     47.39   181.714   20.0372     204.1      6.12   83.2439    206.39         0         0   
    18.39     47.15   180.774   19.8983     204.1     6.669   83.8133   205.725         0         0   
    18.63     47.03   179.651   19.7697     204.1     7.433   84.3562   204.922         0         0   
    18.88     46.73   178.755   19.6362     203.1     7.224   84.9179   204.288         0         0   
    19.12     46.16   177.977   19.5127     201.5     7.479   85.4537    203.69         0         0   
    19.37     45.52   177.224   19.3844     200.5     8.573   86.0082    203.11         0         0   
    19.61     44.84   176.338   19.2655       199      9.33   86.5371   202.399         0         0   
    19.86     44.04   175.493    19.142     197.2     9.703   87.0845   201.711         0         0   
     20.1     43.71   174.584   19.0275     195.5     8.944   87.6068   201.065         0         0   
    20.35     43.38    173.72    18.915     195.1     8.841   88.1475    200.47         0         0   
    20.59     43.13   172.585   18.7982     194.6      8.61   88.6634   199.651         0         0   
    20.84     42.97   171.787   18.6897     195.4     9.172   89.1976   199.155         0         0   
    21.08     42.73   171.029   18.5769     195.3     9.699   89.7073   198.669         0         0   
    21.33     42.09   170.092   18.4722     194.3     9.539   90.2352   197.956         0         0   
    21.57     41.58   169.001   18.3633     196.6     9.873    90.739   197.132         0         0   
    21.82     41.09   168.181   18.2622     196.7     9.624   91.2608   196.559         0         0   
    22.06     40.67   167.631    18.157     197.9     8.457   91.7589   196.223         0         0   
    22.31     40.37   166.832   18.0593     198.4     9.086   92.2748   195.713         0         0   
    22.55     40.08   165.906   17.9574     198.4     9.266   92.7674   195.088         0         0   
     22.8      39.6   165.094   17.8629     197.1     9.352   93.2776   194.535         0         0   
    23.04     38.92   164.241   17.7644     197.9      9.94   93.7648     193.9         0         0   
    23.29     38.12   163.222   17.6728     198.1     9.534   94.2695   193.116         0         0   
    23.53     37.61   162.221   17.5774     200.5     8.595   94.7514   192.398         0         0   
    23.78     37.18   161.337   17.4887     201.4     9.273   95.2508   191.809         0         0   
    24.02     36.49   160.427   17.3962     201.8     10.47   95.7277   191.141         0         0   
    24.27     35.42   159.327   17.3103       202     11.76    96.222   190.258         0         0   
    24.51     34.44   158.422   17.2206       200     11.21    96.694   189.552         0         0   
    24.76     33.89   157.631   17.1372     199.7     11.17   97.1832   189.035         0         0   
       25     33.79   156.818   17.0502     201.2     11.93   97.6504   188.574         0         0   
    25.25     33.78   155.856   16.9692     200.7     11.64   98.1348   188.017         0         0   
     25.5     33.84   155.098   16.8893     199.5      12.5   98.6167   187.646         0         0   
    25.74     33.84   154.243   16.8061     199.2     13.27    99.077   187.176         0         0   
    25.99     33.27   153.478   16.7284     202.2     11.14   99.5542    186.69         0         0   
    26.23     32.82   152.487   16.6475     204.7     9.938    100.01   186.034         0         0   
    26.48      32.9   151.786   16.5721     205.2     10.58   100.483   185.722         0         0   
    26.72     33.12   150.946   16.4934     204.2     10.12   100.935   185.314         0         0   
    26.97     33.46   150.181   16.4201     199.4     13.15   101.403   185.003         0         0   
    27.21     33.67   149.259   16.3435     201.2     12.81    101.85   184.533         0         0   
    27.46     33.69   148.586   16.2722     199.1     10.93   102.314   184.244         0         0   
     27.7     33.61   147.778   16.1976     197.3      10.4   102.758   183.819         0         0   
    27.95     33.62   147.025   16.1282     195.4     16.96   103.218   183.468         0         0   
