!# Results of ROTMAS saved at 14-Oct-2007 (20:00:04)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 297.751
!# Red. Chi-square (N=207,n=2) : 1.452442
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :    20.579800     5.359590     1.000000     1.000000     1.000000 
!# Parameter error :     3.764753     0.372061     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    1.375    -7.657   91.1849   111.559     138.1     5.747   13.5246   144.514         0         0   
    1.461    -7.617   95.1146   107.647     141.7     3.671    14.368   144.163         0         0   
    1.547    -7.348   98.8754   104.156     122.3     11.17    15.211    144.23         0         0   
    1.633    -7.132   102.471   101.753     126.6     5.671   16.0535   145.123         0         0   
    1.718    -7.325   105.885   98.9518     123.9     6.141   16.8857   145.721         0         0   
    1.804    -8.059   109.199   96.1142     141.8     7.048   17.7272   146.327         0         0   
     1.89    -14.31   112.375   94.2522     140.2     5.836   18.5682   147.145         0         0   
    1.976    -8.463   115.422   92.0547     128.5     5.509   19.4085   148.665         0         0   
    2.062    -7.927   118.347   90.2604     135.9     7.352   20.2483       150         0         0   
    2.148     -8.64   121.157   88.2441     138.1     11.54   21.0874   151.116         0         0   
    2.234    -8.453   123.858   86.3405     147.8     9.385   21.9259   152.331         0         0   
     2.32    -8.142   126.464   84.9109     141.3     8.421   22.7637   153.801         0         0   
    2.406    -8.613   128.954   83.3278     143.3     9.624   23.6008   155.098         0         0   
    2.492    -9.456   131.345   81.6011     150.8     7.577   24.4372   156.263         0         0   
    2.578    -10.34    133.65    80.445       147     8.321   25.2728   157.688         0         0   
    2.664     -11.1   135.861    79.101     149.2     8.067   26.1077   158.977         0         0   
     2.75     -10.7   137.978    77.583       151     6.582   26.9417   160.214         0         0   
    2.835    -9.515   139.981   76.6661     147.6     6.217   27.7653   161.718         0         0   
    2.921    -7.966   141.936   75.4188     147.8      6.39   28.5977   163.059         0         0   
    3.007    -7.001   143.806   74.1249     152.1     4.363   29.4292   164.292         0         0   
    3.093    -7.304   145.599   73.3972     149.8     4.352   30.2598   165.676         0         0   
    3.179    -7.398   147.323   72.2043     150.8     3.955   31.0895   166.821         0         0   
    3.265    -7.927   148.974   71.3929     151.8     4.043   31.9183   168.066         0         0   
    3.351    -7.851    150.56   70.4625     154.9     4.853   32.7461   169.245         0         0   
    3.437    -6.541   152.084   69.3766     157.1     4.688   33.5729   170.373         0         0   
    3.523    -6.029    153.53   68.7186     157.4     5.081   34.3987   171.583         0         0   
    3.609    -6.392    154.91   67.8156     157.5     5.578   35.2235   172.615         0         0   
    3.695    -7.261   156.233    66.863     158.3     6.302   36.0472   173.569         0         0   
    3.781    -5.604   157.504   66.3434     163.6     6.161   36.8699   174.748         0         0   
    3.867     3.573   158.713   65.4522     167.1     5.314   37.6914   175.804         0         0   
    3.952     6.228   159.846   64.6185     166.4     5.368   38.5023    176.77         0         0   
    4.038      8.18   160.946   64.1587     167.8     5.464   39.3216   177.857         0         0   
    4.124     11.04   162.012   63.3336     167.9     6.496   40.1397   178.863         0         0   
     4.21      12.3    163.01   62.5749     170.7     5.648   40.9566   179.768         0         0   
    4.296     12.45   163.959   62.1436     173.6     5.524   41.7724   180.677         0         0   
    4.382     11.37   164.867   61.4031     174.8     5.122   42.5869   181.368         0         0   
    4.468     8.945    165.72   60.7087     177.9      6.07   43.4001   181.968         0         0   
    4.554     7.255   166.535   60.3105     181.7     5.013   44.2121   182.698         0         0   
     4.64     7.288    167.31   59.6418     183.1     5.543   45.0228   183.385         0         0   
    4.726     8.444   168.033   59.2873       183     4.622   45.8322   184.179         0         0   
    4.812     9.065   168.716   58.6335     183.7     5.871   46.6403   184.826         0         0   
    4.898     8.787   169.372   58.0265     187.8     6.737    47.447   185.425         0         0   
    4.983     9.515   169.994   57.6946     189.4     6.262    48.243    186.13         0         0   
    5.069     10.91   170.571   57.0982     191.6     6.035   49.0469    186.76         0         0   
    5.155     12.69   171.108    56.544     191.7     5.693   49.8495   187.406         0         0   
    5.241     14.92   171.621   56.2193     192.9     5.564   50.6507   188.155         0         0   
    5.327     16.39   172.094    55.673     194.4     5.605   51.4504   188.763         0         0   
    5.413     16.47   172.526   55.1598     194.6     5.909   52.2486   189.233         0         0   
    5.499     16.42   172.934   54.8535     194.9     5.745   53.0454   189.733         0         0   
    5.585     15.76   173.311    54.351     196.7     6.031   53.8407     190.1         0         0   
    5.671     15.02   173.655     53.87     198.9     6.587   54.6344   190.443         0         0   
    5.757     15.23   173.981   53.5843     201.9      6.26   55.4267   190.905         0         0   
    5.843     16.14    174.28   53.1205     199.8      6.18   56.2173   191.354         0         0   
    5.929     16.73   174.537   52.8573     198.7     6.576   57.0065   191.799         0         0   
    6.015     17.49   174.773   52.4009     199.9     5.679    57.794   192.191         0         0   
      6.1     17.91   174.994    51.976     200.4     5.955   58.5708   192.551         0         0   
    6.186     18.88   175.181   51.7226     199.4     6.751   59.3552   192.985         0         0   
    6.272     19.92   175.334   51.2982     199.8     6.898   60.1379   193.357         0         0   
    6.358     20.81   175.476   50.8991     201.4     7.525    60.919   193.718         0         0   
    6.444     21.96   175.605   50.6542     200.1      7.52   61.6984   194.144         0         0   
     6.53     23.74   175.696   50.2588     199.7     7.802   62.4762   194.581         0         0   
    6.616     25.22   175.774   49.8819     198.8     7.609   63.2522   194.991         0         0   
    6.702      26.5   175.835   49.6505     199.9     7.749   64.0266   195.409         0         0   
    6.788     27.47   175.868   49.2812     199.4     8.324   64.7992   195.734         0         0   
    6.874     28.61   175.882   48.9224     200.5       8.1   65.5702   196.076         0         0   
     6.96     29.94   175.887   48.7051     202.5     8.799   66.3393   196.483         0         0   
    7.046     31.05   175.873   48.3593     201.7      8.21   67.1067   196.818         0         0   
    7.132     31.73   175.831   48.1542     203.2     7.995   67.8724   197.101         0         0   
    7.217      32.1   175.774   47.8162     201.2     7.673   68.6274   197.289         0         0   
    7.303     32.17   175.714   47.4918     200.2     7.678   69.3895   197.435         0         0   
    7.389     31.59   175.618   47.2931     197.8     7.292   70.1497   197.477         0         0   
    7.475     30.54   175.508   46.9714     194.9      6.24   70.9082   197.408         0         0   
    7.561     30.17   175.399   46.6664     199.5     6.997   71.6648   197.455         0         0   
    7.647     30.55    175.28   46.4735     201.2     7.375   72.4196   197.638         0         0   
    7.733     30.57   175.133   46.1705     198.7     6.557   73.1725   197.717         0         0   
    7.819     30.92   174.974   45.8782       199     6.094   73.9236   197.842         0         0   
    7.905     31.45   174.811   45.6958     199.2     6.038   74.6727    198.02         0         0   
    7.991     31.64   174.621   45.4097     198.9     6.134     75.42     198.1         0         0   
    8.077     31.88   174.421   45.1287     198.5     11.29   76.1654   198.184         0         0   
    8.163     32.69   174.222   44.9564     199.9     7.004   76.9089   198.389         0         0   
    8.249     34.27    174.01    44.686     198.3     10.62   77.6504   198.697         0         0   
    8.334     35.44   173.781   44.4183     196.9     6.434   78.3815   198.928         0         0   
     8.42     35.71   173.542   44.2552     195.6     8.155   79.1192   199.024         0         0   
    8.506     35.46   173.299   43.9992       196     6.057   79.8549   199.004         0         0   
    8.592     35.45   173.034   43.8379     194.5      5.64   80.5888   199.032         0         0   
    8.678     35.86   172.762   43.5834     196.6     5.154   81.3206   199.111         0         0   
    8.764     36.49   172.493   43.3402     197.2     4.741   82.0505   199.239         0         0   
     8.85     36.65   172.217   43.1836       198     5.456   82.7784   199.296         0         0   
    8.936     36.51   171.924   42.9418     201.4     5.262   83.5042   199.268         0         0   
    9.022     36.19   171.621   42.7065       204     4.423   84.2281   199.203         0         0   
    9.108     36.51   171.309    42.558     205.4      4.75     84.95   199.267         0         0   
    9.194     37.67   170.986   42.3281     203.8     4.243   85.6699   199.465         0         0   
     9.28     38.25   170.661   42.1001     203.6     3.749   86.3878   199.558         0         0   
    9.366     37.87   170.337   41.9593     203.8     3.786   87.1036    199.49         0         0   
    9.451     37.61    170.01   41.7429     202.8      3.26   87.8091   199.426         0         0   
    9.537     37.55    169.67   41.5216     201.1     8.612   88.5209   199.394         0         0   
    9.623     37.19   169.324   41.3879       201     3.864   89.2306   199.321         0         0   
    9.709     36.77   168.968   41.1792     200.3     3.586   89.9383   199.216         0         0   
    9.795     36.58   168.602    41.045     199.9     3.605   90.6439   199.163         0         0   
    9.881     36.23   168.237   40.8371     200.4     5.264   91.3474   199.069         0         0   
    9.967     35.97   167.872   40.6369     199.9     5.602   92.0489   198.995         0         0   
    10.05     36.02   167.515   40.5139     199.5     5.143   92.7239   198.992         0         0   
    10.14     36.17   167.118   40.3059       197     4.451   93.4537   198.985         0         0   
    10.22     36.19   166.761   40.1252     196.3      3.93   94.1005   198.957         0         0   
    10.31     35.65   166.355   39.9917     196.5     9.657    94.826   198.837         0         0   
     10.4     35.16   165.943   39.7931     198.9     4.174   95.5491   198.712         0         0   
    10.48        35   165.576   39.6164     197.2     3.581     96.19   198.651         0         0   
    10.57     34.99   165.166   39.4897     197.4     4.198   96.9088   198.632         0         0   
    10.65     35.17   164.795   39.3204     198.6     4.361   97.5459   198.634         0         0   
    10.74     35.46   164.371   39.1267     199.1     3.646   98.2603   198.649         0         0   
    10.83     35.53    163.94   39.0063     195.3     4.298   98.9725   198.635         0         0   
    10.91     35.41   163.553   38.8443     195.6     3.791   99.6036   198.578         0         0   
       11     35.06   163.115   38.7222     193.5     3.689   100.311   198.488         0         0   
