!# Results of ROTMAS saved at 12-May-2008 (13:14:53)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 212.272
!# Red. Chi-square (N=207,n=2) : 1.035472
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     6.162230   183.781006     0.710000     0.710000     1.000000 
!# Parameter error :     0.465365    11.082539     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    1.375    -7.657   76.8338   94.0013     138.1     5.747   55.6984   133.354         0         0   
    1.461    -7.617    80.145    90.705     141.7     3.671   57.3337   133.715         0         0   
    1.547    -7.348   83.3139   87.7634     122.3     11.17   58.9148    134.39         0         0   
    1.633    -7.132   86.3436   85.7386     126.6     5.671   60.4461    135.68         0         0   
    1.718    -7.325   89.2203   83.3783     123.9     6.141   61.9143   136.718         0         0   
    1.804    -8.059   92.0127   80.9873     141.8     7.048   63.3572   137.748         0         0   
     1.89    -14.31   94.6889   79.4183     140.2     5.836   64.7602   138.789         0         0   
    1.976    -8.463   97.2563   77.5667     128.5     5.509   66.1258   140.629         0         0   
    2.062    -7.927    99.721   76.0548     135.9     7.352   67.4565   142.183         0         0   
    2.148     -8.64   102.089   74.3558     138.1     11.54   68.7542   143.539         0         0   
    2.234    -8.453   104.365   72.7518     147.8     9.385   70.0209    144.97         0         0   
     2.32    -8.142    106.56   71.5472     141.3     8.421   71.2582    146.58         0         0   
    2.406    -8.613   108.659   70.2132     143.3     9.624   72.4677   148.034         0         0   
    2.492    -9.456   110.673   68.7583     150.8     7.577   73.6509    149.37         0         0   
    2.578    -10.34   112.615   67.7842       147     8.321    74.809   150.885         0         0   
    2.664     -11.1   114.479   66.6517     149.2     8.067   75.9432   152.289         0         0   
     2.75     -10.7   116.262   65.3726       151     6.582   77.0546   153.667         0         0   
    2.835    -9.515    117.95      64.6     147.6     6.217   78.1317    155.24         0         0   
    2.921    -7.966   119.597    63.549     147.8      6.39   79.2008   156.689         0         0   
    3.007    -7.001   121.173   62.4587     152.1     4.363   80.2498   158.035         0         0   
    3.093    -7.304   122.684   61.8456     149.8     4.352   81.2797   159.466         0         0   
    3.179    -7.398   124.137   60.8404     150.8     3.955   82.2912   160.713         0         0   
    3.265    -7.927   125.528   60.1567     151.8     4.043    83.285   162.017         0         0   
    3.351    -7.851   126.864   59.3728     154.9     4.853   84.2617   163.273         0         0   
    3.437    -6.541   128.148   58.4578     157.1     4.688   85.2221   164.497         0         0   
    3.523    -6.029   129.367   57.9033     157.4     5.081   86.1666   165.761         0         0   
    3.609    -6.392   130.529   57.1424     157.5     5.578   87.0958   166.877         0         0   
    3.695    -7.261   131.644   56.3398     158.3     6.302   88.0102   167.921         0         0   
    3.781    -5.604   132.715   55.9019     163.6     6.161   88.9104   169.151         0         0   
    3.867     3.573   133.734    55.151     167.1     5.314   89.7968   170.302         0         0   
    3.952     6.228   134.689   54.4485     166.4     5.368   90.6597   171.358         0         0   
    4.038      8.18   135.616   54.0611     167.8     5.464   91.5199   172.502         0         0   
    4.124     11.04   136.514   53.3658     167.9     6.496   92.3675   173.602         0         0   
     4.21      12.3   137.355   52.7265     170.7     5.648   93.2029   174.598         0         0   
    4.296     12.45   138.154   52.3631     173.6     5.524   94.0264   175.569         0         0   
    4.382     11.37   138.919   51.7392     174.8     5.122   94.8385    176.35         0         0   
    4.468     8.945   139.638   51.1541     177.9      6.07   95.6393   177.038         0         0   
    4.554     7.255   140.325   50.8185     181.7     5.013   96.4293   177.834         0         0   
     4.64     7.288   140.978   50.2551     183.1     5.543   97.2087   178.614         0         0   
    4.726     8.444   141.587   49.9564       183     4.622   97.9778   179.481         0         0   
    4.812     9.065   142.163   49.4055     183.7     5.871   98.7368   180.228         0         0   
    4.898     8.787   142.715    48.894     187.8     6.737   99.4861   180.923         0         0   
    4.983     9.515   143.239   48.6143     189.4     6.262   100.217     181.7         0         0   
    5.069     10.91   143.726   48.1118     191.6     6.035   100.948   182.432         0         0   
    5.155     12.69   144.178   47.6448     191.7     5.693   101.669    183.18         0         0   
    5.241     14.92    144.61   47.3712     192.9     5.564   102.382   184.013         0         0   
    5.327     16.39   145.009   46.9109     194.4     5.605   103.086   184.726         0         0   
    5.413     16.47   145.373   46.4785     194.6     5.909   103.781   185.298         0         0   
    5.499     16.42   145.717   46.2204     194.9     5.745   104.468   185.884         0         0   
    5.585     15.76   146.034    45.797     196.7     6.031   105.148   186.354         0         0   
    5.671     15.02   146.324   45.3917     198.9     6.587   105.819     186.8         0         0   
    5.757     15.23   146.599   45.1509     201.9      6.26   106.482   187.351         0         0   
    5.843     16.14   146.851   44.7601     199.8      6.18   107.138   187.904         0         0   
    5.929     16.73   147.067   44.5383     198.7     6.576   107.787   188.442         0         0   
    6.015     17.49   147.266   44.1538     199.9     5.679   108.428   188.943         0         0   
      6.1     17.91   147.453   43.7958     200.4     5.955   109.055   189.405         0         0   
    6.186     18.88    147.61   43.5822     199.4     6.751   109.682   189.934         0         0   
