!# Results of ROTMAS saved at 14-Oct-2007 (20:01:41)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 530.831
!# Red. Chi-square (N=207,n=2) : 2.589420
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :    -0.419293  2527.659912     1.000000     1.000000     1.000000 
!# Parameter error :   279.921265 1552519.125000     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    1.375    -7.657   91.1849   111.559     138.1     5.747   35.8293   148.274         0         0   
    1.461    -7.617   95.1146   107.647     141.7     3.671    36.933   148.124         0         0   
    1.547    -7.348   98.8754   104.156     122.3     11.17   38.0048   148.375         0         0   
    1.633    -7.132   102.471   101.753     126.6     5.671   39.0471   149.425         0         0   
    1.718    -7.325   105.885   98.9518     123.9     6.141   40.0507   150.178         0         0   
    1.804    -8.059   109.199   96.1142     141.8     7.048   41.0412   150.936         0         0   
     1.89    -14.31   112.375   94.2522     140.2     5.836   42.0084   151.893         0         0   
    1.976    -8.463   115.422   92.0547     128.5     5.509   42.9538   153.524         0         0   
    2.062    -7.927   118.347   90.2604     135.9     7.352   43.8789   154.969         0         0   
    2.148     -8.64   121.157   88.2441     138.1     11.54   44.7849   156.196         0         0   
    2.234    -8.453   123.858   86.3405     147.8     9.385    45.673   157.512         0         0   
     2.32    -8.142   126.464   84.9109     141.3     8.421   46.5441   159.069         0         0   
    2.406    -8.613   128.954   83.3278     143.3     9.624   47.3993   160.453         0         0   
    2.492    -9.456   131.345   81.6011     150.8     7.577   48.2393   161.703         0         0   
    2.578    -10.34    133.65    80.445       147     8.321    49.065     163.2         0         0   
    2.664     -11.1   135.861    79.101     149.2     8.067    49.877   164.559         0         0   
     2.75     -10.7   137.978    77.583       151     6.582    50.676   165.863         0         0   
