!# Results of ROTMAS saved at 14-Oct-2007 (20:00:36)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 204.336
!# Red. Chi-square (N=207,n=4) : 1.006581
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     3.245600   281.385986     0.585770     0.819609     1.000000 
!# Parameter error :     2.634810   183.212753     0.051694     0.060864     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    1.375    -7.657   82.5518   85.3824     138.1     5.747   46.9873   127.492         0         0   
    1.461    -7.617   86.1094   82.3883     141.7     3.671   48.4106   128.407         0         0   
    1.547    -7.348   89.5141   79.7164     122.3     11.17   49.7907   129.586         0         0   
    1.633    -7.132   92.7693   77.8773     126.6     5.671   51.1309    131.28         0         0   
    1.718    -7.325   95.8601   75.7334     123.9     6.141   52.4194   132.736         0         0   
    1.804    -8.059   98.8603   73.5616     141.8     7.048   53.6891   134.172         0         0   
     1.89    -14.31   101.736   72.1365     140.2     5.836   54.9271   135.521         0         0   
    1.976    -8.463   104.494   70.4546     128.5     5.509   56.1354   137.704         0         0   
    2.062    -7.927   107.142   69.0814     135.9     7.352    57.316   139.549         0         0   
    2.148     -8.64   109.686   67.5382     138.1     11.54   58.4705   141.197         0         0   
    2.234    -8.453   112.131   66.0812     147.8     9.385   59.6004   142.902         0         0   
     2.32    -8.142   114.491   64.9871     141.3     8.421   60.7072   144.743         0         0   
    2.406    -8.613   116.745   63.7754     143.3     9.624    61.792   146.427         0         0   
    2.492    -9.456    118.91   62.4539     150.8     7.577   62.8561   147.991         0         0   
    2.578    -10.34   120.996   61.5691       147     8.321   63.9004    149.69         0         0   
    2.664     -11.1   122.998   60.5404     149.2     8.067   64.9259   151.281         0         0   
     2.75     -10.7   124.915   59.3786       151     6.582   65.9336   152.847         0         0   
    2.835    -9.515   126.728   58.6769     147.6     6.217   66.9127   154.563         0         0   
    2.921    -7.966   128.498   57.7222     147.8      6.39   67.8871   156.169         0         0   
    3.007    -7.001   130.191   56.7319     152.1     4.363   68.8458   157.667         0         0   
    3.093    -7.304   131.814    56.175     149.8     4.352   69.7896    159.21         0         0   
    3.179    -7.398   133.375    55.262     150.8     3.955   70.7189    160.59         0         0   
    3.265    -7.927    134.87    54.641     151.8     4.043   71.6345       162         0         0   
    3.351    -7.851   136.305   53.9289     154.9     4.853   72.5367   163.363         0         0   
    3.437    -6.541   137.685   53.0978     157.1     4.688   73.4261   164.697         0         0   
    3.523    -6.029   138.994   52.5942     157.4     5.081   74.3032   166.043         0         0   
    3.609    -6.392   140.244   51.9031     157.5     5.578   75.1684   167.247         0         0   
    3.695    -7.261   141.441    51.174     158.3     6.302    76.022   168.378         0         0   
    3.781    -5.604   142.592   50.7763     163.6     6.161   76.8646   169.669         0         0   
    3.867     3.573   143.686   50.0942     167.1     5.314   77.6964   170.894         0         0   
    3.952     6.228   144.712   49.4562     166.4     5.368   78.5084   172.017         0         0   
    4.038      8.18   145.708   49.1043     167.8     5.464   79.3198   173.207         0         0   
    4.124     11.04   146.673   48.4728     167.9     6.496   80.1216   174.367         0         0   
     4.21      12.3   147.577   47.8921     170.7     5.648   80.9138   175.416         0         0   
    4.296     12.45   148.436    47.562     173.6     5.524   81.6968   176.422         0         0   
    4.382     11.37   149.258   46.9952     174.8     5.122    82.471   177.249         0         0   
    4.468     8.945    150.03   46.4638     177.9      6.07   83.2364   177.978         0         0   
    4.554     7.255   150.768    46.159     181.7     5.013   83.9934   178.799         0         0   
     4.64     7.288    151.47   45.6472     183.1     5.543   84.7422   179.614         0         0   
    4.726     8.444   152.124   45.3759       183     4.622   85.4831   180.498         0         0   
    4.812     9.065   152.742   44.8755     183.7     5.871   86.2161   181.272         0         0   
    4.898     8.787   153.336   44.4109     187.8     6.737   86.9416    181.99         0         0   
