!# Results of ROTMAS saved at 15-Oct-2007 (10:53:27)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 304.664
!# Red. Chi-square (N=105,n=1) : 2.929466
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value : 10000.000000     1.557210     1.000000     1.000000     1.000000 
!# Parameter error :     0.000000     0.113444     0.000000     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85    217.26   166.296     253.2      7.47   15.9322   273.761         0         0   
    3.216     -12.6   226.082   159.716     247.9     11.38   17.0736   277.047         0         0   
     3.43    -12.26   234.659   154.262     251.5     19.33   18.2098   281.146         0         0   
    3.644    -12.75   242.344   148.947     242.7     13.94   19.3459   284.829         0         0   
    3.859    -13.21   248.619   144.637     254.9      4.77   20.4873   288.056         0         0   
    4.073    -14.08   253.766   140.218     254.7     6.105   21.6234   290.392         0         0   
    4.287    -12.74   257.444   136.555     253.1     10.99   22.7595   292.028         0         0   
    4.502    -12.21   261.053   132.952     260.5     7.047    23.901   293.679         0         0   
    4.716    -11.38   263.605   129.783     263.4     9.199   25.0371   294.667         0         0   
     4.93    -8.553   265.608   126.777     262.2      12.1   26.1732    295.35         0         0   
    5.145    -4.056   267.173   123.979     266.7     10.38   27.3146   295.773         0         0   
    5.359    -1.122   268.716    121.41     267.4     11.73   28.4508   296.238         0         0   
    5.574    -5.985   268.769   118.919     267.4      13.5   29.5922   295.328         0         0   
    5.788    -8.126    268.06   116.722     268.1     13.27   30.7283   293.868         0         0   
    6.002    -8.397   266.659   114.466     265.7     13.41   31.8644   291.812         0         0   
    6.217     -5.67   265.394    112.47     261.4     12.31   33.0058    290.07         0         0   
