!# Results of ROTMAS saved at 15-Oct-2007 (10:53:52)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 26.2378
!# Red. Chi-square (N=105,n=4) : 0.259780
!# Parameter name  :           RC         RHO          MB          MD          MG
!# Parameter value :     9.348600    10.137200     0.794040     0.763466     1.000000 
!# Parameter error :     1.427452     2.368181     0.087554     0.033157     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85   189.834   148.185     253.2      7.47   39.4617   243.696         0         0   
    3.216     -12.6   197.543   142.321     247.9     11.38   42.1114   246.765         0         0   
     3.43    -12.26   205.037   137.461     251.5     19.33   44.7154   250.569         0         0   
    3.644    -12.75   211.752   132.725     242.7     13.94   47.2849   254.024         0         0   
    3.859    -13.21   217.235   128.884     254.9      4.77   49.8304    257.12         0         0   
    4.073    -14.08   221.732   124.947     254.7     6.105   52.3274   259.455         0         0   
    4.287    -12.74   224.946   121.683     253.1     10.99   54.7868    261.24         0         0   
    4.502    -12.21   228.099   118.472     260.5     7.047   57.2193    263.04         0         0   
    4.716    -11.38   230.329   115.648     263.4     9.199   59.6015   264.289         0         0   
     4.93    -8.553   232.079    112.97     262.2      12.1   61.9444   265.305         0         0   
    5.145    -4.056   233.447   110.476     266.7     10.38   64.2583   266.111         0         0   
    5.359    -1.122   234.795   108.187     267.4     11.73   66.5214    266.94         0         0   
    5.574    -5.985   234.841   105.967     267.4      13.5   68.7547   266.591         0         0   
    5.788    -8.126   234.222    104.01     268.1     13.27   70.9374   265.789         0         0   
    6.002    -8.397   232.997   101.999     265.7     13.41   73.0799   264.503         0         0   
    6.217     -5.67   231.892   100.221     261.4     12.31   75.1921   263.514         0         0   
    6.431    -5.352   230.386   98.4484     260.8     11.89   77.2546   262.125         0         0   
    6.645     3.806   228.906   96.8445     257.5     9.699   79.2775   260.914         0         0   
     6.86     6.812   227.338   95.2557     258.7     8.035   81.2702   259.629         0         0   
    7.074     6.615   226.497   93.7818       258     5.408   83.2147   258.967         0         0   
    7.289     3.505   225.399   92.4247     257.8      5.18   85.1294   258.082         0         0   
    7.503     5.449   224.159   91.0043     259.6     5.583   86.9971   257.152         0         0   
    7.717     7.855   223.061   89.7559     259.6     7.152   88.8273   256.445         0         0   
    7.932     8.635   222.441    88.465     260.6     8.473   90.6287   256.113         0         0   
    8.146     9.936   221.609   87.3097     262.8     11.09   92.3851    255.67         0         0   
     8.36      13.5   220.569   86.1373     263.4     12.88   94.1057   255.164         0         0   
    8.575     16.59   219.472   85.0569     264.8     14.64   95.7988   254.667         0         0   
    8.789     18.38   218.406   84.0483     263.8     15.44   97.4493   254.165         0         0   
    9.003     18.83   217.558   82.9744     263.4     15.76   99.0657   253.742         0         0   
    9.218     18.32   216.089   82.0275     259.6     13.86   100.656   252.765         0         0   
    9.432      17.8   214.723   81.0395     256.6     14.45   102.206   251.866         0         0   
    9.647     18.81   213.494   80.1505     251.5     13.04   103.731   251.233         0         0   
    9.861     19.93   212.565   79.3143     249.5     13.04   105.218   250.884         0         0   
    10.08     20.42   211.202   78.3874     248.3     13.14   106.707   250.109         0         0   
    10.29     21.84   210.059   77.6116       248     13.92   108.106   249.625         0         0   
     10.5     24.44   208.976    76.778     248.6     15.03   109.477   249.295         0         0   
    10.72     27.51   208.185   76.0111     246.3     13.46   110.882    249.34         0         0   
    10.93     28.02   207.031    75.234     248.8     15.19   112.197   248.787         0         0   
    11.15     28.85   205.935   74.5082     248.8     14.55   113.545   248.366         0         0   
    11.36     30.56   204.911   73.8483     249.7     14.31   114.806   248.106         0         0   
    11.58     32.23   203.995   73.0952     250.2     14.79     116.1   247.941         0         0   
    11.79     33.17   202.771   72.4676     249.7     13.01   117.309   247.446         0         0   
       12     34.18   201.606   71.7889       251     11.38   118.495   246.998         0         0   
    12.22     35.26   200.523   71.1608     249.2     11.28   119.712   246.673         0         0   
    12.43     35.98   199.712   70.5213     250.3     10.97    120.85    246.49         0         0   
    12.65     35.82   198.461   69.9239       250     10.75   122.019   245.861         0         0   
    12.86     35.11   197.129    69.378       251     9.954   123.111   245.076         0         0   
    13.08     34.76    195.78   68.7523     250.1     10.23   124.234   244.334         0         0   
    13.29     34.06   194.567   68.2308       248     11.56   125.283   243.655         0         0   
    13.51     33.83   193.222   67.6401     246.5     11.68   126.362   242.944         0         0   
    13.72     33.86       192   67.1374     245.6     11.06   127.371   242.366         0         0   
    13.93     34.27   190.953   66.5997     244.8     10.32    128.36   241.969         0         0   
    14.15      35.2   190.033   66.0959     243.5      9.46   129.377   241.783         0         0   
    14.36     35.99   189.158   65.6347     243.1     8.674   130.329   241.598         0         0   
    14.58     37.68   188.282   65.1039     243.6     8.475   131.306   241.557         0         0   
    14.79     38.89   187.449   64.6616     243.1     7.548   132.222   241.481         0         0   
    15.01     39.05   186.538    64.157     241.4     7.192   133.163   241.184         0         0   
    15.22     39.68   185.813   63.7292     240.4     7.384   134.044   241.102         0         0   
    15.43     39.94   185.142   63.3166     239.3     6.595   134.909   241.002         0         0   
    15.65     41.45   184.631   62.8365     238.8     12.44   135.798   241.239         0         0   
    15.86     43.06   184.106     62.44     239.2     6.425   136.631   241.487         0         0   
    16.08     44.09   183.566   61.9822     239.6     6.707   137.487    241.63         0         0   
    16.29     44.86   183.045    61.601       240     7.201    138.29   241.737         0         0   
    16.51     46.11   182.611   61.1634     240.5      7.69   139.115   242.006         0         0   
    16.72     47.68   182.204   60.7934     241.1     7.845   139.889   242.356         0         0   
    16.94     48.74   181.961   60.4179     242.1     7.967   140.685   242.751         0         0   
    17.15     49.42   181.447   60.0172     242.5      8.44   141.431   242.838         0         0   
    17.36     50.16   181.021   59.6715     243.1     8.508   142.164   243.015         0         0   
    17.58     50.89   180.563   59.2715     243.5     8.693   142.918    243.17         0         0   
    17.79     51.51    180.13   58.9383       244     9.866   143.626   243.315         0         0   
    18.01     52.69    179.45    58.554     242.3     9.043   144.354   243.403         0         0   
    18.22     53.61   178.872     58.23     242.3     9.646   145.037   243.507         0         0   
    18.44     54.29     178.3   57.8994     242.4     9.888   145.741   243.579         0         0   
    18.65     55.25   177.698   57.5468     241.9     9.333     146.4   243.667         0         0   
    18.86     56.43   177.024   57.2421     242.8     8.928   147.049   243.766         0         0   
    19.08     57.18    176.35   56.8885     242.3     8.317   147.717   243.774         0         0   
    19.29     57.94   175.854   56.5941     240.8     8.601   148.345   243.907         0         0   
    19.51      58.6   175.375   56.2531     240.2     9.203   148.991   244.035         0         0   
    19.72     59.38   174.897   55.9662     239.7     8.832   149.597   244.185         0         0   
    19.94     60.12    174.48   55.6722     239.7     8.831   150.222   244.385         0         0   
    20.15     61.19   174.265   55.3589       239     9.069   150.808   244.786         0         0   
    20.37     62.53   174.039   55.0746     238.5     8.721   151.413   245.273         0         0   
    20.58     63.98    174.01    54.772     239.2     7.779   151.981   245.909         0         0   
    20.79     65.15   173.739   54.5095     238.6     8.341    152.54   246.311         0         0   
    21.01     65.36   173.352   54.2042     238.3     7.595   153.116   246.385         0         0   
    21.22     65.42   172.909   53.9478     238.9      7.42   153.657    246.37         0         0   
