!# Results of ROTMAS saved at 15-Oct-2007 (10:54:09)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+MB*VB*ABS(VB)+VU**2)
!# Chi-square            : 24.131
!# Red. Chi-square (N=105,n=4) : 0.238920
!# Parameter name  :            C        V200          MB          MD          MG
!# Parameter value :     3.264630   257.072998     0.723343     0.738217     1.000000 
!# Parameter error :     1.079194    56.783855     0.073489     0.030231     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
    3.001    -12.85   186.669   141.434     253.2      7.47   65.8486    242.94         0         0   
    3.216     -12.6   194.249   135.838     247.9     11.38    68.076   246.293         0         0   
     3.43    -12.26   201.618   131.199     251.5     19.33   70.2117   250.285         0         0   
    3.644    -12.75   208.221   126.679     242.7     13.94   72.2736   253.898         0         0   
    3.859    -13.21   213.612   123.013     254.9      4.77   74.2769   257.109         0         0   
    4.073    -14.08   218.035   119.255     254.7     6.105   76.2084   259.558         0         0   
    4.287    -12.74   221.195   116.139     253.1     10.99   78.0824   261.438         0         0   
    4.502    -12.21   224.296   113.075     260.5     7.047   79.9113   263.308         0         0   
    4.716    -11.38   226.488    110.38     263.4     9.199   81.6817   264.619         0         0   
     4.93    -8.553   228.209   107.823     262.2      12.1   83.4056   265.685         0         0   
    5.145    -4.056   229.554   105.444     266.7     10.38   85.0935   266.529         0         0   
    5.359    -1.122    230.88   103.259     267.4     11.73   86.7324   267.374         0         0   
    5.574    -5.985   230.925    101.14     267.4      13.5   88.3399   267.065         0         0   
    5.788    -8.126   230.316   99.2716     268.1     13.27   89.9033   266.302         0         0   
    6.002    -8.397   229.112   97.3529     265.7     13.41   91.4319   265.065         0         0   
    6.217     -5.67   228.025   95.6553     261.4     12.31   92.9346   264.103         0         0   
    6.431    -5.352   226.544   93.9636     260.8     11.89   94.3989   262.743         0         0   
    6.645     3.806   225.089   92.4327     257.5     9.699   95.8334   261.548         0         0   
     6.86     6.812   223.547   90.9163     258.7     8.035   97.2459   260.274         0         0   
    7.074     6.615    222.72   89.5096       258     5.408   98.6246   259.589         0         0   
    7.289     3.505   221.641   88.2143     257.8      5.18   99.9836    258.68         0         0   
    7.503     5.449   220.421   86.8586     259.6     5.583   101.311   257.728         0         0   
    7.717     7.855   219.341    85.667     259.6     7.152   102.615   256.985         0         0   
    7.932     8.635   218.731    84.435     260.6     8.473   103.902   256.599         0         0   
    8.146     9.936   217.913   83.3323     262.8     11.09    105.16   256.102         0         0   
     8.36      13.5   216.891   82.2133     263.4     12.88   106.398   255.546         0         0   
    8.575     16.59   215.813   81.1821     264.8     14.64    107.62   254.996         0         0   
    8.789     18.38   214.765   80.2195     263.8     15.44   108.817   254.437         0         0   
    9.003     18.83    213.93   79.1945     263.4     15.76   109.995   253.952         0         0   
    9.218     18.32   212.486   78.2908     259.6     13.86    111.16   252.927         0         0   
    9.432      17.8   211.143   77.3477     256.6     14.45   112.302   251.977         0         0   
