!# Results of ROTMAS saved at 12-May-2008 (13:17:18)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 235.343
!# Red. Chi-square (N=68,n=2) : 3.565808
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.463270   126.047997     0.710000     1.000000 
!# Parameter error :     0.101904    12.220684     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374    13.062         0      18.2     2.821   5.43051   14.1266         0         0   
   0.2278    0.8858   21.2585         0     29.11     2.346   10.8027   23.8622         0         0   
   0.3417     2.077   24.9824         0        38      2.68    16.062   29.7729         0         0   
   0.4555     1.452   28.0833         0     46.19     2.261   21.1567   35.1907         0         0   
   0.5694     1.051   32.0821         0      50.3     2.172   26.0573   41.3443         0         0   
   0.6833     1.204   34.7279         0     52.95     2.304   30.7313   46.3885         0         0   
   0.7972    0.7131   36.7407         0     55.28     2.099   35.1606   50.8592         0         0   
   0.9111    0.4738   38.8952         0     57.42     2.093   39.3358   55.3206         0         0   
    1.025    0.8499   40.4678         0     59.77     1.904   43.2555   59.2402         0         0   
    1.139    -0.874   41.1483         0     61.65     2.062   46.9268   62.4063         0         0   
    1.253    0.7508    41.483         0     63.17     2.212    50.355   65.2459         0         0   
    1.367     1.489   41.9053         0     64.92     2.379   53.5513   68.0148         0         0   
     1.48     3.598   43.0144         0     66.63     2.614   56.5039   71.1047         0         0   
    1.594      6.02   44.5176         0     67.73     3.001    59.279   74.3779         0         0   
    1.708     7.826   46.0144         0     69.46     2.897    61.864   77.4966         0         0   
    1.822     9.023   47.4093         0     72.15     2.772    64.273   80.3746         0         0   
    1.936     9.767   48.6212         0     74.37     2.782   66.5195   82.9714         0         0   
     2.05     10.29   49.4064         0     76.62     2.698   68.6164   85.1768         0         0   
    2.164     10.85   49.5301         0     78.99     3.035   70.5757   86.9016         0         0   
    2.278      11.5   49.1612         0     81.48     3.381   72.4086   88.2728         0         0   
    2.392     11.95   48.8477         0     84.67     3.858   74.1253   89.5738         0         0   
    2.505     12.08   49.0173         0     87.62     4.263   75.7216   91.0076         0         0   
    2.619     12.01   49.5712         0     90.35     4.127   77.2343   92.5564         0         0   
    2.733     11.59   49.8567         0     92.93     3.528   78.6566    93.845         0         0   
    2.847     11.24    49.579         0     94.93     3.356   79.9957   94.7826         0         0   
    2.961     11.99   49.3483         0     96.82     3.431   81.2581   95.8223         0         0   
    3.075     14.25   49.1737         0     98.94     3.402   82.4498    97.052         0         0   
    3.189     16.99   49.6703         0     101.1     3.516    83.576   98.6952         0         0   
    3.303     19.33   50.1186         0     103.4     3.724   84.6417   100.248         0         0   
    3.417     21.28   50.3113         0     105.6     3.722   85.6514   101.589         0         0   
     3.53     22.34    50.036         0     107.6     3.735    86.601   102.481         0         0   
