!# Results of ROTMAS saved at 12-Oct-2007 (16:12:03)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 196.058
!# Red. Chi-square (N=68,n=2) : 2.970576
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     1.926590    77.192001     1.000000     1.000000 
!# Parameter error :     0.147879     7.708025     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   15.5017         0      18.2     2.821   4.25296   16.0576         0         0   
   0.2278    0.8858   25.2292         0     29.11     2.346    8.4794   26.6308         0         0   
   0.3417     2.077   29.6487         0        38      2.68   12.6538   32.3029         0         0   
   0.4555     1.452   33.3287         0     46.19     2.261   16.7491   37.3288         0         0   
   0.5694     1.051   38.0745         0      50.3     2.172   20.7516   43.3751         0         0   
   0.6833     1.204   41.2144         0     52.95     2.304     24.64   48.0334         0         0   
   0.7972    0.7131   43.6032         0     55.28     2.099   28.4001   52.0415         0         0   
   0.9111    0.4738   46.1601         0     57.42     2.093   32.0212   56.1813         0         0   
    1.025    0.8499   48.0265         0     59.77     1.904   35.4961   59.7264         0         0   
    1.139    -0.874    48.834         0     61.65     2.062   38.8233   62.3798         0         0   
    1.253    0.7508   49.2313         0     63.17     2.212   41.9981   64.7157         0         0   
    1.367     1.489   49.7325         0     64.92     2.379   45.0211   67.1002         0         0   
     1.48     3.598   51.0487         0     66.63     2.614   47.8702   70.0748         0         0   
    1.594      6.02   52.8327         0     67.73     3.001   50.5998   73.4022         0         0   
    1.708     7.826    54.609         0     69.46     2.897   53.1889   76.6319         0         0   
    1.822     9.023   56.2645         0     72.15     2.772   55.6432   79.6447         0         0   
    1.936     9.767   57.7028         0     74.37     2.782   57.9688   82.3735         0         0   
     2.05     10.29   58.6346         0     76.62     2.698   60.1721   84.6439         0         0   
    2.164     10.85   58.7814         0     78.99     3.035   62.2596    86.309         0         0   
    2.278      11.5   58.3436         0     81.48     3.381   64.2378    87.537         0         0   
    2.392     11.95   57.9716         0     84.67     3.858    66.113    88.738         0         0   
