!# Results of ROTMAS saved at 12-Oct-2007 (16:12:12)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 183.975
!# Red. Chi-square (N=68,n=3) : 2.830380
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     2.399640    53.250099     1.219770     1.000000 
!# Parameter error :     0.476132    15.680079     0.137160     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   17.1206         0      18.2     2.821   3.53368   17.4659         0         0   
   0.2278    0.8858   27.8639         0     29.11     2.346   7.05311   28.7564         0         0   
   0.3417     2.077    32.745         0        38      2.68   10.5444   34.4635         0         0   
   0.4555     1.452   36.8093         0     46.19     2.261   13.9913   39.4054         0         0   
   0.5694     1.051   42.0507         0      50.3     2.172   17.3878   45.5159         0         0   
   0.6833     1.204   45.5185         0     52.95     2.304   20.7197   50.0269         0         0   
   0.7972    0.7131   48.1568         0     55.28     2.099   23.9774   53.8005         0         0   
   0.9111    0.4738   50.9807         0     57.42     2.093   27.1528   57.7627         0         0   
    1.025    0.8499    53.042         0     59.77     1.904   30.2393   61.0622         0         0   
    1.139    -0.874   53.9338         0     61.65     2.062   33.2344   63.3452         0         0   
    1.253    0.7508   54.3726         0     63.17     2.212   36.1316   65.2873         0         0   
    1.367     1.489   54.9262         0     64.92     2.379   38.9285   67.3389         0         0   
     1.48     3.598   56.3798         0     66.63     2.614   41.6007   70.1588         0         0   
    1.594      6.02   58.3501         0     67.73     3.001   44.1954   73.4453         0         0   
    1.708     7.826   60.3119         0     69.46     2.897   46.6891   76.6724         0         0   
    1.822     9.023   62.1403         0     72.15     2.772   49.0834   79.6995         0         0   
    1.936     9.767   63.7288         0     74.37     2.782   51.3802    82.442         0         0   
     2.05     10.29   64.7579         0     76.62     2.698   53.5821   84.6789         0         0   
    2.164     10.85   64.9201         0     78.99     3.035   55.6919   86.2202         0         0   
    2.278      11.5   64.4365         0     81.48     3.381   57.7129   87.2645         0         0   
    2.392     11.95   64.0257         0     84.67     3.858   59.6483   88.3177         0         0   
    2.505     12.08   64.2479         0     87.62     4.263   61.4857   89.7453         0         0   
    2.619     12.01    64.974         0     90.35     4.127    63.261   91.4757         0         0   
    2.733     11.59   65.3481         0     92.93     3.528   64.9611    92.869         0         0   
    2.847     11.24   64.9842         0     94.93     3.356   66.5894     93.72         0         0   
    2.961     11.99   64.6818         0     96.82     3.431   68.1493   94.7197         0         0   
    3.075     14.25    64.453         0     98.94     3.402   69.6441    95.956         0         0   
    3.189     16.99   65.1038         0     101.1     3.516   71.0769   97.8729         0         0   
    3.303     19.33   65.6914         0     103.4     3.724   72.4508   99.6902         0         0   
    3.417     21.28    65.944         0     105.6     3.722   73.7688   101.209         0         0   
     3.53     22.34   65.5832         0     107.6     3.735   75.0227   102.121         0         0   
    3.644     22.68   64.9476         0     109.5     3.808   76.2374   102.687         0         0   
    3.758     23.18   64.2139         0     110.5      3.67   77.4041   103.209         0         0   
    3.872     24.26    63.742         0     111.7     3.572   78.5253   104.009         0         0   
    3.986     25.52   63.2103         0     113.3     3.325   79.6032   104.802         0         0   
      4.1     26.37   62.6622         0     114.9     3.373     80.64   105.474         0         0   
    4.214     26.85    62.108         0     115.9     3.582   81.6378   106.033         0         0   
    4.328     27.42   61.4498         0     116.6     3.921   82.5984   106.538         0         0   
    4.441     28.22   60.8484         0     117.3     4.176   83.5158   107.116         0         0   
    4.555     28.88   60.4143         0     117.9     4.435    84.408   107.743         0         0   
    4.669     29.37   60.0895         0     117.6     4.951   85.2681    108.37         0         0   
    4.783     29.81   59.7848         0     117.1     5.302   86.0979   108.976         0         0   
    4.897     29.96   59.3894         0     115.7     4.865   86.8988   109.435         0         0   
    5.011     29.93   58.7952         0       114     4.503   87.6721   109.723         0         0   
    5.125     29.94   58.1849         0     114.2     4.665   88.4191   109.999         0         0   
    5.239     29.91   57.6108         0     114.3      4.68   89.1412   110.271         0         0   
    5.353     29.92   57.0022         0     114.1     4.472   89.8393   110.524         0         0   
    5.466     30.18   56.2976         0     113.3     4.317   90.5088    110.78         0         0   
     5.58     30.52   55.5989         0     112.4     4.403   91.1626   111.056         0         0   
    5.694     30.85   55.0522         0     111.7      4.47   91.7956   111.395         0         0   
    5.808     31.13   54.6269         0     110.9     4.314   92.4088    111.77         0         0   
    5.922     31.44    53.955         0     110.7     4.482   93.0029   112.023         0         0   
    6.036     31.95   53.3321         0       111     4.351   93.5789   112.348         0         0   
     6.15      32.4   52.7615         0     112.6     3.837   94.1375   112.674         0         0   
    6.264      32.8   52.2034         0     114.1     3.526   94.6795   112.983         0         0   
    6.377     33.06   51.7045         0     113.5     3.502   95.2009   113.268         0         0   
    6.491     33.16   51.1376         0     112.7     3.434   95.7118    113.47         0         0   
    6.605     33.14   50.6938         0     111.7     3.678    96.208   113.684         0         0   
    6.719     33.03   50.2194         0     110.9     4.048   96.6901   113.851         0         0   
    6.833      32.9   49.8282         0     109.6     4.753   97.1588    114.04         0         0   
    6.947     32.77   49.3899         0     109.4     4.782   97.6145   114.201         0         0   
    7.061     32.56   49.0135         0       107      5.61   98.0577   114.358         0         0   
    7.175     32.39   48.6026         0     105.6     5.587    98.489   114.505         0         0   
    7.289     32.17   48.3462         0     106.2     8.135   98.9088   114.696         0         0   
    7.402     31.95   48.0372         0     104.1     4.704    99.314   114.855         0         0   
    7.516     31.73   47.8431         0     99.34     4.541   99.7122   115.058         0         0   
     7.63     31.54   47.5679         0     98.11     4.227     100.1   115.228         0         0   
    7.744      31.3   47.4827         0     101.7      5.79   100.478   115.456         0         0   
