!# Results of ROTMAS saved at 12-Oct-2007 (16:12:30)
!# User velocity         : Vu=V200*SQRT(((LN(1+C*R*0.75/V200))-(C*R*0.75/V200)/(1+C*R*0.75/V200))/((0.75*R/V200)*(LN(1+C)-(C/(1+C)))))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 228.578
!# Red. Chi-square (N=68,n=3) : 3.516590
!# Parameter name  :            C        V200          MD          MG
!# Parameter value :    15.323500    89.541702     0.061182     1.000000 
!# Parameter error :     9.554507    20.706272     0.963571     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.1139   -0.7374   3.83434         0      18.2     2.821   21.7974   22.1198         0         0   
   0.2278    0.8858   6.24044         0     29.11     2.346    30.533   31.1768         0         0   
   0.3417     2.077    7.3336         0        38      2.68   37.0442   37.8202         0         0   
   0.4555     1.452   8.24385         0     46.19     2.261   42.3742   43.1931         0         0   
   0.5694     1.051   9.41773         0      50.3     2.172   46.9433   47.8902         0         0   
   0.6833     1.204   10.1944         0     52.95     2.304   50.9598   51.9834         0         0   
   0.7972    0.7131   10.7852         0     55.28     2.099    54.552   55.6125         0         0   
   0.9111    0.4738   11.4177         0     57.42     2.093   57.8046   58.9233         0         0   
    1.025    0.8499   11.8794         0     59.77     1.904    60.777   61.9329         0         0   
    1.139    -0.874   12.0791         0     61.65     2.062   63.5154   64.6479         0         0   
    1.253    0.7508   12.1774         0     63.17     2.212   66.0505   67.1679         0         0   
    1.367     1.489   12.3013         0     64.92     2.379   68.4087   69.5219         0         0   
     1.48     3.598   12.6269         0     66.63     2.614   70.5923   71.8029         0         0   
    1.594      6.02   13.0682         0     67.73     3.001   72.6573   74.0682         0         0   
    1.708     7.826   13.5075         0     69.46     2.897   74.5979   76.2139         0         0   
    1.822     9.023    13.917         0     72.15     2.772   76.4265   78.2056         0         0   
    1.936     9.767   14.2728         0     74.37     2.782   78.1533    80.044         0         0   
     2.05     10.29   14.5033         0     76.62     2.698   79.7873    81.745         0         0   
    2.164     10.85   14.5396         0     78.99     3.035   81.3362   83.3349         0         0   
    2.278      11.5   14.4313         0     81.48     3.381   82.8068    84.838         0         0   
    2.392     11.95   14.3393         0     84.67     3.858   84.2051   86.2492         0         0   
    2.505     12.08    14.389         0     87.62     4.263   85.5251   87.5643         0         0   
    2.619     12.01   14.5516         0     90.35     4.127   86.7947   88.8218         0         0   
    2.733     11.59   14.6354         0     92.93     3.528   88.0063   89.9646         0         0   
    2.847     11.24   14.5539         0     94.93     3.356   89.1637   91.0402         0         0   
    2.961     11.99   14.4862         0     96.82     3.431   90.2704   92.2082         0         0   
    3.075     14.25    14.435         0     98.94     3.402   91.3295   93.5548         0         0   
    3.189     16.99   14.5807         0     101.1     3.516   92.3439   95.0192         0         0   
    3.303     19.33   14.7123         0     103.4     3.724   93.3162   96.4263         0         0   
    3.417     21.28   14.7689         0     105.6     3.722   94.2489   97.7436         0         0   
     3.53     22.34   14.6881         0     107.6     3.735   95.1364   98.8218         0         0   
    3.644     22.68   14.5457         0     109.5     3.808   95.9965    99.706         0         0   
    3.758     23.18   14.3814         0     110.5      3.67    96.823   100.592         0         0   
    3.872     24.26   14.2757         0     111.7     3.572   97.6177   101.595         0         0   
    3.986     25.52   14.1567         0     113.3     3.325   98.3822   102.619         0         0   
      4.1     26.37   14.0339         0     114.9     3.373    99.118   103.522         0         0   
    4.214     26.85   13.9098         0     115.9     3.582   99.8265   104.306         0         0   
    4.328     27.42   13.7624         0     116.6     3.921   100.509   105.087         0         0   
    4.441     28.22   13.6277         0     117.3     4.176   101.161   105.904         0         0   
    4.555     28.88   13.5305         0     117.9     4.435   101.796   106.675         0         0   
    4.669     29.37   13.4577         0     117.6     4.951   102.407   107.382         0         0   
    4.783     29.81   13.3895         0     117.1     5.302   102.998   108.058         0         0   
    4.897     29.96   13.3009         0     115.7     4.865   103.567   108.631         0         0   
    5.011     29.93   13.1678         0       114     4.503   104.117   109.131         0         0   
    5.125     29.94   13.0312         0     114.2     4.665   104.648   109.624         0         0   
    5.239     29.91   12.9026         0     114.3      4.68   105.161   110.091         0         0   
    5.353     29.92   12.7663         0     114.1     4.472   105.657   110.551         0         0   
    5.466     30.18   12.6085         0     113.3     4.317   106.132   111.058         0         0   
     5.58     30.52    12.452         0     112.4     4.403   106.595   111.575         0         0   
    5.694     30.85   12.3296         0     111.7      4.47   107.043    112.08         0         0   
    5.808     31.13   12.2343         0     110.9     4.314   107.476    112.56         0         0   
    5.922     31.44   12.0838         0     110.7     4.482   107.895    113.03         0         0   
    6.036     31.95   11.9443         0       111     4.351     108.3   113.545         0         0   
     6.15      32.4   11.8165         0     112.6     3.837   108.693   114.033         0         0   
    6.264      32.8   11.6915         0     114.1     3.526   109.072   114.496         0         0   
    6.377     33.06   11.5798         0     113.5     3.502   109.436   114.906         0         0   
    6.491     33.16   11.4528         0     112.7     3.434   109.792   115.261         0         0   
    6.605     33.14   11.3534         0     111.7     3.678   110.136   115.573         0         0   
    6.719     33.03   11.2472         0     110.9     4.048    110.47    115.85         0         0   
    6.833      32.9   11.1596         0     109.6     4.753   110.793   116.112         0         0   
