!# Results of ROTMAS saved at 12-May-2008 (12:02:40)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 107.08
!# Red. Chi-square (N=96,n=2) : 1.139151
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     9.668120     5.885760     0.710000     1.000000 
!# Parameter error :     1.272239     0.532021     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606   13.6768         0      29.4     6.484   4.12849   14.2992         0         0   
   0.5336    -2.114   17.4297         0      26.8     5.743   5.50246   18.1549         0         0   
    0.667    -3.242   20.6821         0     24.28     7.477   6.87456   21.5522         0         0   
   0.8004   -0.9107   23.3204         0     26.21      6.25   8.24431    24.718         0         0   
   0.9338      2.92   25.7769         0     27.02     6.001   9.61127   27.6649         0         0   
    1.067     5.223   28.0967         0      30.4     8.367   10.9729   30.6122         0         0   
    1.201     6.908   30.1968         0     30.38     7.128   12.3391    33.344         0         0   
    1.334     6.357   32.0542         0        33      6.25   13.6909   35.4305         0         0   
    1.467     5.724   33.8283         0     36.25     5.424   15.0382   37.4602         0         0   
    1.601     5.785   35.4734         0     36.53     5.883   16.3907   39.5029         0         0   
    1.734     6.657   36.9518         0     35.71     4.943   17.7276   41.5213         0         0   
    1.868     7.335   38.3696         0     36.17      3.18   19.0688   43.4701         0         0   
    2.001     8.222   39.7342         0     38.09     3.374   20.3939   45.4128         0         0   
    2.134     9.402   41.1671         0     38.92     3.204   21.7125   47.4822         0         0   
    2.268     10.33   42.4711         0     41.74     3.505    23.034   49.4072         0         0   
    2.401     11.38   43.5174         0     43.09     3.631   24.3384   51.1432         0         0   
    2.535     12.09   44.4119         0     44.55       4.3    25.645   52.6901         0         0   
    2.668     11.59   44.8137         0     47.67      4.02    26.934   53.5541         0         0   
    2.801      10.8   45.3217         0     49.36     4.203   28.2148   54.4681         0         0   
    2.935     10.81    45.913         0     50.88     4.307   29.4967    55.632         0         0   
    3.068     11.04   46.6105         0      53.5     3.576   30.7602   56.9264         0         0   
    3.202     10.08   47.2322         0     54.01      4.13   32.0242   57.9485         0         0   
    3.335     8.541   47.6415         0     54.78      4.89   33.2694   58.7326         0         0   
    3.468      8.55   48.0586         0        54     4.584   34.5051   59.7774         0         0   
    3.602     8.657   48.4452         0      55.6     4.581   35.7403   60.8215         0         0   
    3.735     8.919   48.7409         0     56.55     5.124   36.9563   61.8142         0         0   
    3.869     9.797   49.0138         0     57.95     5.399   38.1713   62.8918         0         0   
    4.002      11.3   49.2186         0     59.42     5.586   39.3668   64.0305         0         0   
    4.135     13.46   49.3626         0     60.59     6.806   40.5519   65.2863         0         0   
    4.269     15.12   49.5825         0     62.14     6.055   41.7352   66.5498         0         0   
    4.402     16.52   49.9994         0     64.74     6.001   42.8989   67.9203         0         0   
    4.536     17.53   50.1889         0     69.01     6.061   44.0604   69.0474         0         0   
    4.669     16.89   50.7575         0     72.35     6.388   45.2022   70.0346         0         0   
    4.802      14.8   51.5688         0     74.67      6.88    46.333   70.8881         0         0   
    4.936     13.22   51.8114         0     76.93     6.884   47.4609   71.4963         0         0   
    5.069     13.77   52.2586         0     79.29     6.961   48.5692   72.6605         0         0   
    5.203     14.41   52.3876         0     78.92     6.436   49.6744   73.6183         0         0   
    5.336     13.36   52.3572         0     79.32     7.922     50.76   74.1373         0         0   
