!# Results of ROTMAS saved at 12-Oct-2007 (12:28:05)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 202.203
!# Red. Chi-square (N=96,n=2) : 2.151097
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :    16.863800     3.377520     1.000000     1.000000 
!# Parameter error :     7.473137     0.529064     0.000000     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606   16.2314         0      29.4     6.484   3.12852   16.5413         0         0   
   0.5336    -2.114   20.6852         0      26.8     5.743   4.17081   20.9953         0         0   
    0.667    -3.242   24.5451         0     24.28     7.477   5.21264   24.8822         0         0   
   0.8004   -0.9107   27.6762         0     26.21      6.25   6.25388   28.3594         0         0   
   0.9338      2.92   30.5915         0     27.02     6.001   7.29441   31.5844         0         0   
    1.067     5.223   33.3446         0      30.4     8.367   8.33257   34.7645         0         0   
    1.201     6.908    35.837         0     30.38     7.128   9.37603   37.6818         0         0   
    1.334     6.357   38.0413         0        33      6.25   10.4107   39.9491         0         0   
    1.467     5.724   40.1468         0     36.25     5.424   11.4441   42.1367         0         0   
    1.601     5.785   42.0992         0     36.53     5.883   12.4841   44.2906         0         0   
    1.734     6.657   43.8537         0     35.71     4.943   13.5149   46.3693         0         0   
    1.868     7.335   45.5363         0     36.17      3.18    14.552   48.3644         0         0   
    2.001     8.222   47.1558         0     38.09     3.374   15.5797   50.3388         0         0   
    2.134     9.402   48.8564         0     38.92     3.204   16.6057   52.4509         0         0   
    2.268     10.33   50.4039         0     41.74     3.505   17.6376   54.3907         0         0   
    2.401     11.38   51.6456         0     43.09     3.631   18.6599     56.08         0         0   
    2.535     12.09   52.7072         0     44.55       4.3   19.6878   57.5485         0         0   
    2.668     11.59   53.1841         0     47.67      4.02   20.7059   58.2375         0         0   
    2.801      10.8    53.787         0     49.36     4.203   21.7217   59.0044         0         0   
    2.935     10.81   54.4887         0     50.88     4.307   22.7429   60.0259         0         0   
    3.068     11.04   55.3165         0      53.5     3.576    23.754    61.205         0         0   
    3.202     10.08   56.0543         0     54.01      4.13   24.7701   62.1068         0         0   
    3.335     8.541   56.5401         0     54.78      4.89   25.7761   62.7227         0         0   
    3.468      8.55   57.0351         0        54     4.584   26.7793   63.5864         0         0   
    3.602     8.657   57.4939         0      55.6     4.581   27.7872   64.4408         0         0   
    3.735     8.919   57.8448         0     56.55     5.124   28.7847   65.2237         0         0   
    3.869     9.797   58.1687         0     57.95     5.399   29.7866   66.0819         0         0   
    4.002      11.3   58.4117         0     59.42     5.586    30.778   66.9844         0         0   
    4.135     13.46   58.5826         0     60.59     6.806   31.7663   67.9867         0         0   
    4.269     15.12   58.8436         0     62.14     6.055   32.7586    69.024         0         0   
    4.402     16.52   59.3384         0     64.74     6.001   33.7403   70.2308         0         0   
    4.536     17.53   59.5633         0     69.01     6.061   34.7259   71.1405         0         0   
    4.669     16.89   60.2381         0     72.35     6.388   35.7006   72.0308         0         0   
    4.802      14.8   61.2009         0     74.67      6.88   36.6718   72.8657         0         0   
    4.936     13.22   61.4888         0     76.93     6.884   37.6466   73.3001         0         0   
    5.069     13.77   62.0196         0     79.29     6.961   38.6104   74.3425         0         0   
    5.203     14.41   62.1726         0     78.92     6.436   39.5776   75.0964         0         0   
    5.336     13.36   62.1366         0     79.32     7.922   40.5338    75.382         0         0   
    5.469     12.14   62.0377         0     76.57     4.999   41.4861   75.6119         0         0   
    5.603     12.01   61.6957         0     75.18     7.172   42.4415   75.8412         0         0   
    5.736     11.68   61.6328         0     73.21     8.187   43.3858   76.2716         0         0   
     5.87     12.93   61.6687         0     73.21     8.532    44.333    77.043         0         0   
    6.003     14.07   61.5697         0     71.35     8.346    45.269    77.705         0         0   
    6.136     13.76   61.8127         0     69.92     8.826   46.2008   78.3879         0         0   
     6.27     12.65   61.9476         0     72.19      8.65   47.1353   78.8623         0         0   
    6.403     11.21   62.3795         0     78.75     8.945   48.0585   79.5392         0         0   
    6.537     11.58   63.2073         0     80.78     6.445   48.9842   80.8005         0         0   
