!# Results of ROTMAS saved at 12-Oct-2007 (12:28:17)
!# User velocity         : Vu=SQRT(4*{PI}*4.321*RHO*RC*RC*(1-(RC/R)*ATAN(R/RC)))
!# Total velocity        : Vt=SQRT(MG*VG*ABS(VG)+MD*VD*ABS(VD)+VU**2)
!# Chi-square            : 63.5304
!# Red. Chi-square (N=96,n=3) : 0.683123
!# Parameter name  :           RC         RHO          MD          MG
!# Parameter value :     5.654250    12.779000     0.282058     1.000000 
!# Parameter error :     0.555128     1.817590     0.071446     0.000000 
!#
!# Radius |  vgas   |  vdisk  |  vbulge |  vobs   | err vobs|   Vu    |   Vt    |   Rxv   |   Vxy   |
!# kpc       km/s      km/s       km/s     km/s     km/s       km/s      km/s       kpc       km/s   
!#===================================================================================================
   0.4002     0.606   8.62036         0      29.4     6.484    6.0773   10.5646         0         0   
   0.5336    -2.114   10.9857         0      26.8     5.743   8.09365   13.4805         0         0   
    0.667    -3.242   13.0357         0     24.28     7.477    10.102     16.17         0         0   
   0.8004   -0.9107   14.6986         0     26.21      6.25   12.1005   19.0169         0         0   
   0.9338      2.92   16.2469         0     27.02     6.001   14.0872   21.7011         0         0   
    1.067     5.223    17.709         0      30.4     8.367   16.0575    24.469         0         0   
    1.201     6.908   19.0327         0     30.38     7.128   18.0242   27.1079         0         0   
    1.334     6.357   20.2034         0        33      6.25   19.9595   29.1028         0         0   
    1.467     5.724   21.3216         0     36.25     5.424   21.8766   31.0799         0         0   
    1.601     5.785   22.3585         0     36.53     5.883   23.7882   33.1549         0         0   
    1.734     6.657   23.2903         0     35.71     4.943   25.6645   35.2905         0         0   
    1.868     7.335   24.1839         0     36.17      3.18   27.5325   37.3725         0         0   
    2.001     8.222    25.044         0     38.09     3.374   29.3632   39.4589         0         0   
    2.134     9.402   25.9472         0     38.92     3.204   31.1696   41.6317         0         0   
    2.268     10.33   26.7691         0     41.74     3.505   32.9642   43.7027         0         0   
    2.401     11.38   27.4285         0     43.09     3.631   34.7193   45.6865         0         0   
    2.535     12.09   27.9923         0     44.55       4.3   36.4607   47.5302         0         0   
    2.668     11.59   28.2456         0     47.67      4.02   38.1619    48.872         0         0   
    2.801      10.8   28.5658         0     49.36     4.203   39.8353   50.1946         0         0   
    2.935     10.81   28.9385         0     50.88     4.307    41.493   51.7297         0         0   
    3.068     11.04   29.3781         0      53.5     3.576   43.1098   53.3237         0         0   
    3.202     10.08     29.77         0     54.01      4.13   44.7099   54.6519         0         0   
    3.335     8.541    30.028         0     54.78      4.89   46.2692   55.8164         0         0   
    3.468      8.55   30.2908         0        54     4.584   47.7997   57.2316         0         0   
    3.602     8.657   30.5345         0      55.6     4.581   49.3126   58.6433         0         0   
    3.735     8.919   30.7209         0     56.55     5.124   50.7854   60.0207         0         0   
    3.869     9.797   30.8929         0     57.95     5.399   52.2404   61.4769         0         0   
    4.002      11.3   31.0219         0     59.42     5.586   53.6559   63.0001         0         0   
    4.135     13.46   31.1127         0     60.59     6.806   55.0433   64.6447         0         0   
    4.269     15.12   31.2513         0     62.14     6.055   56.4128   66.2394         0         0   
    4.402     16.52   31.5141         0     64.74     6.001   57.7444   67.8267         0         0   
    4.536     17.53   31.6336         0     69.01     6.061   59.0583   69.2522         0         0   
    4.669     16.89   31.9919         0     72.35     6.388   60.3354     70.35         0         0   
    4.802      14.8   32.5033         0     74.67      6.88    61.586   71.1922         0         0   
    4.936     13.22   32.6562         0     76.93     6.884   62.8195   72.0242         0         0   
    5.069     13.77   32.9381         0     79.29     6.961    64.018   73.2996         0         0   
    5.203     14.41   33.0193         0     78.92     6.436      65.2   74.4914         0         0   
    5.336     13.36   33.0002         0     79.32     7.922   66.3483   75.2967         0         0   
    5.469     12.14   32.9477         0     76.57     4.999   67.4722    76.062         0         0   
    5.603     12.01   32.7661         0     75.18     7.172   68.5805    76.949         0         0   
    5.736     11.68   32.7326         0     73.21     8.187   69.6571   77.8457         0         0   
     5.87     12.93   32.7517         0     73.21     8.532   70.7186   78.9999         0         0   
    6.003     14.07   32.6991         0     71.35     8.346   71.7498   80.0951         0         0   
    6.136     13.76   32.8282         0     69.92     8.826    72.759   80.9994         0         0   
     6.27     12.65   32.8998         0     72.19      8.65   73.7542   81.7441         0         0   
    6.403     11.21   33.1292         0     78.75     8.945   74.7209    82.501         0         0   
    6.537     11.58   33.5688         0     80.78     6.445   75.6742   83.5916         0         0   
     6.67     14.49   33.9846         0     80.22     5.568   76.6004   85.0443         0         0   
    6.803      16.7   34.2952         0      82.7      6.35   77.5071   86.3852         0         0   
    6.937     18.78   34.8017         0     86.43     4.448   78.4014   87.8101         0         0   
     7.07     20.57   35.1027         0      88.6      4.35   79.2703   89.1017         0         0   
    7.203     21.35   35.1123         0     91.08     4.298   80.1212    90.045         0         0   
    7.337     22.12   35.3034         0     92.88     4.457   80.9605   91.0507         0         0   
     7.47     23.08   35.4468         0      94.8     4.752   81.7764   92.0681         0         0   
    7.604     23.86   35.4277         0     97.01      4.71   82.5813   92.9736         0         0   
    7.737     24.06   35.7048         0     99.38     5.542   83.3638   93.8256         0         0   
     7.87     24.24   35.8004         0     100.2     5.752   84.1303   94.5894         0         0   
    8.004     24.27   35.8482         0     99.53     5.578   84.8868   95.2885         0         0   
    8.137     24.08   35.9247         0     103.9     6.196   85.6225   95.9252         0         0   
    8.271     23.78   35.8004         0     104.8     6.136   86.3487   96.4534         0         0   
    8.404     23.78     35.81         0     104.5     6.782    87.055   97.0898         0         0   
    8.537     23.95   35.6236         0     105.3      6.32   87.7473   97.6843         0         0   
    8.671     24.09   35.4755         0     106.5     6.257   88.4309   98.2795         0         0   
    8.804      24.7   35.6475         0     106.9     6.551    89.096   99.0905         0         0   
    8.938     25.98   35.7478         0     107.9     7.506   89.7529   100.042         0         0   
    9.071     26.64   36.1062         0       108     7.682   90.3923   100.916         0         0   
    9.204     26.38   36.3404         0     105.7     7.315   91.0192   101.494         0         0   
    9.338     26.29   36.2257         0     105.9     7.496   91.6386   101.986         0         0   
    9.471     27.41    36.197         0     105.9      7.58   92.2417   102.811         0         0   
    9.605     28.94   36.3308         0       107     7.131   92.8377   103.809         0         0   
    9.738     30.22   36.3308         0     108.7      6.23    93.418    104.69         0         0   
    9.871     30.61   36.6222         0     110.8     5.671   93.9875   105.413         0         0   
       10     30.38   36.8899         0       112     5.477   94.5296   105.923         0         0   
    10.14     30.34   36.9472         0     111.3     5.511    95.107   106.447         0         0   
    10.27     30.88   37.0476         0     110.3     5.393   95.6332   107.106         0         0   
    10.41     32.44   37.3152         0       110     5.502   96.1892   108.153         0         0   
    10.54      33.4   37.3582         0     109.1     5.663   96.6961    108.91         0         0   
    10.67     34.06   37.4155         0     110.8     5.623    97.194   109.575         0         0   
    10.81     35.01   37.4155         0       111     5.061   97.7204    110.34         0         0   
    10.94     36.07   37.3296         0     110.2     4.865   98.2004   111.076         0         0   
    11.07     37.27   37.2817         0     109.6     5.288   98.6721   111.871         0         0   
    11.21     38.41    37.382         0       111      5.15    99.171   112.728         0         0   
    11.34     39.02   37.4346         0     110.8      5.41    99.626   113.355         0         0   
    11.47     39.21   37.4489         0     110.8     5.392   100.073   113.818         0         0   
    11.61      40.2   37.2865         0     111.3      5.31   100.547   114.525         0         0   
    11.74     41.34   37.4538         0     111.8      5.38   100.979   115.362         0         0   
    11.87     42.22   37.9316         0     112.7     5.279   101.403   116.207         0         0   
    12.01     43.47   38.1992         0     113.4     5.305   101.853   117.144         0         0   
    12.14     44.43   38.2039         0     113.3     5.363   102.263   117.861         0         0   
    12.27     44.92   38.0941         0     113.9     5.657   102.667   118.361         0         0   
    12.41     45.56   37.8838         0       114     6.213   103.094   118.909         0         0   
    12.54      46.3   37.9985         0     113.3      6.57   103.484   119.568         0         0   
    12.67     46.54   38.1514         0     113.2     6.817   103.868   120.042         0         0   
    12.81     47.07   38.4047         0       113     6.983   104.275    120.68         0         0   
    12.94     47.71   38.6101         0     113.9     7.577   104.646   121.317         0         0   
    13.07     48.48   38.4429         0     114.5     7.408   105.012   121.884         0         0   
